
[00:00:00.000 --> 00:00:05.500]  弟兄姊妹,當我們見證到神去引導我們
[00:00:05.500 --> 00:00:09.500]  有短宣隊歸來分享見證
[00:00:09.500 --> 00:00:12.000]  當我們看到神又引帶我們
[00:00:12.000 --> 00:00:14.000]  差遣短宣隊出去的時候
[00:00:14.000 --> 00:00:16.000]  我們心裏面就看到
[00:00:16.000 --> 00:00:18.000]  神要預備我們的心
[00:00:18.000 --> 00:00:20.000]  準備不單止是他們
[00:00:20.000 --> 00:00:22.500]  讓我們整個團隊,讓我們整個群體
[00:00:22.500 --> 00:00:26.500]  都能夠一起去預備這個收割
[00:00:26.500 --> 00:00:32.000]  在過去我們有一個教牧同工的退休營裏面
[00:00:32.000 --> 00:00:34.000]  有一個很難忘的片段
[00:00:34.000 --> 00:00:37.000]  當我們準備要出營的時候
[00:00:37.000 --> 00:00:42.000]  當楊牧師他要駛他的車離開營地的時候
[00:00:42.000 --> 00:00:45.000]  突然間他就說那個車掉下坑了
[00:00:45.000 --> 00:00:50.000]  我們剛好在唱同心合一
[00:00:50.000 --> 00:00:53.000]  大家一聽到的時候就全部走出去
[00:00:53.000 --> 00:01:00.500]  我們要去將那個掉下坑的車的輪子要舉起來
[00:01:00.500 --> 00:01:04.500]  當然在這個過程裏面產生了一點點的意外
[00:01:04.500 --> 00:01:06.500]  我們敬愛的李全道
[00:01:06.500 --> 00:01:09.500]  他的腳在車裏面壓著了
[00:01:09.500 --> 00:01:12.500]  我們很努力地撿起那輛車
[00:01:12.500 --> 00:01:14.500]  他的腳及時可以出來
[00:01:14.500 --> 00:01:18.500]  但是李全道仍然都是在這個悠揚
[00:01:18.500 --> 00:01:21.500]  即是傷患當中恢復的過程
[00:01:21.500 --> 00:01:23.500]  在這個過程裏面很深的體驗到
[00:01:23.500 --> 00:01:26.500]  神在我們同工裏面
[00:01:26.500 --> 00:01:28.500]  我們要有一個合一的心
[00:01:28.500 --> 00:01:30.500]  我們真的要能夠對焦
[00:01:30.500 --> 00:01:32.500]  當我們有需要的時候
[00:01:32.500 --> 00:01:34.500]  我們發出呼聲的時候
[00:01:34.500 --> 00:01:37.500]  大家都一齊去支持
[00:01:37.500 --> 00:01:40.500]  又讓我想起同心合一不是只唱的
[00:01:40.500 --> 00:01:42.500]  同心合一都是我們能夠在主裏面
[00:01:42.500 --> 00:01:45.500]  一起去活出來的一個行動
[00:01:45.500 --> 00:01:50.500]  所以當我們講到一齊去預備收割的時候
[00:01:50.500 --> 00:01:53.500]  我們就發現到原來在我們的群體中
[00:01:53.500 --> 00:01:56.500]  即使我們有不同的屬靈的經歷也好
[00:01:56.500 --> 00:02:00.500]  但是我們仍然要看到一個很大的異象
[00:02:00.500 --> 00:02:02.500]  就是在這個末世裏面
[00:02:02.500 --> 00:02:06.500]  神要我們去警醒和守望
[00:02:06.500 --> 00:02:08.500]  所以今天在這個訊息裏面
[00:02:08.500 --> 00:02:10.500]  特別去預備
[00:02:10.500 --> 00:02:13.500]  想和大家分享約翰一書
[00:02:13.500 --> 00:02:16.500]  因為約翰一書裏面提醒我們
[00:02:16.500 --> 00:02:17.500]  愛是很重要
[00:02:17.500 --> 00:02:19.500]  在這個愛裏面又再提醒
[00:02:19.500 --> 00:02:22.500]  當我們要繼續為福音去見證的時候
[00:02:22.500 --> 00:02:25.500]  我們要作好一些準備
[00:02:25.500 --> 00:02:29.500]  當我們說要為福音收割作準備的時候
[00:02:29.500 --> 00:02:32.500]  讓我們去思想到不同的意義
[00:02:32.500 --> 00:02:37.500]  第一個意義就是我們要重拾一個細胞小組的精神
[00:02:37.500 --> 00:02:40.500]  你看到聖經裏面講得很對
[00:02:40.500 --> 00:02:42.500]  他說舉目向前觀看
[00:02:42.500 --> 00:02:44.500]  莊稼已經熟了
[00:02:44.500 --> 00:02:45.500]  可以收割了
[00:02:45.500 --> 00:02:49.500]  我們真的看到神的呼聲
[00:02:49.500 --> 00:02:54.500]  為什麼神要讓我們的教會成為一間細胞小組的教會呢
[00:02:54.500 --> 00:02:57.500]  就是因為細胞小組有兩個特點
[00:02:57.500 --> 00:03:01.500]  一個特點就是讓我們在生命裏面能夠彼此建立
[00:03:01.500 --> 00:03:05.500]  另一個特點就是透過生命的見證
[00:03:05.500 --> 00:03:10.500]  能夠繼續將這個小組繁衍下去
[00:03:10.500 --> 00:03:12.500]  讓更多的人去經歷到神的愛
[00:03:12.500 --> 00:03:15.500]  我們的目的就是要將神的愛
