
[00:00:00.000 --> 00:00:05.000]  「歷史總是會重演的」
[00:00:05.000 --> 00:00:07.680]  「History repeats itself」
[00:00:07.680 --> 00:00:12.220]  這句說話聽起來比較負面
[00:00:12.220 --> 00:00:16.840]  總是感覺不太好
[00:00:16.840 --> 00:00:22.500]  但其實這句說話是一個很好的提醒
[00:00:22.500 --> 00:00:27.660]  因為很多時候問題發生了一次
[00:00:27.660 --> 00:00:29.220]  第一次發生
[00:00:29.220 --> 00:00:33.320]  我們總是學不到功課的
[00:00:33.320 --> 00:00:39.120]  今天我要跟大家說文數記第二十六章
[00:00:39.120 --> 00:00:45.840]  正是要在以色列民進入一個新的歷程之前
[00:00:45.840 --> 00:00:50.920]  整理一下究竟由出埃及到這一刻
[00:00:50.920 --> 00:00:55.440]  整個以色列民族究竟學到些什麼
[00:00:55.440 --> 00:01:01.320]  不過你看看65節這麼長
[00:01:01.320 --> 00:01:06.040]  除了頭幾節1至第4節是隱然
[00:01:06.040 --> 00:01:09.800]  然後拉尾63至65是總結
[00:01:09.800 --> 00:01:15.320]  中間52至56和57至62分別是說
[00:01:15.320 --> 00:01:23.600]  如何分地和計算究竟利美中派有多少人
[00:01:23.600 --> 00:01:28.480]  接著百分之七十以上的篇幅
[00:01:28.480 --> 00:01:32.600]  都是在說不同的宗族的人數
[00:01:32.600 --> 00:01:35.080]  這個支派又有幾多人
[00:01:35.080 --> 00:01:37.440]  那個支派又有幾多人
[00:01:37.440 --> 00:01:42.800]  有些時候我希望大家熟悉這段經文
[00:01:42.800 --> 00:01:45.840]  不如我們從頭讀一次吧
[00:01:45.840 --> 00:01:49.480]  我相信你一定受不了
[00:01:49.480 --> 00:01:51.760]  暈倒了
[00:01:51.760 --> 00:01:53.240]  除了覺得很悶
[00:01:53.240 --> 00:01:57.280]  現在讀完都差不多時間了
[00:01:57.280 --> 00:02:02.920]  所以這張聖經究竟想說什麼呢
[00:02:02.920 --> 00:02:06.920]  我在未開始說這張聖經
[00:02:06.920 --> 00:02:09.000]  去回答這個問題之前
[00:02:09.000 --> 00:02:12.040]  我必須要走回頭
[00:02:12.040 --> 00:02:13.160]  在今年年初
[00:02:13.160 --> 00:02:20.120]  當我和大家第一次分享文數記這本書的時候
[00:02:20.120 --> 00:02:26.760]  我就說以色列民是出埃及之後
[00:02:26.760 --> 00:02:28.800]  要先做好準備
[00:02:28.800 --> 00:02:34.520]  好讓他們可以順利進入神為他們預備的地方
[00:02:34.520 --> 00:02:36.360]  當時是何時呢
[00:02:36.360 --> 00:02:40.640]  是出埃及的第二年二月初一日
[00:02:40.640 --> 00:02:44.760]  當時他們仍然身處在西奈抗野
[00:02:44.760 --> 00:02:50.240]  當時神要他們預備的其中一件事
[00:02:50.240 --> 00:02:54.640]  就是叫摩西去數點以色列民的人數
[00:02:54.640 --> 00:02:57.200]  當時我有解釋過
[00:02:57.200 --> 00:02:58.080]  為什麼呢
[00:02:58.080 --> 00:03:01.280]  因為他們要準備連場的硬仗
[00:03:01.280 --> 00:03:06.520]  所以他們必須要在軍事上來做好他們的準備
[00:03:06.520 --> 00:03:10.800]  不過在二月份數點人數之前
[00:03:10.800 --> 00:03:17.160]  一個月,即是一月,文數記第九章的時候
[00:03:17.160 --> 00:03:19.360]  開始的時候是這樣說的
[00:03:19.360 --> 00:03:23.520]  以色列人出埃及地以後第二年正月
[00:03:23.520 --> 00:03:27.040]  還有另外一件重要的事情要做的
[00:03:27.040 --> 00:03:30.760]  就是喏話在西奈的抗野吩咐摩西說
[00:03:30.760 --> 00:03:34.800]  以色列人應當在鎖定的日期守如月節
[00:03:34.800 --> 00:03:36.360]  即是次序是怎樣呢
[00:03:36.360 --> 00:03:41.120]  先守如節,接著才數人頭
[00:03:41.120 --> 00:03:42.800]  神要提醒他們
[00:03:42.800 --> 00:03:46.040]  他們只能夠離開埃及
[00:03:46.040 --> 00:03:50.120]  從被奴役的一個生活中走出來
[00:03:50.120 --> 00:03:53.280]  接著可以打敗加南人
[00:03:53.280 --> 00:03:58.880]  是完全源於神的憐憫和恩典
[00:03:58.880 --> 00:04:01.960]  神在埃及施行十災
[00:04:01.960 --> 00:04:03.600]  叫紅海分開
[00:04:03.600 --> 00:04:05.600]  這些大家一定記得的
[00:04:05.600 --> 00:04:09.520]  就是要彰顯神的救贖的旨意
[00:04:09.520 --> 00:04:12.160]  神要帶領他們奪取
[00:04:12.160 --> 00:04:15.840]  早已為他們預備好的
[00:04:15.840 --> 00:04:20.840]  這個加南牛奶與物資地
[00:04:20.840 --> 00:04:27.760]  在經歷了差不多四十年的抗野漂流生活之後
[00:04:27.760 --> 00:04:30.520]  由第二十章開始
[00:04:30.520 --> 00:04:37.320]  以色列民基本上就由加底斯這個地方起行
[00:04:37.320 --> 00:04:40.480]  準備他們一段新的旅程
[00:04:40.480 --> 00:04:44.560]  到今天已經是第二十六章
[00:04:44.560 --> 00:04:50.440]  就標誌著這個轉折由二十章至二十六章
[00:04:50.440 --> 00:04:53.120]  結束了
[00:04:53.120 --> 00:04:58.240]  聖經既然是神所默示的真理
[00:04:58.240 --> 00:05:01.720]  所以一定不會說些無謂的事情
[00:05:01.720 --> 00:05:08.360]  由於這張聖經花了這麼大的篇幅
[00:05:08.360 --> 00:05:10.840]  去處理不同的支派
[00:05:10.840 --> 00:05:12.840]  這裡有多少人,那裡有多少人
[00:05:12.840 --> 00:05:17.880]  就讓我們從人數這個角度
[00:05:17.880 --> 00:05:22.040]  開始看看究竟這張聖經說些什麼
[00:05:22.040 --> 00:05:28.640]  經文在第一節開始的時候就告訴我們
[00:05:28.640 --> 00:05:34.040]  這張所記述的內容是發生在瘟疫之後
[00:05:34.040 --> 00:05:38.040]  所以很明顯它是承接著上一章
[00:05:38.040 --> 00:05:39.520]  即是二十五章
