
[00:00:00.000 --> 00:00:11.400]  我知道過去的一段時間,在這個地方都有不同的禱告小組
[00:00:11.400 --> 00:00:22.600]  我也知道近來你們舉行過一個通宵的祈禱會和禁食的聚會
[00:00:29.100 --> 00:00:34.700]  我想告訴大家,如果要聚集一些英語堂的大英哲會是非常困難的
[00:00:34.700 --> 00:00:48.400]  所以一個後果就是他們在靈性上的增長是受到一些阻礙的
[00:00:54.900 --> 00:01:01.500]  我相信上帝是祝福廣東話堂的大英姊妹在靈性方面的增長
[00:01:01.500 --> 00:01:13.500]  就好像之前大家個人的事工,例如X430或V430的聚會
[00:01:13.500 --> 00:01:24.500]  我深信這些事工的發展和大家禱告的時間是有關係的
[00:01:25.100 --> 00:01:31.100]  今天的訊息是鼓勵大家繼續去這些禱告的聚會,一起去祈禱
[00:01:31.100 --> 00:01:43.100]  我今天的中心訊息是
[00:01:50.100 --> 00:01:54.700]  大家可以看到上帝和相信上帝如何在這個世界工作
[00:01:54.700 --> 00:02:14.700]  如果這是事實的話,一起禱告就可以非常鼓勵大家繼續去看到和相信上帝在這個世界工作
[00:02:18.700 --> 00:02:21.700]  我們可以透過眼睛去看到上帝如何在這個世界工作
[00:02:21.700 --> 00:02:31.700]  但是透過禱告的時候,我們是透過心靈去看到上帝的工作
[00:02:31.700 --> 00:02:43.700]  在預備這篇訊息的時候,我翻查過《仕途行傳》
[00:02:43.700 --> 00:02:48.700]  看過禱告方面的資料
[00:02:48.700 --> 00:02:59.700]  今天我就告訴大家其中有一次當教會禱告的時候發生過什麼事
[00:02:59.700 --> 00:03:09.700]  在我和大家講訊息之前,我們現在先祈禱
[00:03:10.700 --> 00:03:11.700]  我們先祈禱
[00:03:12.700 --> 00:03:13.700]  (英文)
[00:03:14.700 --> 00:03:15.700]  (英文)
[00:03:16.700 --> 00:03:17.700]  (英文)
[00:03:18.700 --> 00:03:19.700]  (英文)
[00:03:20.700 --> 00:03:21.700]  (英文)
[00:03:22.700 --> 00:03:23.700]  (英文)
[00:03:24.700 --> 00:03:25.700]  (英文)
[00:03:26.700 --> 00:03:27.700]  (英文)
[00:03:28.700 --> 00:03:29.700]  (英文)
[00:03:29.700 --> 00:03:30.700]  (英文)
[00:03:31.700 --> 00:03:32.700]  (英文)
[00:03:33.700 --> 00:03:34.700]  (英文)
[00:03:35.700 --> 00:03:36.700]  (英文)
[00:04:03.700 --> 00:04:04.700]  (英文)
[00:04:04.700 --> 00:04:06.700]  (英文)
[00:04:06.700 --> 00:04:08.700]  (英文)
[00:04:08.700 --> 00:04:10.700]  (英文)
[00:04:10.700 --> 00:04:12.700]  (英文)
[00:04:12.700 --> 00:04:14.700]  (英文)
[00:04:14.700 --> 00:04:16.700]  (英文)
[00:04:16.700 --> 00:04:18.700]  (英文)
[00:04:18.700 --> 00:04:20.700]  (英文)
[00:04:20.700 --> 00:04:22.700]  (英文)
[00:04:22.700 --> 00:04:24.700]  (英文)
[00:04:24.700 --> 00:04:26.700]  (英文)
[00:04:26.700 --> 00:04:28.700]  (英文)
[00:04:28.700 --> 00:04:30.700]  (英文)
[00:04:31.700 --> 00:04:33.700]  (英文)
[00:04:33.700 --> 00:04:36.700]  (英文)
[00:04:36.700 --> 00:04:38.700]  (英文)
[00:04:38.700 --> 00:04:40.700]  (英文)
[00:04:40.700 --> 00:04:42.700]  (英文)
[00:04:42.700 --> 00:04:44.700]  (英文)
[00:04:44.700 --> 00:04:46.700]  (英文)
[00:04:46.700 --> 00:04:48.700]  (英文)
[00:04:48.700 --> 00:04:50.700]  (英文)
[00:04:50.700 --> 00:04:52.700]  (英文)
[00:04:52.700 --> 00:04:54.700]  (英文)
[00:04:54.700 --> 00:04:56.700]  (英文)
[00:04:56.700 --> 00:04:58.700]  (英文)
[00:04:59.700 --> 00:05:00.700]  (英文)
[00:05:00.700 --> 00:05:02.700]  (英文)
[00:05:02.700 --> 00:05:04.700]  (英文)
[00:05:04.700 --> 00:05:06.700]  (英文)
[00:05:06.700 --> 00:05:08.700]  (英文)
[00:05:08.700 --> 00:05:10.700]  (英文)
[00:05:10.700 --> 00:05:12.700]  (英文)
[00:05:12.700 --> 00:05:14.700]  (英文)
[00:05:14.700 --> 00:05:16.700]  (英文)
[00:05:16.700 --> 00:05:18.700]  (英文)
[00:05:18.700 --> 00:05:20.700]  (英文)
[00:05:20.700 --> 00:05:22.700]  (英文)
[00:05:22.700 --> 00:05:24.700]  (英文)
[00:05:24.700 --> 00:05:26.700]  (英文)
[00:05:27.700 --> 00:05:28.700]  (英文)
[00:05:28.700 --> 00:05:30.700]  (英文)
[00:05:30.700 --> 00:05:32.700]  (英文)
[00:05:32.700 --> 00:05:34.700]  (英文)
[00:05:34.700 --> 00:05:36.700]  (英文)
[00:05:36.700 --> 00:05:38.700]  (英文)
[00:05:38.700 --> 00:05:40.700]  (英文)
[00:05:40.700 --> 00:05:42.700]  (英文)
[00:05:42.700 --> 00:05:44.700]  (英文)
[00:05:44.700 --> 00:05:46.700]  (英文)
[00:05:46.700 --> 00:05:48.700]  (英文)
[00:05:48.700 --> 00:05:50.700]  (英文)
[00:05:50.700 --> 00:05:52.700]  (英文)
[00:05:52.700 --> 00:05:54.700]  (英文)
[00:05:55.700 --> 00:05:56.700]  (英文)
[00:05:56.700 --> 00:05:58.700]  (英文)
[00:05:58.700 --> 00:06:01.700]  (英文)
[00:06:01.700 --> 00:06:03.700]  (英文)
[00:06:03.700 --> 00:06:05.700]  (英文)
[00:06:05.700 --> 00:06:07.700]  (英文)
[00:06:07.700 --> 00:06:09.700]  (英文)
