
[00:00:00.000 --> 00:00:05.000]  很高興今天能有這個機會能跟各位分享訊息
[00:00:05.000 --> 00:00:09.000]  按照慣例每個月第三個禮拜
[00:00:09.000 --> 00:00:14.000]  我要跟各位分享的是基督徒應該有的
[00:00:14.000 --> 00:00:19.000]  讓我請問各位到底什麼叫基督徒
[00:00:19.000 --> 00:00:23.000]  聖經上面基督徒這個字出現過三種
[00:00:23.000 --> 00:00:31.000]  他叫Christian或者原文叫Christianus意思是小基督
[00:00:31.000 --> 00:00:35.000]  既然是小基督就應該要像基督
[00:00:35.000 --> 00:00:37.000]  到底是什麼是基督徒呢
[00:00:37.000 --> 00:00:41.000]  是你覺得是新的主就叫基督徒呢
[00:00:41.000 --> 00:00:44.000]  還是你受了洗叫基督徒呢
[00:00:44.000 --> 00:00:48.000]  還是說你夠好了才叫基督徒呢
[00:00:48.000 --> 00:00:51.000]  所以就從我們這次一年的講臺
[00:00:51.000 --> 00:00:55.000]  我們對基督徒這個定義稍微有了解
[00:00:55.000 --> 00:01:00.000]  基督徒應該有的應該像什麼樣子
[00:01:00.000 --> 00:01:04.000]  譬如說我第一次講既然我們是小基督
[00:01:04.000 --> 00:01:09.000]  所以我們要效法基督要有基督榮美的形象
[00:01:09.000 --> 00:01:12.000]  而且我們要像基督一般
[00:01:12.000 --> 00:01:17.000]  基督他原是神取了人的樣式
[00:01:17.000 --> 00:01:23.000]  謙卑聖福以至於死且死在十字架上
[00:01:23.000 --> 00:01:26.000]  所以我們也應該要有基督的存心
[00:01:26.000 --> 00:01:32.000]  謙卑聖福愛神愛人通曉真理聖靈充滿等等
[00:01:32.000 --> 00:01:37.000]  後來我又講過說基督徒應該要走的天路歷程
[00:01:37.000 --> 00:01:40.000]  就是說成為基督徒
[00:01:40.000 --> 00:01:44.000]  我們並不是說就等著要上天堂去了
[00:01:44.000 --> 00:01:47.000]  你知道嗎我們還有一生之久
[00:01:47.000 --> 00:01:51.000]  讓我們能夠成聖成為聖傑
[00:01:51.000 --> 00:01:55.000]  更像基督將來我們還要得榮耀
[00:01:55.000 --> 00:01:57.000]  這就是我們的天路歷程
[00:01:57.000 --> 00:02:03.000]  我們要走的每個人晚到早到都一樣
[00:02:03.000 --> 00:02:08.000]  後來我又說過基督徒我們應該要有的天國觀
[00:02:08.000 --> 00:02:10.000]  假如你身為基督徒
[00:02:10.000 --> 00:02:13.000]  你又沒有這樣子的認同
[00:02:13.000 --> 00:02:16.000]  那麼我建議你多做一些思考
[00:02:16.000 --> 00:02:20.000]  因為天國並不是虛無縹緲的
[00:02:20.000 --> 00:02:24.000]  天國不是說退一步路海闊天宮
[00:02:24.000 --> 00:02:26.000]  天國不是說好像在山頂上
[00:02:26.000 --> 00:02:30.000]  你從左邊上右邊上前面上後面上都可以到的
[00:02:30.000 --> 00:02:33.000]  那只有一條路可以到天國
[00:02:33.000 --> 00:02:36.000]  就是經過耶穌基督
[00:02:36.000 --> 00:02:38.000]  其他的都是哲學
[00:02:38.000 --> 00:02:43.000]  天國而且我們相信是實實在在真正有的
[00:02:43.000 --> 00:02:46.000]  所以我們歡喜我們快樂
[00:02:46.000 --> 00:02:48.000]  因為這是神的教導
[00:02:48.000 --> 00:02:50.000]  這是神的命令
[00:02:50.000 --> 00:02:53.000]  這是神為我們的應許
[00:02:53.000 --> 00:02:57.000]  另外我又說過基督徒應有的身份跟責任
[00:02:57.000 --> 00:03:00.000]  我們的身份是君尊的祭司
[00:03:00.000 --> 00:03:01.000]  聖爵的國主
[00:03:01.000 --> 00:03:02.000]  屬神的子民
[00:03:02.000 --> 00:03:03.000]  還有神的兒女
[00:03:03.000 --> 00:03:05.000]  我們的責任是
[00:03:05.000 --> 00:03:10.000]  傳言那召我們出黑暗入奇妙光明者的美德
[00:03:10.000 --> 00:03:13.000]  我就常常講我們要有身份
[00:03:13.000 --> 00:03:15.000]  我們要有地位
[00:03:15.000 --> 00:03:19.000]  然後我們還要來做相當的事情
[00:03:19.000 --> 00:03:20.000]  後來我又講過一次
[00:03:20.000 --> 00:03:23.000]  基督徒應該要做更大的事情
[00:03:23.000 --> 00:03:24.000]  主耶穌說
[00:03:24.000 --> 00:03:27.000]  凡信我的都要做我所做的
[00:03:27.000 --> 00:03:29.000]  並且做得更大
[00:03:29.000 --> 00:03:31.000]  譬如說新約的時候
[00:03:31.000 --> 00:03:34.000]  彼得跟十一個門徒站起來
[00:03:34.000 --> 00:03:37.000]  他們講了新約的第一篇講章
[00:03:37.000 --> 00:03:40.000]  結果三千個人信
[00:03:40.000 --> 00:03:42.000]  哇好大的事情
[00:03:42.000 --> 00:03:45.000]  所以我們也要憑著信心奉主耶穌基督的名
[00:03:45.000 --> 00:03:48.000]  因為有基督在我們裡面
[00:03:48.000 --> 00:03:51.000]  所以我們也可以做基督的所做的事情
[00:03:51.000 --> 00:03:52.000]  為人按手
[00:03:52.000 --> 00:03:53.000]  為人禱告
[00:03:53.000 --> 00:03:55.000]  為人醫治
[00:03:55.000 --> 00:03:58.000]  為人祈求等等
[00:03:58.000 --> 00:04:00.000]  另外我們基督徒我說過
[00:04:00.000 --> 00:04:03.000]  要有一定的靈敏度
[00:04:03.000 --> 00:04:06.000]  就是說我們對神的教導
[00:04:06.000 --> 00:04:08.000]  對聖靈的啟示
[00:04:08.000 --> 00:04:09.000]  還有對異夢
[00:04:09.000 --> 00:04:10.000]  對異象
[00:04:10.000 --> 00:04:12.000]  甚至於對預言
[00:04:12.000 --> 00:04:13.000]  我們要有靈敏度
[00:04:13.000 --> 00:04:15.000]  要有sensitivity
[00:04:15.000 --> 00:04:17.000]  我們人很聰明
[00:04:17.000 --> 00:04:19.000]  你的IQ很高
[00:04:19.000 --> 00:04:20.000]  我們書讀得很多
[00:04:20.000 --> 00:04:22.000]  我們的KQ很高
[00:04:22.000 --> 00:04:24.000]  這是叫knowledge question
[00:04:24.000 --> 00:04:26.000]  你的智商很高
