
[00:00:00.000 --> 00:00:08.280]  在伊索寓言裡,狼來了的故事,我相信大家都很認識
[00:00:08.280 --> 00:00:15.260]  從前,有一個牧羊的小孩,他在鄉村附近牧放一群羊
[00:00:15.260 --> 00:00:19.760]  他天天望著這群羊自由自在地吃草
[00:00:19.760 --> 00:00:25.600]  他不覺得滿足,反而覺得無聊
[00:00:25.600 --> 00:00:31.500]  他的心不是記掛羊,而是尋找自己的快樂
[00:00:31.500 --> 00:00:37.360]  於是,他大喊「狼來了!狼來了!」村民很齊心
[00:00:37.360 --> 00:00:46.300]  為了保護這小孩和羊,人人都出來,喘著氣跑上山
[00:00:46.300 --> 00:00:50.100]  結果,發現沒有狼
[00:00:50.100 --> 00:00:56.320]  那小孩還指著每個人的狼背上逐一取笑
[00:00:56.320 --> 00:01:01.960]  村民很不開心地下山回家
[00:01:01.960 --> 00:01:09.000]  之後久不久,那羊的小孩又大喊「狼來了!狼來了!」
[00:01:09.000 --> 00:01:16.340]  村民還是很齊心的,為了保護這小孩和羊
[00:01:16.340 --> 00:01:20.940]  人人都出來,仍然喘著氣跑上山
[00:01:20.940 --> 00:01:25.300]  但是,還是沒有發現狼
[00:01:25.300 --> 00:01:27.860]  有一次,狼真的來了
[00:01:27.860 --> 00:01:31.700]  牧羊的小孩於是大喊「狼來了!狼來了!」
[00:01:31.700 --> 00:01:34.260]  儘管這次他喊得特別大聲
[00:01:34.260 --> 00:01:36.300]  但是村民在想
[00:01:36.300 --> 00:01:43.740]  唉,那個牧羊的小孩又為了自己的快樂,弄些花樣來找開心
[00:01:43.740 --> 00:01:47.060]  這次,沒有村民上山了
[00:01:47.060 --> 00:01:54.240]  於是,每隻羊都吃光了
[00:01:54.240 --> 00:01:56.800]  有誰聽過這個故事?
[00:01:56.800 --> 00:02:01.780]  又或者我是否應該這樣問,有誰沒有聽過這個故事?
[00:02:01.780 --> 00:02:04.700]  每次講這個故事,大人都會說
[00:02:04.700 --> 00:02:09.440]  故事教訓我們,不要說謊
[00:02:09.440 --> 00:02:12.540]  正如聖經教訓我們說
[00:02:12.540 --> 00:02:16.380]  在二章所說,四章二十五節
[00:02:16.380 --> 00:02:19.700]  所以,你們要棄絕謊言
[00:02:19.700 --> 00:02:22.260]  各人與論者說實話
[00:02:22.260 --> 00:02:26.620]  因為我們是互相為之體
[00:02:26.620 --> 00:02:29.180]  狼來了大家就聽過了
[00:02:29.180 --> 00:02:32.000]  我今天想跟大家講一個
[00:02:32.000 --> 00:02:35.320]  豬來了的故事
[00:02:35.320 --> 00:02:37.620]  這個故事的版權
