
[00:00:00.000 --> 00:00:02.000]  好,等師父讓我們在聆聽主導而先
[00:00:02.000 --> 00:00:05.000]  我們一起同心低頭,禱告仰望外主的愛定一神
[00:00:05.000 --> 00:00:08.000]  慈悲的天父,多謝你
[00:00:08.000 --> 00:00:12.000]  讓我們能夠再次回來在主你的說話的面前學習
[00:00:12.000 --> 00:00:14.000]  求你的聖靈與愛同在
[00:00:14.000 --> 00:00:17.000]  讓我們在誤性明白當中你的啟示
[00:00:17.000 --> 00:00:21.000]  也能夠把握到在主你的啟示當中
[00:00:21.000 --> 00:00:25.000]  怎樣藉著你的教訓或者你的陳述
[00:00:25.000 --> 00:00:28.000]  讓我們更明白主的心思
[00:00:28.000 --> 00:00:32.000]  讓我們能夠一起在靈命上面可以得到塑造
[00:00:32.000 --> 00:00:34.000]  更加成熟,活像因主理
[00:00:34.000 --> 00:00:36.000]  在今天這個世代裡面
[00:00:36.000 --> 00:00:39.000]  能夠讓人看到我們的生命生活
[00:00:39.000 --> 00:00:42.000]  同時可以讓人認識主你多一點
[00:00:42.000 --> 00:00:46.000]  我們同心的禱告奉靠主耶穌基督德聖的名字而求
[00:00:46.000 --> 00:00:51.000]  作為一個父母
[00:00:51.000 --> 00:00:57.000]  我相信最使你在人生當中開心的一件事情
[00:00:57.000 --> 00:00:59.000]  就是當你的兒女
[00:00:59.000 --> 00:01:06.000]  他們的心思能夠和你可以互相的交通和認同
[00:01:06.000 --> 00:01:13.000]  反過來如果你講到父母最讓他們最頂心的事情
[00:01:13.000 --> 00:01:17.000]  我相信就是當你的兒女很不聽話
[00:01:17.000 --> 00:01:21.000]  甚至和你的心思是完全相反的
[00:01:21.000 --> 00:01:26.000]  更可憐的現象就是
[00:01:26.000 --> 00:01:28.000]  如果你見到你的兒女
[00:01:28.000 --> 00:01:32.000]  有時不單止不明白你的心思
[00:01:32.000 --> 00:01:37.000]  當她看見你對她不斷的那份愛護的時候
[00:01:37.000 --> 00:01:40.000]  她甚至是利用你對她的愛心
[00:01:40.000 --> 00:01:44.000]  來在你身上獲取更多的利益
[00:01:44.000 --> 00:01:47.000]  好像你一生人都欠了她債一樣
[00:01:47.000 --> 00:01:49.000]  這種的思維
[00:01:49.000 --> 00:01:53.000]  反映出一個兒女對父母完全不體貼
[00:01:53.000 --> 00:01:58.000]  我相信父母最責心就是看到這些現象
[00:01:58.000 --> 00:02:01.000]  而今天我們所看的這段經文
[00:02:01.000 --> 00:02:04.000]  就是在這個題目上面
[00:02:04.000 --> 00:02:07.000]  去作一個很全面的引申
[00:02:07.000 --> 00:02:11.000]  讓我們藉著這段聖經從而去明白主
[00:02:11.000 --> 00:02:14.000]  或者我們天父的心思
[00:02:14.000 --> 00:02:17.000]  所以今天我和大家思想這段經文的時候
[00:02:17.000 --> 00:02:21.000]  給了一個題目叫做與父同心
[00:02:21.000 --> 00:02:25.000]  英文有個題目叫做In the same mind of our Lord
[00:02:25.000 --> 00:02:28.000]  我希望能夠透過這段聖經
[00:02:28.000 --> 00:02:30.000]  藉著耶穌基督的啟示
[00:02:30.000 --> 00:02:36.000]  重新讓我們去學會如何與天父的心
[00:02:36.000 --> 00:02:42.000]  能夠可以做到一個體貼的現象
[00:02:42.000 --> 00:02:44.000]  讓我們再次回到這段經文
[00:02:44.000 --> 00:02:46.000]  一起去讀一下
[00:02:46.000 --> 00:02:50.000]  很想我們去明白認識這段經文的內容
[00:02:50.000 --> 00:02:54.000]  在過去這段聖經其實有不少信徒都聽過
[00:02:54.000 --> 00:02:58.000]  有關於如何去傳福音
[00:02:58.000 --> 00:03:05.000]  或者用這段聖經去講關於一個人罪債的問題
[00:03:05.000 --> 00:03:07.000]  是否想講這些東西呢
[00:03:07.000 --> 00:03:08.000]  似乎就不是了
[00:03:08.000 --> 00:03:11.000]  讓我們一起去讀一下這段聖經
[00:03:11.000 --> 00:03:12.000]  熟悉一下之後
[00:03:12.000 --> 00:03:15.000]  我們逐點逐點分開三個部份來一起去看
[00:03:15.000 --> 00:03:19.000]  好 請大家一起打開馬太福音第十八章
[00:03:19.000 --> 00:03:23.000]  我們從第二十三節到第三十五節
[00:03:23.000 --> 00:03:28.000]  我們轉到《馬太福音》第十八章
[00:03:28.000 --> 00:03:32.000]  從二十三章到三十五章
[00:03:32.000 --> 00:03:34.000]  好 一起讀吧
[00:03:34.000 --> 00:03:37.000]  天國好象一個王
[00:03:37.000 --> 00:03:39.000]  以和他僕人算帳
[00:03:39.000 --> 00:03:41.000]  裁算的時候
[00:03:41.000 --> 00:03:46.000]  有人帶了一個欠一千萬銀子的來
[00:03:46.000 --> 00:03:50.000]  因為他沒有什麼償還之物
[00:03:50.000 --> 00:03:55.000]  主人吩咐把他和他妻子兒女
[00:03:55.000 --> 00:03:59.000]  並一切所有的都賣了償還
[00:03:59.000 --> 00:04:03.000]  那僕人就苦服拜他說
[00:04:03.000 --> 00:04:05.000]  主啊 寬容我
[00:04:05.000 --> 00:04:08.000]  將來我都要還清
[00:04:08.000 --> 00:04:12.000]  那僕人的主人就動了慈心
[00:04:12.000 --> 00:04:14.000]  把他釋放了
[00:04:14.000 --> 00:04:17.000]  並且免了他的債
[00:04:17.000 --> 00:04:19.000]  那僕人出來
