
[00:00:00.000 --> 00:00:01.600]  希伯羅書的作者
[00:00:01.600 --> 00:00:03.200]  我說他精彩的地方
[00:00:03.200 --> 00:00:07.100]  就是因為這個作者對舊約非常熟悉
[00:00:07.100 --> 00:00:10.100]  他可以說對整個舊約融會貫通
[00:00:10.100 --> 00:00:12.000]  所以當他寫希伯羅書的時候
[00:00:12.000 --> 00:00:15.500]  他引用了很多舊約的一些地方的經文
[00:00:15.500 --> 00:00:18.600]  甚至用了很多舊約的一些觀念
[00:00:18.600 --> 00:00:22.000]  擺在了一卷的希伯羅書裏面
[00:00:22.000 --> 00:00:24.000]  而同樣他作為一個新約的人
[00:00:24.000 --> 00:00:27.800]  當他面對新約的一個時代裏面
[00:00:27.800 --> 00:00:29.900]  同樣出現了耶穌基督
[00:00:29.900 --> 00:00:33.600]  以致他對耶穌基督的角色這個人物
[00:00:33.600 --> 00:00:34.900]  對這個作者來說
[00:00:34.900 --> 00:00:38.300]  也是非常之深入的考究
[00:00:38.300 --> 00:00:40.800]  他對這個耶穌基督的認識是很深
[00:00:40.800 --> 00:00:43.300]  所以當他寫這個希伯羅書的時候
[00:00:43.300 --> 00:00:45.200]  他就將耶穌基督
[00:00:45.200 --> 00:00:47.800]  他作為一個新約的一個時代的人
[00:00:47.800 --> 00:00:49.100]  他將這個耶穌基督
[00:00:49.100 --> 00:00:50.600]  他所認識的耶穌基督
[00:00:50.600 --> 00:00:52.800]  就和他所認識的舊約
[00:00:52.800 --> 00:00:54.000]  當時在新約時代
[00:00:54.000 --> 00:00:56.300]  只有舊約的聖經在他手裏面
[00:00:56.300 --> 00:00:58.000]  他就將他作一個
[00:00:58.000 --> 00:01:00.100]  某個情況一個的比較
[00:01:00.100 --> 00:01:02.700]  或者將他一個的契合
[00:01:02.700 --> 00:01:05.600]  他就說耶穌基督的啟示
[00:01:05.600 --> 00:01:09.000]  是超越舊約的眾先知的啟示
[00:01:09.000 --> 00:01:11.400]  耶穌基督是超越天使
[00:01:11.400 --> 00:01:13.200]  我們說天使不是不厲害
[00:01:13.200 --> 00:01:15.200]  不過耶穌基督是超越天使
[00:01:15.200 --> 00:01:18.000]  甚至耶穌基督是超越人
[00:01:18.000 --> 00:01:20.000]  特別猶太人所尊重
[00:01:20.000 --> 00:01:22.100]  所敬重的摩西
[00:01:22.100 --> 00:01:24.200]  但同樣當他去分析
[00:01:24.200 --> 00:01:25.700]  這個耶穌基督的時候
[00:01:25.700 --> 00:01:28.400]  我們整個基督教信仰的核心價值
[00:01:28.400 --> 00:01:29.500]  就是一個舊因
[00:01:29.500 --> 00:01:30.600]  而這個舊因裏面
[00:01:30.600 --> 00:01:33.800]  我們最體重的就是耶穌基督的復活
[00:01:33.800 --> 00:01:37.300]  和他在十字架上的成就的那個舊因
[00:01:37.300 --> 00:01:40.200]  你知道當他面對耶穌基督
[00:01:40.200 --> 00:01:43.600]  面對我們基督教信仰的核心價值的時候
[00:01:43.600 --> 00:01:46.200]  我們不能夠脫離這個舊因
[00:01:46.200 --> 00:01:48.500]  於是在整卷希伯來書當中
[00:01:48.500 --> 00:01:51.600]  他加插了有五個警告
[00:01:51.600 --> 00:01:54.100]  而第一個警告就是第二章
[00:01:54.100 --> 00:01:56.000]  由第一節到第四節
[00:01:56.000 --> 00:01:58.600]  而第二個警告就是今天和大家分析
[00:01:58.600 --> 00:02:00.400]  由第三章的第七節
[00:02:00.400 --> 00:02:04.000]  一直去到第四章的十三節
[00:02:04.000 --> 00:02:06.700]  當然我們稱之為警告
[00:02:06.700 --> 00:02:08.000]  我上一次也說了
[00:02:08.000 --> 00:02:09.800]  按照上帝的公義
[00:02:09.800 --> 00:02:12.100]  他一定要和一班信徒說
[00:02:12.100 --> 00:02:14.000]  他說今天的舊因
[00:02:14.000 --> 00:02:15.900]  我們有舊因的弟兄姊妹
[00:02:15.900 --> 00:02:17.800]  我們同樣一班信徒
