
[00:00:00.000 --> 00:00:05.000]  我們已經去到《生命記》第十八次的查經了
[00:00:05.000 --> 00:00:11.560]  如果你留意到或者一直有參加或者看我們的 PowerPoint
[00:00:11.560 --> 00:00:14.920]  這個第一個的 Front Page
[00:00:14.920 --> 00:00:21.560]  跟上一次「突破情慾 忠於所愛」基本一樣
[00:00:21.560 --> 00:00:26.920]  這次就改了「突破情慾 忠神忠己」
[00:00:26.920 --> 00:00:29.400]  是忠於神和忠於自己
[00:00:29.400 --> 00:00:36.520]  「奸淫」這個字在英文裡面就「attric」
[00:00:36.520 --> 00:00:40.040]  你留意到和「adult」這個字
[00:00:40.040 --> 00:00:44.640]  就是「成年人」是那個字根
[00:00:44.640 --> 00:00:49.120]  似乎「犯奸淫」只是好像是「成年人」的錯
[00:00:49.120 --> 00:00:53.920]  但是我現在在想究竟是不是需要有些改變呢
[00:00:53.920 --> 00:00:58.640]  因為現在可能是十二三歲的小朋友
[00:00:58.640 --> 00:01:01.520]  都會來大陸犯錯
[00:01:01.520 --> 00:01:07.760]  我很相信那個「祖蜀」是令人更加容易早點去犯罪的
[00:01:07.760 --> 00:01:12.000]  你想想未有互聯網的年代
[00:01:12.000 --> 00:01:14.720]  不會這麼容易上到YouTube
[00:01:14.720 --> 00:01:18.040]  或者其它的網站來看這些事情的時候
[00:01:18.040 --> 00:01:20.960]  這個時候你的機會就少了
[00:01:20.960 --> 00:01:25.360]  但是現在是電腦的世代
[00:01:25.360 --> 00:01:28.680]  那些四、五歲的小朋友已經很厲害了
[00:01:28.680 --> 00:01:32.880]  但是他自己懂得怎麼去搜尋一些他喜歡看的東西
[00:01:32.880 --> 00:01:35.120]  到了十多歲的時候
[00:01:35.120 --> 00:01:38.040]  隨時如果我們管理得不好的話
[00:01:38.040 --> 00:01:40.280]  他也不懂得怎麼去管理自己的時候
[00:01:40.280 --> 00:01:42.120]  就很容易會犯錯的了
[00:01:42.120 --> 00:01:45.280]  老實說我不是很懂電腦的
[00:01:45.280 --> 00:01:49.680]  避免了一些的危機 這個是很重要的
[00:01:49.680 --> 00:01:54.200]  所以今天這個課題我們要追求聖潔
[00:01:54.200 --> 00:01:55.920]  不只是給成年人
[00:01:55.920 --> 00:01:58.320]  我青少年也是很應該的
[00:01:58.320 --> 00:02:01.320]  我們要怎麼去成為聖潔呢?
[00:02:01.320 --> 00:02:04.640]  基本上就是因為我們所相信的神是聖潔的
[00:02:04.640 --> 00:02:08.240]  我們就要學習祂
[00:02:08.240 --> 00:02:11.920]  我們的神是一位信實守約的神
[00:02:11.920 --> 00:02:15.960]  所以我們也要誠實不可以虛荒
[00:02:15.960 --> 00:02:16.960]  這個是很重要的
[00:02:16.960 --> 00:02:21.160]  我們看看《彼得前書》第一章十五、十六兩節
[00:02:21.160 --> 00:02:26.920]  「那照你們的記事聖潔,你們在一切所行的事上也要聖潔」
[00:02:26.920 --> 00:02:31.800]  「因為經上記著說,你們要聖潔,因為我是聖潔的」
[00:02:31.800 --> 00:02:38.960]  神呼召我們、要求我們、指示我們要過一個聖潔的生活
[00:02:38.960 --> 00:02:42.160]  這個呼召的基礎是什麼呢?
[00:02:42.160 --> 00:02:45.560]  就是神祂自己本身是聖潔的
[00:02:45.560 --> 00:02:47.840]  很簡單舉個例子
[00:02:47.840 --> 00:02:51.160]  就是一個吸煙的人罵自己的子女
[00:02:51.160 --> 00:02:54.520]  「吸什麼煙啊?小子,這麼小就吸煙」
[00:02:54.520 --> 00:02:56.120]  他是不會有說服力的
[00:02:56.120 --> 00:02:57.880]  因為他自己也在吸煙
[00:02:57.880 --> 00:03:01.080]  今天神叫我們有一個聖潔的生活
[00:03:01.080 --> 00:03:04.320]  因為神的本質都是聖潔
[00:03:04.320 --> 00:03:07.320]  當然不只是指聖潔這麼簡單
[00:03:07.320 --> 00:03:11.920]  神的信實、神的慈愛、神的公義、神的良善
[00:03:11.920 --> 00:03:13.760]  都是祂美麗的本質
[00:03:13.760 --> 00:03:17.560]  但是聖潔是很重要的一個質素
[00:03:17.560 --> 00:03:21.480]  就是祂至高無上,但是祂是聖潔
[00:03:21.480 --> 00:03:27.280]  神的聖潔帶給我們很大的安慰、盼望以及保證
[00:03:27.280 --> 00:03:29.280]  因為祂是沒有罪的
