
[00:00:00.000 --> 00:00:02.000]  各位影帝姐妹 祝你們內平安
[00:00:02.000 --> 00:00:14.000]  記得曾聽過一個食肆樓面的工人的一個經歷
[00:00:14.000 --> 00:00:18.000]  工作的時候 在餐廳的食肆裏面
[00:00:18.000 --> 00:00:21.000]  有一個母子在那裏光顧
[00:00:21.000 --> 00:00:23.000]  他們正在吃飯
[00:00:23.000 --> 00:00:26.000]  他們聽到媽媽跟兒子說
[00:00:27.000 --> 00:00:31.000]  你要用心讀書 不然你看看那個人
[00:00:31.000 --> 00:00:36.000]  多辛苦就要在那裏做清潔 很辛苦
[00:00:36.000 --> 00:00:41.000]  當然這個清潔工人聽到就不太好受
[00:00:41.000 --> 00:00:46.000]  我想大家都聽不少這類的故事
[00:00:46.000 --> 00:00:51.000]  因為這個媽媽所說 這個母親所說
[00:00:52.000 --> 00:00:57.000]  想起很多我之前的長輩 想起我父母
[00:00:57.000 --> 00:01:01.000]  我們小時候要我們多讀書
[00:01:01.000 --> 00:01:08.000]  他們會跟我說讀書少就要掃街
[00:01:08.000 --> 00:01:11.000]  我記得他們最喜歡說這些
[00:01:11.000 --> 00:01:15.000]  當然我們今天長大了
[00:01:15.000 --> 00:01:21.000]  我知道每一個工作都是無分貴賤
[00:01:22.000 --> 00:01:23.000]  在社會裏貢獻
[00:01:23.000 --> 00:01:27.000]  而且我想大家到今天更加知道
[00:01:27.000 --> 00:01:29.000]  可能開始發覺讀書多
[00:01:29.000 --> 00:01:33.000]  不一定會有一份很舒服的工作
[00:01:33.000 --> 00:01:36.000]  但是父母對子女的期望
[00:01:36.000 --> 00:01:38.000]  這麼多年我想都不變了
[00:01:38.000 --> 00:01:42.000]  都希望他們有成就就會開心
[00:01:42.000 --> 00:01:46.000]  最好就是做高層 高薪厚職
[00:01:46.000 --> 00:01:49.000]  所以有時候尤其在幼稚園
[00:01:50.000 --> 00:01:52.000]  看到小朋友這麼天真無邪的時候
[00:01:52.000 --> 00:01:55.000]  他們都會問他們將來想做什麼
