
[00:00:00.000 --> 00:00:06.260]  在座吳小婷同姊妹記得香港大學和中文大學那種增長
[00:00:06.260 --> 00:00:08.580]  兄弟在中環大學讀書時
[00:00:08.580 --> 00:00:12.480]  就看著這間大學從本來稱為崇基的校園
[00:00:12.480 --> 00:00:15.360]  加了新亞、聯合書院
[00:00:15.360 --> 00:00:17.980]  那段時間是做大學生的
[00:00:17.980 --> 00:00:24.940]  我們說如果大學裏面只有崇基、新亞、香港大學
[00:00:24.940 --> 00:00:26.620]  香港就足夠了
[00:00:26.620 --> 00:00:31.600]  誰不知現在起碼有七間大學在香港的高等教育
[00:00:31.600 --> 00:00:33.840]  在量方面的增長
[00:00:33.840 --> 00:00:35.720]  在質素方面的改善
[00:00:35.720 --> 00:00:37.820]  我們心裏真的很歡快樂
[00:00:37.820 --> 00:00:40.060]  沒有一個人說我們寧願香港
[00:00:40.060 --> 00:00:42.280]  像以前只有一間大學就好了
[00:00:42.280 --> 00:00:44.520]  多間中大都嫌它多
[00:00:44.520 --> 00:00:47.240]  我們香港大學的人就精英了
[00:00:47.240 --> 00:00:50.700]  我們不會這樣為香港著想
[00:00:50.700 --> 00:00:53.620]  同樣我們見證教會的增長
[00:00:53.620 --> 00:00:57.020]  剛才主席所讀的《聖經》、《哲學傳》第二章
[00:00:57.020 --> 00:00:59.500]  這個學得重要的一章的《聖經》
[00:00:59.500 --> 00:01:01.300]  在第二章開始的時候
[00:01:01.300 --> 00:01:03.720]  神的靈、聖靈降臨
[00:01:03.720 --> 00:01:06.420]  跟著弟弟和姊妹見證
[00:01:06.420 --> 00:01:08.600]  很踴躍帶人去歸主
[00:01:08.600 --> 00:01:10.760]  特別第二章在最後的時候
[00:01:10.760 --> 00:01:12.220]  這位仕途彼得
[00:01:12.220 --> 00:01:17.820]  他比今天的葛培里、葛福林、唐崇榮更加有能力
[00:01:17.820 --> 00:01:21.220]  在第二章結束的時候
[00:01:21.220 --> 00:01:26.420]  給你和我知道一下子那天門徒若天了三千人
[00:01:26.420 --> 00:01:27.920]  第41節
[00:01:27.920 --> 00:01:31.880]  我們見證了太古神堂再過這四年
[00:01:31.880 --> 00:01:33.880]  增加了三分之二人
[00:01:33.880 --> 00:01:36.500]  我們發現到我們星期六晚上
[00:01:36.500 --> 00:01:39.180]  這個晚堂是最近這幾個星期增加的
[00:01:39.180 --> 00:01:42.640]  但是當時他們增加的數字是三千
[00:01:42.640 --> 00:01:44.640]  感謝神他們增加了
[00:01:44.640 --> 00:01:47.560]  感謝神太古神堂都增加了
[00:01:47.560 --> 00:01:49.080]  我們心裏很渴慕
[00:01:49.080 --> 00:01:53.560]  但究竟是甚麼因素使這教會增長呢?
[00:01:53.560 --> 00:01:56.680]  有機會今天能夠再與各位弟兄姊妹請問你
[00:01:56.680 --> 00:01:58.540]  太古神堂增長的因素
[00:01:58.540 --> 00:02:01.060]  你一定如數家珍來教導我
[00:02:01.060 --> 00:02:01.820]  讓我學習一下
[00:02:01.820 --> 00:02:03.080]  能夠學習這個方法
[00:02:03.080 --> 00:02:06.160]  能夠應用在其他的教會身上
[00:02:06.160 --> 00:02:07.960]  但這間教會
[00:02:07.960 --> 00:02:09.320]  他們開始的時候
[00:02:09.320 --> 00:02:13.020]  他們挑選了大概120人在那裏祈禱
[00:02:13.020 --> 00:02:13.980]  開始的時候
[00:02:13.980 --> 00:02:15.520]  更加以前開始
[00:02:15.520 --> 00:02:17.620]  他們都不是12個人
[00:02:17.620 --> 00:02:19.100]  他們只有11個人
[00:02:19.100 --> 00:02:21.540]  因為其中有一個人叫猶大
[00:02:21.540 --> 00:02:22.940]  他出賣了主
[00:02:22.940 --> 00:02:26.060]  他們11個人要有一個繼承猶大的人
[00:02:26.060 --> 00:02:30.320]  哇 11個人又聚集了120人一起祈禱
[00:02:30.320 --> 00:02:34.520]  現在聖經說增加到三千人
[00:02:34.520 --> 00:02:37.680]  當然你和我當時都在耶路撒冷
[00:02:37.680 --> 00:02:39.600]  看到這件事情
[00:02:39.600 --> 00:02:41.200]  耶穌的受死
[00:02:41.200 --> 00:02:44.080]  好像一個悲劇
[00:02:44.080 --> 00:02:45.920]  我們的領袖耶穌
[00:02:45.920 --> 00:02:47.580]  掛在十字架上
[00:02:47.580 --> 00:02:49.580]  站在地上垂下頭來
[00:02:49.580 --> 00:02:51.480]  成為了一個屍體
[00:02:51.480 --> 00:02:52.960]  搬到墳墓那裏住
[00:02:52.960 --> 00:02:54.140]  但是多麼開心
[00:02:54.140 --> 00:02:55.260]  第三次
[00:02:55.260 --> 00:02:57.120]  他竟然有一個神蹟
[00:02:57.120 --> 00:02:58.420]  他向我們顯現
[00:02:58.420 --> 00:03:00.020]  十幾五百個顯現
[00:03:00.020 --> 00:03:03.060]  然後耶穌基督在地上那40天
[00:03:03.060 --> 00:03:05.380]  一定教導這班使徒
[00:03:05.380 --> 00:03:07.640]  他經驗耶穌愛他們
[00:03:07.640 --> 00:03:09.580]  為他們掛在十字架上
[00:03:09.580 --> 00:03:11.540]  有經驗到復活的大能
[00:03:11.540 --> 00:03:15.260]  現在能夠和主耶穌基督生活了這40天
[00:03:15.260 --> 00:03:18.200]  到了司徒長第二章
[00:03:18.200 --> 00:03:20.900]  耶穌所應許的聖靈降臨
[00:03:20.900 --> 00:03:22.900]  我們就重新得著力量
[00:03:22.900 --> 00:03:24.240]  要在耶路撒冷
[00:03:24.240 --> 00:03:27.400]  猶太傳地和撒瑪利亞直到地極
[00:03:27.400 --> 00:03:29.660]  為耶穌基督的名去作見證
[00:03:29.660 --> 00:03:32.820]  和這班使徒都有一個恐嚇
[00:03:32.820 --> 00:03:36.060]  哇!耶穌基督都被處死
[00:03:36.060 --> 00:03:37.700]  我們這樣去傳福音
[00:03:37.700 --> 00:03:40.700]  會不會都遇到有這樣的後果呢?
[00:03:40.700 --> 00:03:42.460]  但是我們非常勇敢的
[00:03:42.460 --> 00:03:44.700]  因為在第二章我們就告訴你和我聽
[00:03:44.700 --> 00:03:46.700]  這位使徒第十四節
[00:03:46.700 --> 00:03:49.380]  彼得和11個使徒站起來
[00:03:49.380 --> 00:03:53.580]  高聲說:猶太人和一切住在耶路撒冷的人
[00:03:53.580 --> 00:03:55.660]  他就開始說耶穌基督
[00:03:55.660 --> 00:03:57.580]  見證這位耶穌
[00:03:57.580 --> 00:04:00.280]  在他當中很多個猶太人
[00:04:00.280 --> 00:04:03.780]  他只是救藥聖經所說的「彌在也」
[00:04:03.780 --> 00:04:05.560]  當我們這樣宣告的時候
[00:04:05.560 --> 00:04:06.600]  請留心一下
[00:04:06.600 --> 00:04:07.820]  在第十四節
[00:04:07.820 --> 00:04:09.480]  不單止彼得是說
[00:04:09.480 --> 00:04:12.660]  一定11個使徒都在那裏說
[00:04:12.660 --> 00:04:14.540]  好像當羅牧師講到的時候
[00:04:14.540 --> 00:04:16.540]  都有一些人去做陪談的
[00:04:16.540 --> 00:04:17.820]  可以做輔導的
[00:04:17.820 --> 00:04:21.020]  今天下午我進來的時候都見到
[00:04:21.020 --> 00:04:24.460]  我們的忠幹社無端準備迎接丁同姐妹
[00:04:24.460 --> 00:04:28.140]  然後我們敬拜隊的地方在彩排
[00:04:28.140 --> 00:04:30.100]  大家在那裏做好工作
[00:04:30.100 --> 00:04:31.820]  彼得11個使徒
[00:04:31.820 --> 00:04:34.980]  一起有份來宣講耶穌基督
[00:04:34.980 --> 00:04:37.860]  是救藥所允許的「彌在也」
[00:04:37.860 --> 00:04:40.340]  是耶穌基督死而復活了
[00:04:40.340 --> 00:04:42.340]  是你們這班猶太人
[00:04:42.340 --> 00:04:44.420]  你將祂處在十字架那裏
[00:04:44.420 --> 00:04:45.540]  現在你們要起來
[00:04:45.540 --> 00:04:47.740]  要信耶穌那裏為救主
[00:04:47.740 --> 00:04:50.820]  時滴我看到這個教會在「則」
[00:04:50.820 --> 00:04:52.580]  在「量」的增長
[00:04:52.580 --> 00:04:55.380]  在「量」人數增加到三千人
