
[00:00:00.000 --> 00:00:02.000]  多謝各位電影姊妹和朋友
[00:00:02.000 --> 00:00:06.000]  可能剛才今天進來的時候
[00:00:06.000 --> 00:00:07.000]  有些電影姊妹都問我
[00:00:07.000 --> 00:00:09.000]  你今天是不是有點不舒服
[00:00:09.000 --> 00:00:11.000]  是的 因為我的腳有點痛
[00:00:11.000 --> 00:00:13.000]  痛到想哭
[00:00:13.000 --> 00:00:15.000]  真的很痛
[00:00:15.000 --> 00:00:17.000]  所以我今天不是很舒服
[00:00:17.000 --> 00:00:18.000]  但我都頂得住的
[00:00:18.000 --> 00:00:20.000]  相信所以令我不需要講這麼長
[00:00:20.000 --> 00:00:24.000]  西方人眼中
[00:00:24.000 --> 00:00:26.000]  不用坐下
[00:00:26.000 --> 00:00:28.000]  真的不用
[00:00:28.000 --> 00:00:30.000]  我要坐的時候就會坐
[00:00:30.000 --> 00:00:34.000]  要不就是你們起來我坐下
[00:00:34.000 --> 00:00:36.000]  開玩笑的
[00:00:36.000 --> 00:00:40.000]  在西方人的眼中
[00:00:40.000 --> 00:00:42.000]  才女主要是強調
[00:00:42.000 --> 00:00:44.000]  獨立的思想
[00:00:44.000 --> 00:00:46.000]  批判性的思維
[00:00:46.000 --> 00:00:48.000]  文學 科學 哲學 政治
[00:00:48.000 --> 00:00:50.000]  都很有才華的
[00:00:50.000 --> 00:00:52.000]  對社會有一個貢獻
[00:00:52.000 --> 00:00:54.000]  例如推動科學 推動人權
[00:00:54.000 --> 00:00:56.000]  推動文化的進步等等
[00:00:56.000 --> 00:00:58.000]  而中國所講的才女
[00:00:58.000 --> 00:01:00.000]  或者東方人所講的才女
[00:01:00.000 --> 00:01:02.000]  就主要強調
[00:01:02.000 --> 00:01:04.000]  琴棋書畫 詩詞歌賦
[00:01:04.000 --> 00:01:06.000]  不知道大家同不同意
[00:01:06.000 --> 00:01:08.000]  在近代華人的
[00:01:08.000 --> 00:01:10.000]  大家認知當中
[00:01:10.000 --> 00:01:12.000]  林燕妮肯定是一個才女
[00:01:12.000 --> 00:01:14.000]  應該都沒有人會反對
[00:01:14.000 --> 00:01:16.000]  魏康的妹
[00:01:16.000 --> 00:01:18.000]  譯書算不算是才女
[00:01:18.000 --> 00:01:20.000]  其實都是才女
[00:01:20.000 --> 00:01:22.000]  她的明快的筆鋒
[00:01:22.000 --> 00:01:24.000]  可以說論盡了都市的男女
[00:01:24.000 --> 00:01:26.000]  大家有沒有看過
[00:01:26.000 --> 00:01:28.000]  她寫的書裏面拍成電視的
[00:01:28.000 --> 00:01:30.000]  《流金歲月》
[00:01:30.000 --> 00:01:32.000]  還有《玫瑰的故事》
[00:01:32.000 --> 00:01:34.000]  大家不妨
[00:01:34.000 --> 00:01:36.000]  有機會有空去看一看
[00:01:36.000 --> 00:01:38.000]  另外
[00:01:38.000 --> 00:01:40.000]  如果你有留意
[00:01:40.000 --> 00:01:42.000]  還有一個叫李碧華
[00:01:42.000 --> 00:01:44.000]  都是一個非常出名的才女
[00:01:44.000 --> 00:01:46.000]  她所寫的《霸王別姬》
[00:01:46.000 --> 00:01:48.000]  《胭脂扣》
[00:01:48.000 --> 00:01:50.000]  都令她非常出名
[00:01:50.000 --> 00:01:52.000]  在華語的世界裏面
[00:01:52.000 --> 00:01:54.000]  我們有張愛玲
[00:01:54.000 --> 00:01:56.000]  也有三毛
[00:01:56.000 --> 00:01:58.000]  所以這些都是一些很出名
[00:01:58.000 --> 00:02:00.000]  風靡全球的才女
[00:02:00.000 --> 00:02:02.000]  在聖經裏面
[00:02:02.000 --> 00:02:04.000]  最經典
[00:02:04.000 --> 00:02:06.000]  最深入對女士的形容描繪
[00:02:06.000 --> 00:02:08.000]  一定是記載在
[00:02:08.000 --> 00:02:10.000]  《針研書》
[00:02:10.000 --> 00:02:12.000]  第31章第10節
[00:02:12.000 --> 00:02:14.000]  到第31節
[00:02:14.000 --> 00:02:16.000]  針研所講的
[00:02:16.000 --> 00:02:18.000]  不過和我們剛才所講的才女
[00:02:18.000 --> 00:02:20.000]  卻有非常大的出入
[00:02:20.000 --> 00:02:22.000]  針研所講的才德的女士
[00:02:22.000 --> 00:02:24.000]  才是真正
[00:02:24.000 --> 00:02:26.000]  我們今天要討論
[00:02:26.000 --> 00:02:28.000]  要學習的才女
[00:02:28.000 --> 00:02:30.000]  《針研書》由第一章開始
[00:02:30.000 --> 00:02:32.000]  就用父子之間的那種關係
[00:02:32.000 --> 00:02:34.000]  去提醒
[00:02:34.000 --> 00:02:36.000]  爸爸去提醒兒子
[00:02:36.000 --> 00:02:38.000]  甚至去提醒整個
[00:02:38.000 --> 00:02:40.000]  以色列他們的兒子
[00:02:40.000 --> 00:02:42.000]  提醒他們要敬畏上帝
[00:02:42.000 --> 00:02:44.000]  要去追求
[00:02:44.000 --> 00:02:46.000]  從神而來的智慧
[00:02:46.000 --> 00:02:48.000]  但是《針研書》的結束
[00:02:48.000 --> 00:02:50.000]  就倒轉了
[00:02:50.000 --> 00:02:52.000]  由媽媽的角度出發
[00:02:52.000 --> 00:02:54.000]  媽媽或母親
[00:02:54.000 --> 00:02:56.000]  要帶出怎樣去追求
[00:02:56.000 --> 00:02:58.000]  才德的女子
[00:02:58.000 --> 00:03:00.000]  從第10節到第31節
[00:03:00.000 --> 00:03:02.000]  總共有22節的經文
[00:03:02.000 --> 00:03:04.000]  這裡有兩樣
[00:03:04.000 --> 00:03:06.000]  很特別的地方
