
[00:00:00.000 --> 00:00:02.000]  各位電視姊妹,早安
[00:00:02.000 --> 00:00:04.000]  主,今天在聖誕禮拜裏面
[00:00:04.000 --> 00:00:06.000]  我們一同去敬拜主
[00:00:06.000 --> 00:00:09.000]  一同去重溫當日
[00:00:09.000 --> 00:00:12.000]  處理耶穌基督降生的日子裏面
[00:00:12.000 --> 00:00:14.000]  一些事蹟
[00:00:14.000 --> 00:00:17.000]  以致我們能夠在今個聖誕裏面
[00:00:17.000 --> 00:00:19.000]  盼望我們藉著神的說話
[00:00:19.000 --> 00:00:23.000]  讓我們的聖誕節又加添一些意義在裏面
[00:00:23.000 --> 00:00:25.000]  我想問問大家
[00:00:25.000 --> 00:00:28.000]  是不是已經很久沒有寫聖誕卡了?
[00:00:28.000 --> 00:00:30.000]  很久了
[00:00:30.000 --> 00:00:33.000]  或者已經沒有收聖誕卡了
[00:00:33.000 --> 00:00:36.000]  今年誰有寫聖誕卡寄出去的?
[00:00:36.000 --> 00:00:37.000]  有沒有人?
[00:00:37.000 --> 00:00:38.000]  也有一些
[00:00:38.000 --> 00:00:41.000]  我發覺收聖誕卡也少了
[00:00:41.000 --> 00:00:45.000]  收到的通常都不是一些個人
[00:00:45.000 --> 00:00:46.000]  或者親友寄來的
[00:00:46.000 --> 00:00:50.000]  都是公司、機構寄來的
[00:00:50.000 --> 00:00:52.000]  一般的聖誕卡
[00:00:52.000 --> 00:00:54.000]  所以其實我們也少了
[00:00:54.000 --> 00:00:56.000]  因為科技進步
[00:00:56.000 --> 00:01:00.000]  我們現在不需要預早寄聖誕卡
[00:01:00.000 --> 00:01:02.000]  一個是電話裏面
[00:01:02.000 --> 00:01:03.000]  一個WhatsApp
[00:01:03.000 --> 00:01:04.000]  一個是圖片
[00:01:04.000 --> 00:01:06.000]  可以傳送出去
[00:01:06.000 --> 00:01:09.000]  很快就能夠將文後帶出去
[00:01:09.000 --> 00:01:13.000]  我記得我以前小時候都會寫聖誕卡
[00:01:13.000 --> 00:01:15.000]  派聖誕卡或者寄聖誕卡
[00:01:15.000 --> 00:01:18.000]  我當然會選擇買聖誕卡的時候
[00:01:18.000 --> 00:01:22.000]  我很喜歡那些聖誕卡
[00:01:22.000 --> 00:01:25.000]  當然是一個平安夜晚上
[00:01:25.000 --> 00:01:28.000]  有馬槽
[00:01:28.000 --> 00:01:30.000]  有蘇鷹鞋
[00:01:30.000 --> 00:01:32.000]  有瑪利亞藥室
[00:01:32.000 --> 00:01:34.000]  有羊仔
[00:01:34.000 --> 00:01:36.000]  還有一顆星
[00:01:36.000 --> 00:01:39.000]  我特別期望還要多一樣東西
[00:01:39.000 --> 00:01:42.000]  知道是什麼嗎?
[00:01:42.000 --> 00:01:44.000]  就是有天使
[00:01:44.000 --> 00:01:49.000]  我覺得再加上天使在黑夜的長空出現
[00:01:49.000 --> 00:01:51.000]  是很漂亮的
[00:01:51.000 --> 00:01:58.000]  又感受到天使對鷹鞋耶穌的守護的感覺
[00:01:58.000 --> 00:02:01.000]  所以我都會特別留意有沒有天使
