
[00:00:00.000 --> 00:00:11.000]  在2017年我開始擔任播道會總會總幹事這個職位
[00:00:11.000 --> 00:00:16.000]  五年任期很快就過去
[00:00:16.000 --> 00:00:18.000]  最近有人問我
[00:00:18.000 --> 00:00:22.000]  羅牧師你在這五年裏面你覺得最開心的
[00:00:22.000 --> 00:00:25.000]  最欣慰的是什麽事呢
[00:00:26.000 --> 00:00:30.000]  那我就說我覺得最開心的就是
[00:00:30.000 --> 00:00:34.000]  播道會有60間總會之間的關係是好了
[00:00:34.000 --> 00:00:38.000]  而總會和總會的關係亦都好了
[00:00:38.000 --> 00:00:41.000]  那怎麽看到好了呢
[00:00:41.000 --> 00:00:43.000]  就在一個指標那裏
[00:00:43.000 --> 00:00:46.000]  就是總會對總會的捐獻
[00:00:46.000 --> 00:00:49.000]  我們總會幾十年來都有規定
[00:00:49.000 --> 00:00:51.000]  就是總會在你的奉獻收入裏面
[00:00:51.000 --> 00:00:56.000]  拿出7%捐獻給總會
[00:00:56.000 --> 00:00:58.000]  作為整個中派的運作
[00:00:58.000 --> 00:01:01.000]  但這件事就產生一些困難
[00:01:01.000 --> 00:01:04.000]  因為有些大的堂會人數二千計
[00:01:04.000 --> 00:01:07.000]  那他説我們這麽多錢給你
[00:01:07.000 --> 00:01:09.000]  你不就水浸那樣
[00:01:09.000 --> 00:01:11.000]  那些小的堂會説我們沒錢
[00:01:11.000 --> 00:01:13.000]  那你找些大的堂會給
[00:01:13.000 --> 00:01:16.000]  那些説都播道不應該收錢
[00:01:16.000 --> 00:01:19.000]  因為你那個英文叫free church
[00:01:19.000 --> 00:01:21.000]  free就是f-r-e-e
[00:01:21.000 --> 00:01:22.000]  就是免費的意思
[00:01:22.000 --> 00:01:24.000]  那免費怎麽收錢呢
[00:01:24.000 --> 00:01:27.000]  所以很多年以來都
[00:01:27.000 --> 00:01:30.000]  不單止總會的收入勉勉強強
[00:01:30.000 --> 00:01:33.000]  而且其實更加嚴重就是
[00:01:33.000 --> 00:01:35.000]  大家之間的關係好像不是幾好
[00:01:35.000 --> 00:01:37.000]  就是面左左
[00:01:37.000 --> 00:01:42.000]  一些願意遵守規定的堂會就很辛苦
[00:01:42.000 --> 00:01:44.000]  因為給足7%
[00:01:44.000 --> 00:01:47.000]  那其他那些就給少一點
[00:01:47.000 --> 00:01:49.000]  甚至不給
[00:01:49.000 --> 00:01:51.000]  那我做了總幹事之後
[00:01:51.000 --> 00:01:53.000]  我就跟我們的總會主席
[00:01:53.000 --> 00:01:55.000]  就去探訪一些的堂會
[00:01:55.000 --> 00:01:58.000]  那這位主席就是大家都認識的莫樹堅牧師
[00:01:58.000 --> 00:02:00.000]  就是我們全印堂的顧問
[00:02:00.000 --> 00:02:03.000]  上個禮拜粵語堂來講我到過位
[00:02:03.000 --> 00:02:06.000]  那你探堂會就給此建立關係
[00:02:06.000 --> 00:02:10.000]  用聖經的話語給此勸慰下
[00:02:10.000 --> 00:02:13.000]  好像我們剛才主席
[00:02:13.000 --> 00:02:16.000]  跟我們讀的菲律賓書第二章
[00:02:16.000 --> 00:02:19.000]  你們不要擔負自己的事
[00:02:19.000 --> 00:02:21.000]  也要顧別人的事
[00:02:21.000 --> 00:02:26.000]  而且我們也著手改良我們的捐獻制度
[00:02:26.000 --> 00:02:31.000]  令到大家比較容易去得到共識
[00:02:31.000 --> 00:02:34.000]  很奇妙上帝又為我們預備了一個機會
[00:02:34.000 --> 00:02:36.000]  有些堂會發生問題
[00:02:36.000 --> 00:02:38.000]  我們又幫他們處理了
[00:02:38.000 --> 00:02:40.000]  讓大家看到原來
[00:02:40.000 --> 00:02:46.000]  彼此能夠以愛心相待
[00:02:46.000 --> 00:02:49.000]  其實是很美好的
[00:02:49.000 --> 00:02:54.000]  漸漸大家就有這個凝聚
[00:02:54.000 --> 00:02:58.000]  也都接受了這個新的捐獻方程式
[00:02:58.000 --> 00:03:00.000]  所以在我五年的任期裏面
[00:03:00.000 --> 00:03:01.000]  我很感恩
[00:03:01.000 --> 00:03:03.000]  能夠將原本7%
[00:03:03.000 --> 00:03:05.000]  有些給有些不給的
