
[00:00:00.000 --> 00:00:02.000]  領主會平安
[00:00:02.000 --> 00:00:06.000]  很感恩我們在主教裏面再一次見面
[00:00:06.000 --> 00:00:08.000]  不知不覺
[00:00:08.000 --> 00:00:12.000]  今年又進入最後一個月
[00:00:12.000 --> 00:00:17.000]  很快2023年又來了
[00:00:17.000 --> 00:00:19.000]  新的一年又將會來
[00:00:19.000 --> 00:00:21.000]  我們迎接新的一年的時候
[00:00:21.000 --> 00:00:27.000]  我相信我們這個世界的變化也會很大
[00:00:27.000 --> 00:00:32.000]  我們不知道這個疫情究竟何時會完全過去
[00:00:32.000 --> 00:00:33.000]  我們不知道
[00:00:33.000 --> 00:00:37.000]  但我們深知道神是讓我們在祂的裏面
[00:00:37.000 --> 00:00:40.000]  我們每一天都可以平安
[00:00:40.000 --> 00:00:42.000]  我們可以有喜樂
[00:00:42.000 --> 00:00:45.000]  讓主來帶領我們的時候
[00:00:45.000 --> 00:00:47.000]  我們無需要畏懼
[00:00:47.000 --> 00:00:52.000]  因為神的恩典是透過福音已經臨到我們
[00:00:52.000 --> 00:00:57.000]  也是讓我們可以藉著祂讓我們有力量去傳揚福音
[00:00:57.000 --> 00:00:59.000]  讓人去認識祂
[00:00:59.000 --> 00:01:02.000]  今天跟大家分享的題目是
[00:01:02.000 --> 00:01:07.000]  警醒後主是透過馬太福音24章
[00:01:07.000 --> 00:01:11.000]  36次44節一起思想神的說話
[00:01:11.000 --> 00:01:15.000]  信息之前我們再一次我們同心祈禱
[00:01:15.000 --> 00:01:17.000]  愛我們的天父
[00:01:17.000 --> 00:01:19.000]  我們感謝讚美祢
[00:01:19.000 --> 00:01:21.000]  感謝祢在盲當中揀選我們
[00:01:21.000 --> 00:01:25.000]  又讓我們一起在這裏成為祢的教會
[00:01:25.000 --> 00:01:27.000]  一起聚集
[00:01:27.000 --> 00:01:31.000]  可以來到開開心心的在延遲祈拜
[00:01:31.000 --> 00:01:33.000]  讓聖靈親切的啟迪我們
[00:01:33.000 --> 00:01:35.000]  帶領我們以下時間
[00:01:35.000 --> 00:01:37.000]  幫助我們每一個
[00:01:37.000 --> 00:01:38.000]  我們願意在當中
[00:01:38.000 --> 00:01:41.000]  如果我們仍然是受到很多事情困擾的
[00:01:41.000 --> 00:01:45.000]  求主祢自己的說話來光照我們
[00:01:45.000 --> 00:01:46.000]  警戒我們
[00:01:46.000 --> 00:01:50.000]  好叫我們再一次我們可以專心來仰賴耶和華
[00:01:50.000 --> 00:01:53.000]  我們不要依靠自己的聰明
[00:01:53.000 --> 00:01:55.000]  在我們一切的事上
[00:01:55.000 --> 00:01:57.000]  我們來認定祢
[00:01:57.000 --> 00:01:59.000]  主耶穌我們必定會引領我們人生的前路
[00:01:59.000 --> 00:02:02.000]  求主帶領我們以下時間幫助我們
[00:02:02.000 --> 00:02:04.000]  讓祢的話語成為我們的亮光
[00:02:04.000 --> 00:02:06.000]  引導我們人生的前路
[00:02:06.000 --> 00:02:08.000]  我們同心的祈禱
[00:02:08.000 --> 00:02:12.000]  奉靠主耶穌基督德性的吾求
[00:02:12.000 --> 00:02:14.000]  阿們
[00:02:14.000 --> 00:02:16.000]  最近這個世界
[00:02:16.000 --> 00:02:20.000]  大家都會聽到很多無論是戰爭
[00:02:20.000 --> 00:02:22.000]  或者是疫情的消息
[00:02:22.000 --> 00:02:25.000]  都會使得我們有時會感覺到很困惑
[00:02:25.000 --> 00:02:28.000]  或者是有些恐懼的感覺
[00:02:28.000 --> 00:02:30.000]  實在是的
[00:02:30.000 --> 00:02:33.000]  最近如果你看到這個俄好戰爭
[00:02:33.000 --> 00:02:35.000]  已經打了九個月
[00:02:35.000 --> 00:02:38.000]  似乎那個戰爭有時就快完
[00:02:38.000 --> 00:02:41.000]  你看到俄國軍隊是節節敗退
[00:02:41.000 --> 00:02:44.000]  只不過你看到由十月開始
[00:02:44.000 --> 00:02:46.000]  他們的領袖不停這樣說
[00:02:46.000 --> 00:02:50.000]  我們有可能會發動核子戰爭
[00:02:50.000 --> 00:02:52.000]  我們不排除
[00:02:52.000 --> 00:02:54.000]  我們不用核彈
[00:02:54.000 --> 00:02:56.000]  結果這個世界
[00:02:56.000 --> 00:02:58.000]  突然之間我們就會有一個警覺性
[00:02:58.000 --> 00:03:00.000]  如果核戰一來的時候
[00:03:00.000 --> 00:03:02.000]  其實就是這個地球
[00:03:02.000 --> 00:03:04.000]  就是一個審判日
[00:03:04.000 --> 00:03:06.000]  我們西方人經常說
[00:03:06.000 --> 00:03:08.000]  這是judgment day
[00:03:08.000 --> 00:03:10.000]  如果是發生核戰的時候
[00:03:10.000 --> 00:03:14.000]  不是一個國家會發動核戰就完了
[00:03:14.000 --> 00:03:16.000]  因為其他國家
[00:03:16.000 --> 00:03:19.000]  就算是被人炸到已經熔融爛爛
[00:03:19.000 --> 00:03:21.000]  他們還有很多什麼
