
[00:00:00.000 --> 00:00:02.920]  今集的題目是「神跡的出現」
[00:00:02.920 --> 00:00:06.600]  在《約書亞記》第三章七到十七節
[00:00:06.600 --> 00:00:08.600]  就出現了一個神跡
[00:00:08.600 --> 00:00:11.880]  原來約書亞吩咐十二個支派
[00:00:11.880 --> 00:00:13.920]  每個支派派一個人
[00:00:13.920 --> 00:00:17.000]  就一起抬著神的躍跪
[00:00:17.000 --> 00:00:19.920]  當神吩咐起行的時候
[00:00:19.920 --> 00:00:22.280]  這些祭司就抬著躍跪
[00:00:22.280 --> 00:00:25.000]  就踏著腳進入約旦河
[00:00:25.000 --> 00:00:28.840]  當祭司的腳一放入水裡面
[00:00:29.240 --> 00:00:34.240]  約旦河的河水就斷開成為壁壘
[00:00:34.240 --> 00:00:40.960]  而且那些水是在很淺的地方已經止住了
[00:00:40.960 --> 00:00:47.600]  結果他們慢慢就走進這個乾了的河床裡面
[00:00:47.600 --> 00:00:49.760]  到底為什麼會有這樣的事情呢?
[00:00:49.760 --> 00:00:52.120]  好像不可能
[00:00:52.120 --> 00:00:54.040]  為什麼會出現呢?
[00:00:54.360 --> 00:00:57.200]  這些我們就叫做神介入
[00:00:57.200 --> 00:01:02.280]  在歷史事件當中我們就叫做神跡
[00:01:02.280 --> 00:01:07.520]  在聖經約書亞記第三章還有一個詳細的描寫
[00:01:07.520 --> 00:01:10.760]  他說原來約旦河的河水
[00:01:10.760 --> 00:01:15.640]  在修葛的日子是漲過兩岸的
[00:01:15.640 --> 00:01:17.040]  大家都知道
[00:01:17.040 --> 00:01:21.080]  那些河水特別當一些雨季之後
[00:01:21.080 --> 00:01:24.040]  那些水在上游一直沖下來
[00:01:24.320 --> 00:01:28.560]  那些河水就會氾濫掩蓋兩岸
[00:01:28.560 --> 00:01:33.480]  我相信當日當這些祭司踏著腳進入水的時候
[00:01:33.480 --> 00:01:35.760]  可能剛剛是修葛的日子
[00:01:35.760 --> 00:01:38.360]  所以河水是大跌漲的
[00:01:38.360 --> 00:01:43.720]  但是竟然間他們在很遠很遠上游的地方
[00:01:43.720 --> 00:01:46.240]  那些水已經止住了
[00:01:46.240 --> 00:01:50.080]  於是聖經有一個很美麗的記載
[00:01:50.080 --> 00:01:53.800]  就是他們在乾地上過去
[00:01:54.360 --> 00:01:58.120]  本來是一條很高水很漲的河
[00:01:58.120 --> 00:02:01.160]  現在竟然間變為乾地
[00:02:01.160 --> 00:02:07.480]  你生命當中有沒有經歷過神這樣捉摸你呢?
[00:02:07.480 --> 00:02:10.400]  你有沒有見過一些弟兄姊妹
[00:02:10.400 --> 00:02:11.960]  他們會講見證
[00:02:11.960 --> 00:02:13.600]  神就是這麼奇妙
[00:02:13.600 --> 00:02:15.120]  神就是這麼真實
[00:02:15.120 --> 00:02:17.960]  神就是這樣在我的生命裡面
[00:02:17.960 --> 00:02:21.520]  做了又大又奇妙的工作
[00:02:21.520 --> 00:02:24.200]  讓我們就降伏在神面前
[00:02:24.320 --> 00:02:25.640]  向祂敬拜
[00:02:25.640 --> 00:02:27.400]  讚美祂的作為
[00:02:27.400 --> 00:02:32.040]  原來我們的神就是一位行祈祀的神
[00:02:32.040 --> 00:02:35.200]  你不要以為只有別人才有的
[00:02:35.200 --> 00:02:36.840]  我們到處去看一看
[00:02:36.840 --> 00:02:39.600]  哪個人有什麼神蹟出現
[00:02:39.600 --> 00:02:42.440]  神都同樣能夠在你
[00:02:42.440 --> 00:02:43.360]  在我
[00:02:43.360 --> 00:02:47.200]  在我們的身上顯出祂自己的作為來
[00:02:47.200 --> 00:02:52.200]  所以約書亞記第三章很感動
[00:02:52.560 --> 00:02:57.640]  當整大群人就跟著這些祭祀
[00:02:57.640 --> 00:03:01.040]  一對一對的就過河了
[00:03:01.040 --> 00:03:02.520]  當過河之後
[00:03:02.520 --> 00:03:05.320]  他們就進入應許之地
[00:03:05.320 --> 00:03:10.960]  今天神同樣要帶你進入生命更豐盛的地方
