
[00:00:00.000 --> 00:00:02.000]  我們講的這個起速錄
[00:00:02.000 --> 00:00:04.240]  那麼你會發現到了後面來
[00:00:04.240 --> 00:00:06.960]  越來越精彩了
[00:00:06.960 --> 00:00:09.360]  因為這個末世的光景
[00:00:09.360 --> 00:00:11.080]  你可以看見
[00:00:11.080 --> 00:00:13.120]  從這個末世的光景當中
[00:00:13.120 --> 00:00:15.320]  我們看見神的作為
[00:00:15.320 --> 00:00:17.360]  今天我們要看見
[00:00:17.360 --> 00:00:20.480]  另外一個從十二章開始
[00:00:20.480 --> 00:00:23.080]  就看到這個意象
[00:00:23.080 --> 00:00:24.840]  這個是
[00:00:24.840 --> 00:00:29.240]  我們稍微把前面後面的經文
[00:00:29.240 --> 00:00:32.760]  我們用這個圖表給大家看一下
[00:00:32.760 --> 00:00:34.400]  我們前面講到
[00:00:34.400 --> 00:00:36.880]  其實你可以看見我們很長一段時間
[00:00:36.880 --> 00:00:39.920]  在講的七年的大災難
[00:00:39.920 --> 00:00:43.080]  那麼在前面的這些災難是
[00:00:43.080 --> 00:00:45.280]  你可以看見它有一個特色
[00:00:45.280 --> 00:00:49.000]  就是七印 七號 七晚
[00:00:49.000 --> 00:00:50.880]  那麼前面四是一個組
[00:00:50.880 --> 00:00:52.520]  後面三是一個組
[00:00:52.520 --> 00:00:55.600]  所以四個印跟後面的三個印
[00:00:55.600 --> 00:00:56.760]  這是分開的
[00:00:56.760 --> 00:00:58.440]  四個印 然後三個印
[00:00:58.440 --> 00:01:00.440]  然後四個號 三個號
[00:01:00.440 --> 00:01:01.920]  七個晚 三個晚
[00:01:01.920 --> 00:01:04.240]  大概是這樣子的一個次序
[00:01:04.240 --> 00:01:06.240]  那麼你看見
[00:01:06.240 --> 00:01:06.920]  已經到了
[00:01:06.920 --> 00:01:11.000]  我們現在已經講到了哪裡呢
[00:01:11.000 --> 00:01:12.720]  我們講到那兩個傳道人
[00:01:12.720 --> 00:01:15.000]  是不是他們在地上那邊傳道
[00:01:15.000 --> 00:01:16.080]  我們也講到
[00:01:16.080 --> 00:01:19.000]  這一些十四萬四千個得勝者
[00:01:19.000 --> 00:01:20.080]  我們就看見
[00:01:20.080 --> 00:01:22.080]  雖然在仇敵的工作
[00:01:22.080 --> 00:01:23.320]  有很大的
[00:01:23.320 --> 00:01:25.360]  當神審判的時候
[00:01:25.360 --> 00:01:27.560]  我們也看見仇敵在那邊工作
[00:01:27.560 --> 00:01:29.440]  我們也看見神的兒女們
[00:01:29.440 --> 00:01:31.240]  那些忠心侍奉主德
[00:01:31.240 --> 00:01:32.440]  他們也在那個地方
[00:01:32.440 --> 00:01:34.680]  積極地在傳揚福音
[00:01:34.680 --> 00:01:36.360]  那麼今天我們就要講到
[00:01:36.360 --> 00:01:40.640]  在十二章開始
[00:01:40.640 --> 00:01:41.640]  講到什麼呢
[00:01:41.640 --> 00:01:45.040]  講到今天我們講的這一段是講到說
[00:01:45.040 --> 00:01:48.280]  有一個大紅龍的意象
[00:01:48.280 --> 00:01:50.840]  有一個大紅龍的意象
[00:01:50.840 --> 00:01:52.360]  然後這個大紅龍完了之後
[00:01:52.360 --> 00:01:56.160]  提十三章就會講到有一個獸
[00:01:56.160 --> 00:01:57.800]  所以你大概有一點概念
[00:01:57.800 --> 00:02:01.400]  你曾經圖過啟示物什麼龍獸
[00:02:01.400 --> 00:02:02.880]  這個就我們已經開始了
[00:02:02.880 --> 00:02:07.160]  到後面就會要提到獸的印記666
[00:02:07.160 --> 00:02:08.200]  有沒有
[00:02:08.200 --> 00:02:09.880]  這很多人喜歡講這個題目
[00:02:09.880 --> 00:02:12.120]  事實上其實講啟示物裡面
[00:02:12.120 --> 00:02:14.240]  不應該把焦點放在這個東西
[00:02:14.240 --> 00:02:16.520]  但是有的人就喜歡這個新奇的東西
[00:02:16.520 --> 00:02:18.840]  我們後面會來談這個問題
[00:02:18.840 --> 00:02:22.920]  我們今天講這個大紅龍摔下
[00:02:22.920 --> 00:02:26.600]  大紅龍首先我們要問大家一個問題
[00:02:26.600 --> 00:02:30.400]  你可以看見當我們一信了耶穌之後
[00:02:30.400 --> 00:02:34.120]  我們就進入了一個徵戰裡面
[00:02:34.120 --> 00:02:38.120]  這個徵戰叫做屬靈徵戰
[00:02:38.120 --> 00:02:40.160]  那你意思是說不信耶穌就不徵戰
[00:02:40.160 --> 00:02:40.760]  不是
[00:02:40.760 --> 00:02:43.320]  不信耶穌你根本沒得選
[00:02:43.320 --> 00:02:44.840]  你不信耶穌的時候
[00:02:44.840 --> 00:02:46.960]  你根本就是在惡的一方
[00:02:46.960 --> 00:02:48.320]  你沒有善惡的選擇
[00:02:48.320 --> 00:02:49.440]  懂這意思嗎
[00:02:49.440 --> 00:02:51.520]  當你進入了耶穌基督的國度
[00:02:51.520 --> 00:02:53.880]  哥羅西蘇說他用了自己的血
[00:02:53.880 --> 00:02:58.600]  將我們遷入他愛子的國度
[00:02:58.600 --> 00:03:00.360]  所以你我信了耶穌之後
[00:03:00.360 --> 00:03:02.400]  我們就進入了耶穌基督的國度
[00:03:02.400 --> 00:03:05.200]  所以我們就是在耶穌基督的國度裡面
[00:03:05.200 --> 00:03:08.040]  我們是在善的一方
[00:03:08.040 --> 00:03:10.520]  但是魔鬼的那個國度
[00:03:10.520 --> 00:03:13.640]  跟基督的國度彼此是為仇的
[00:03:13.640 --> 00:03:16.520]  所以這兩個國度的徵戰
[00:03:16.520 --> 00:03:22.240]  從一開始創世紀裡面它就開始了
[00:03:22.240 --> 00:03:25.680]  從人類的歷史一開始就開始了
[00:03:25.680 --> 00:03:28.000]  但是丟著這個地上的徵戰
[00:03:28.000 --> 00:03:31.320]  其實是從天上的徵戰來的
[00:03:31.320 --> 00:03:34.000]  所以天上跟地上息息相關
[00:03:34.000 --> 00:03:36.720]  在起事錄裡面約翰寫這個起事錄裡面
[00:03:36.720 --> 00:03:39.000]  你也會發現一下天上一下地下
[00:03:39.000 --> 00:03:40.600]  一下天上一下地下
[00:03:40.600 --> 00:03:42.720]  它其實讓我們看見一件事情
[00:03:42.720 --> 00:03:45.640]  天上地上的關係是密切相關的
[00:03:45.640 --> 00:03:47.320]  地上離不開了天上
[00:03:47.320 --> 00:03:48.800]  天上也離不開地上
[00:03:48.800 --> 00:03:52.440]  天上的決定決定了地下
[00:03:52.440 --> 00:03:54.440]  屬靈的徵戰也是如此
[00:03:54.440 --> 00:03:58.800]  天上的徵戰得勝決定了地下的徵戰得勝
[00:03:58.800 --> 00:04:02.800]  那丟著所以我們看見
[00:04:02.800 --> 00:04:07.520]  當這個首先我們需要來明白
[00:04:07.520 --> 00:04:10.520]  這個徵戰的雙方
[00:04:10.520 --> 00:04:13.800]  在這段經文裡面讓我們看見
[00:04:13.800 --> 00:04:17.200]  他說他首先看見一個大異象
[00:04:17.200 --> 00:04:19.200]  是不是
[00:04:19.200 --> 00:04:20.000]  看見什麼異象
[00:04:20.000 --> 00:04:23.760]  有一個婦人出現了
[00:04:23.760 --> 00:04:26.200]  所以他看見這個婦人
[00:04:26.200 --> 00:04:28.920]  這個婦人是誰呢
[00:04:28.920 --> 00:04:35.800]  這個婦人是誰
[00:04:35.800 --> 00:04:37.200]  婦人呢
[00:04:37.200 --> 00:04:37.960]  很多說法
[00:04:37.960 --> 00:04:40.440]  我今天因為這不是查經聚會
[00:04:40.440 --> 00:04:42.080]  我不一一講別人說
[00:04:42.080 --> 00:04:44.880]  我就講說我所認識
[00:04:44.880 --> 00:04:46.480]  我所看見的是什麼
[00:04:46.480 --> 00:04:49.800]  這個婦人代表著教會
[00:04:49.800 --> 00:04:52.960]  這裡提到說她身披日頭
[00:04:52.960 --> 00:04:54.560]  腳踏月亮
[00:04:54.560 --> 00:04:59.680]  頭戴十二星的冠冕
[00:04:59.680 --> 00:05:01.880]  這個圖畫的不太像
