
[00:00:00.000 --> 00:00:03.360]  你跟隔壁的人說,自由是要付代價的
[00:00:03.360 --> 00:00:06.520]  自由是要付代價的
[00:00:06.520 --> 00:00:09.020]  今天我們可以自由,誰付了代價?
[00:00:09.020 --> 00:00:13.520]  耶穌基督,是不是?耶穌基督付了代價
[00:00:13.520 --> 00:00:17.320]  但是今天呢,我講該人的時候呢,想跟你講一件事
[00:00:17.320 --> 00:00:20.120]  這件事呢,就是我們要付代價的
[00:00:20.120 --> 00:00:23.120]  在耶穌基督付了代價之後呢
[00:00:23.120 --> 00:00:24.920]  你我都要付些代價的
[00:00:24.920 --> 00:00:27.820]  我們今天講,自我中心的權勢,是不是?
[00:00:27.820 --> 00:00:30.820]  好,我們一起讀這一段聖經
[00:00:30.820 --> 00:00:35.320]  比家事報告表上的經文多了幾節
[00:00:35.320 --> 00:00:37.320]  好,請大家一起讀,請
[00:00:57.820 --> 00:01:00.820]  1.你爲什麼變了臉色?
[00:01:00.820 --> 00:01:03.820]  2.你爲什麼變了臉色?
[00:01:03.820 --> 00:01:06.820]  3.你若行得好,豈不蒙越立?
[00:01:06.820 --> 00:01:09.820]  4.你若行得不好,罪就伏在門前
[00:01:09.820 --> 00:01:12.820]  5.他必戀慕你,你卻要制服他
[00:01:12.820 --> 00:01:15.820]  6.該人與他兄弟阿爸說話
[00:01:15.820 --> 00:01:18.820]  7.義人正在田間
[00:01:18.820 --> 00:01:21.820]  8.該人起來打他兄弟阿爸,把他殺了
[00:01:21.820 --> 00:01:24.820]  9.你爲什麼變了臉色?
[00:01:24.820 --> 00:01:27.820]  10.耶和華對該人說
[00:01:27.820 --> 00:01:30.820]  "你兄弟阿爸在哪裏?"
[00:01:30.820 --> 00:01:33.820]  11.他說"我不知道,我豈是看守我兄弟的嗎?"
[00:01:33.820 --> 00:01:36.820]  12.耶和華說"你作了什麼事呢?"
[00:01:36.820 --> 00:01:39.820]  13.你兄弟的血,有聲音從地裏向我哀告
[00:01:39.820 --> 00:01:42.820]  14.地開了口
[00:01:42.820 --> 00:01:45.820]  15.從你手裏接受你兄弟的血
[00:01:45.820 --> 00:01:48.820]  16.現在你必從這地受咒咒
[00:01:48.820 --> 00:01:51.820]  17.你中地,地不再給你效力
[00:01:51.820 --> 00:01:54.820]  18.你必流離飄蕩在地上
[00:01:54.820 --> 00:01:57.820]  19.該人對耶和華說
[00:01:57.820 --> 00:02:00.820]  "我的刑罰太重,過於我所能當的
[00:02:00.820 --> 00:02:03.820]  20.你如今趕逐我離開這地
[00:02:03.820 --> 00:02:06.820]  21.以至不見你面,我必流離飄蕩在地上
[00:02:06.820 --> 00:02:09.820]  22.凡遇見我的,必殺我"
[00:02:09.820 --> 00:02:12.820]  好,各位我想問你
[00:02:12.820 --> 00:02:15.820]  該人現在是長痛還是短痛?
[00:02:15.820 --> 00:02:18.820]  該人是長痛
[00:02:18.820 --> 00:02:21.820]  那該人又沒有選擇呢?
[00:02:21.820 --> 00:02:24.820]  因爲審判臨到了
[00:02:24.820 --> 00:02:27.820]  他沒有選擇
[00:02:27.820 --> 00:02:30.820]  所以我們溫習一下
[00:02:30.820 --> 00:02:33.820]  爲什麼會搞成這樣呢?
[00:02:33.820 --> 00:02:36.820]  我們記得第一次說該人的時候
[00:02:36.820 --> 00:02:39.820]  說他的憎恨是沒有必要的
[00:02:39.820 --> 00:02:42.820]  因爲我們每一個人在神的面前
[00:02:42.820 --> 00:02:45.820]  都可以單單因爲我是我
[00:02:45.820 --> 00:02:48.820]  就可以來到神的面前蒙虐
[00:02:48.820 --> 00:02:51.820]  人人都可以拿A
[00:02:51.820 --> 00:02:54.820]  你不用和別人爭
[00:02:54.820 --> 00:02:57.820]  記不記得?
[00:02:57.820 --> 00:03:00.820]  你有沒有做在你的子女身上?
[00:03:00.820 --> 00:03:03.820]  你有沒有令到你的子女
[00:03:03.820 --> 00:03:06.820]  彼此之間有增進?
