
[00:00:00.000 --> 00:00:04.360]  大家換了衣櫃了嗎 新款啊 大家穿的衣服
[00:00:04.360 --> 00:00:08.720]  新衣服 新款
[00:00:08.720 --> 00:00:12.480]  我現在在家裡裝修
[00:00:12.480 --> 00:00:14.120]  搬家
[00:00:14.120 --> 00:00:15.600]  裝修
[00:00:15.600 --> 00:00:22.200]  全新和翻新
[00:00:22.200 --> 00:00:25.160]  這兩件事有什麼分別呢
[00:00:25.160 --> 00:00:28.680]  什麼叫全新呢 什麼叫翻新呢
[00:00:30.000 --> 00:00:33.080]  哪一件比較便宜
[00:00:33.080 --> 00:00:35.600]  翻新的比較便宜
[00:00:35.600 --> 00:00:40.880]  那些翻新電腦那些比較便宜
[00:00:40.880 --> 00:00:44.320]  但是你要買東西的時候
[00:00:44.320 --> 00:00:47.080]  不要貪便宜 看看它是全新
[00:00:47.080 --> 00:00:49.600]  還是翻新
[00:00:49.600 --> 00:00:53.000]  那時候很節儉的梳化都是翻新的
[00:00:53.000 --> 00:00:57.280]  換過皮 換過皮就像新的一樣
[00:00:57.280 --> 00:00:59.040]  那有什麼問題呢
[00:01:00.360 --> 00:01:02.880]  問題就是可能裡面
[00:01:02.880 --> 00:01:06.520]  藏了一些蟲啊 木塞在裡面
[00:01:06.520 --> 00:01:09.160]  是會有的
[00:01:09.160 --> 00:01:11.920]  用真皮摸著它都行不行呢
[00:01:11.920 --> 00:01:15.720]  你摸不完的 在底部走出來的
[00:01:15.720 --> 00:01:20.480]  所以翻新和全新是有些分別的
[00:01:20.480 --> 00:01:22.120]  好了 我問大家
[00:01:22.120 --> 00:01:24.920]  我們信耶穌是新造的人 是不是
[00:01:25.640 --> 00:01:30.240]  那新造的人是全新的還是翻新的呢
[00:01:30.240 --> 00:01:36.040]  我們先想一想
[00:01:36.040 --> 00:01:43.080]  今天這段經文就是全新和翻新
[00:01:43.080 --> 00:01:50.360]  說到新人 新衣 新的生活方式 新的款式
[00:01:50.360 --> 00:01:52.400]  好了 給大家一點時間
[00:01:52.400 --> 00:01:53.960]  現在打開你的聖經
[00:01:53.960 --> 00:01:56.320]  你自己前面有本聖經的話
[00:01:56.320 --> 00:01:58.520]  紙本聖經 你可以翻它
[00:01:58.520 --> 00:01:59.720]  或者你有時間
[00:01:59.720 --> 00:02:02.680]  你有手機那裡
[00:02:02.680 --> 00:02:04.440]  你又打開《賢治聖經》
[00:02:04.440 --> 00:02:06.840]  《哥羅西書》第三章
[00:02:06.840 --> 00:02:11.720]  第三章第一節到第四節就說了一件事
[00:02:11.720 --> 00:02:14.760]  它說既然你已經是這樣了
[00:02:14.760 --> 00:02:16.920]  那所以你就要這樣了 是不是
[00:02:16.920 --> 00:02:18.040]  聽到沒有
[00:02:18.040 --> 00:02:20.840]  你如果與基督真的一同復活
[00:02:20.840 --> 00:02:23.760]  就當求在上面的事
[00:02:23.760 --> 00:02:27.160]  你不要思念上面的事
[00:02:27.160 --> 00:02:29.080]  不要思念地上的事
[00:02:29.080 --> 00:02:31.280]  因為你們已經死了
[00:02:31.280 --> 00:02:35.760]  你們的生命與基督一同藏在上帝的裡面
[00:02:35.760 --> 00:02:38.920]  基督是我們的生命
[00:02:38.920 --> 00:02:40.040]  他見的的時候
[00:02:40.040 --> 00:02:43.040]  你們也要與他一同顯現在榮耀裡
[00:02:43.040 --> 00:02:44.840]  要思念上面的事
[00:02:44.840 --> 00:02:46.760]  因為它告訴你你已經死了
[00:02:46.760 --> 00:02:49.040]  不過你又復活了
[00:02:49.040 --> 00:02:50.160]  那是怎樣呢
[00:02:50.160 --> 00:02:51.720]  是同一個字 記住
[00:02:51.720 --> 00:02:53.440]  劉心斌說下去
[00:02:53.600 --> 00:02:54.400]  都是一同的
[00:02:54.400 --> 00:02:56.760]  就是一同復活 一同死了
[00:02:56.760 --> 00:02:57.920]  一同藏在
[00:02:57.920 --> 00:03:00.400]  一同在榮耀裡面
[00:03:00.400 --> 00:03:03.640]  在基督裡面顯然與基督一同
[00:03:03.640 --> 00:03:05.920]  這段經文告訴你什麼呢
[00:03:05.920 --> 00:03:07.760]  你有一個新的管理
[00:03:07.760 --> 00:03:09.680]  有一個新的夥伴
[00:03:09.680 --> 00:03:12.320]  就是你有新的一個夥伴
[00:03:12.320 --> 00:03:13.920]  你的夥伴
[00:03:13.920 --> 00:03:16.800]  而且這個夥伴是與你一同
[00:03:16.800 --> 00:03:18.600]  但他是你的老闆
[00:03:18.600 --> 00:03:21.360]  你是在他身上
[00:03:21.360 --> 00:03:23.120]  所以他是在你上面
[00:03:23.360 --> 00:03:25.120]  但記住 上面的事
