
[00:00:00.000 --> 00:00:02.880]  各位來賓 主內的弟兄姊妹 早晨
[00:00:02.880 --> 00:00:05.940]  感謝神 我們今天再有機會來到網上
[00:00:05.940 --> 00:00:09.080]  去繼續聆聽神的話語
[00:00:09.080 --> 00:00:12.360]  豐盛的人生和美滿的生活
[00:00:12.360 --> 00:00:15.260]  是大家往往所嚮往的
[00:00:15.260 --> 00:00:19.100]  無論是學業成績 娛樂消遣
[00:00:19.100 --> 00:00:20.900]  或者藝術運動
[00:00:20.900 --> 00:00:24.200]  我們往往都想計分 打一個分數
[00:00:24.200 --> 00:00:25.900]  就算打保齡球都好
[00:00:25.900 --> 00:00:29.280]  我們往往都是希望這麼多球都傳中
[00:00:29.280 --> 00:00:31.880]  得到滿分
[00:00:31.880 --> 00:00:33.380]  在教會生活裏面
[00:00:33.380 --> 00:00:36.920]  我們都期望有一個豐盛的教會生活
[00:00:36.920 --> 00:00:38.900]  但是有不同的地方就是
[00:00:38.900 --> 00:00:44.060]  人所打的分數 往往都有很大的限制
[00:00:44.060 --> 00:00:49.240]  神給我們這麼多恩典 給我們教會
[00:00:49.240 --> 00:00:53.560]  我們將來都要和神交仗
[00:00:53.560 --> 00:00:55.940]  哥倫多教會
[00:00:55.940 --> 00:00:59.480]  是在保羅第二次宣教旅程所建立的
[00:00:59.480 --> 00:01:02.960]  這個城市是一個飽歷滄桑的城市
[00:01:02.960 --> 00:01:05.020]  在主前146年的時候
[00:01:05.020 --> 00:01:13.500]  這個希臘的城鎮就被羅馬削平
[00:01:13.500 --> 00:01:18.120]  變成一個蕭條的城市
[00:01:18.120 --> 00:01:21.640]  但是在主前44年的時候
[00:01:21.640 --> 00:01:24.640]  即是大約過了98年的時候
[00:01:24.640 --> 00:01:29.100]  羅馬的凱撒大帝就再次建立
[00:01:29.100 --> 00:01:33.480]  重建這個城市、這個地方
[00:01:33.480 --> 00:01:38.460]  成為一個興旺、繁榮的地方
[00:01:38.460 --> 00:01:44.600]  但是當地的教會都是面對著很多的掙扎
[00:01:44.600 --> 00:01:45.980]  但是神是信實的
[00:01:45.980 --> 00:01:49.400]  神透過保羅教導哥倫多的信徒
[00:01:49.400 --> 00:01:51.680]  去過一個豐盛的生活
[00:01:51.680 --> 00:01:53.460]  豐盛的教會生活
[00:01:53.460 --> 00:01:57.900]  今天我們就開始看哥倫多前書
[00:01:57.900 --> 00:02:01.100]  開始一個主題就是「愛在我主教會」
[00:02:01.100 --> 00:02:03.540]  今天是第一課 第一講
[00:02:03.540 --> 00:02:09.040]  我們今天的經文是看第一章1至17節
[00:02:09.040 --> 00:02:11.960]  我們問一個問題
[00:02:11.960 --> 00:02:18.840]  究竟一個無可責備的教會的生活是怎樣的呢?
[00:02:18.840 --> 00:02:21.980]  我們主耶穌回來的時候
[00:02:21.980 --> 00:02:25.340]  我們怎樣才可以跟神交障
[00:02:25.340 --> 00:02:28.880]  被稱為無可指責呢?
[00:02:28.880 --> 00:02:32.980]  我們一起祈禱
[00:02:32.980 --> 00:02:36.360]  我們天父上帝 我們感謝祢
[00:02:36.360 --> 00:02:39.120]  很感謝祢賜下聖經寶貴的話語
[00:02:39.120 --> 00:02:45.220]  教導我們 雖然我們在各樣的挑戰當中
[00:02:45.220 --> 00:02:48.460]  我們怎樣可以從聖經裏面學習
[00:02:48.460 --> 00:02:52.500]  成為一個合理心意的教會
[00:02:52.500 --> 00:02:56.020]  求聖靈幫助我們去學習
[00:02:56.020 --> 00:02:58.420]  聽得清楚 看得明白
[00:02:58.420 --> 00:03:01.480]  祢給我們的旨意
[00:03:01.480 --> 00:03:03.660]  求祢安靜我們的心
[00:03:03.660 --> 00:03:05.440]  去聆聽祢的話語
[00:03:05.440 --> 00:03:06.540]  我們以上的禱告
[00:03:06.540 --> 00:03:09.140]  是奉主耶穌得聖的名字祈求
[00:03:09.140 --> 00:03:12.700]  阿門
[00:03:12.700 --> 00:03:14.980]  我們大家一起看看哥倫多
[00:03:14.980 --> 00:03:18.600]  這個地方的地理背景
[00:03:18.600 --> 00:03:20.980]  現代的希臘這個國家
[00:03:20.980 --> 00:03:23.560]  在羅馬帝國的時候
[00:03:23.560 --> 00:03:25.860]  是有兩個主要的省份
[00:03:25.860 --> 00:03:27.500]  北邊就是馬其頓省
