
[00:00:00.000 --> 00:00:05.400]  其實我們今天在看肥立比書之前
[00:00:05.400 --> 00:00:08.400]  我要先講一個故事給大家聽
[00:00:08.400 --> 00:00:13.240]  話說很多年前有一個精文比賽
[00:00:13.240 --> 00:00:15.240]  這個精文比賽裏面
[00:00:15.240 --> 00:00:19.240]  就是叫一些投稿的人
[00:00:19.240 --> 00:00:25.240]  怎樣可以縮短一個長途的旅程
[00:00:25.240 --> 00:00:27.240]  一個長途的旅程
[00:00:27.240 --> 00:00:31.240]  你怎樣有辦法叫他縮短呢
[00:00:31.240 --> 00:00:34.240]  通常每一個投稿者都會計算
[00:00:34.240 --> 00:00:36.240]  由這個城市去那個城市
[00:00:36.240 --> 00:00:40.240]  坐飛機還是坐快車
[00:00:40.240 --> 00:00:43.240]  用什麼途徑可以最快去到那裏
[00:00:43.240 --> 00:00:46.240]  就叫做一定可以拿獎
[00:00:46.240 --> 00:00:50.240]  但結果獲獎的人的答案
[00:00:50.240 --> 00:00:52.240]  就出乎很多人意料之外
[00:00:52.240 --> 00:00:54.240]  不知道大家知不知道
[00:00:54.240 --> 00:00:57.240]  那個答案是什麼呢
[00:00:57.240 --> 00:00:59.240]  是走路嗎
[00:00:59.240 --> 00:01:02.240]  不是的 走路應該是最慢的
[00:01:02.240 --> 00:01:05.240]  不過他的答案的背後
[00:01:05.240 --> 00:01:07.240]  不是在講那個交通工具
[00:01:07.240 --> 00:01:10.240]  是在講你和你一起
[00:01:10.240 --> 00:01:13.240]  在這個踏上這個旅途
[00:01:13.240 --> 00:01:16.240]  你的同伴是一群什麼的朋友
[00:01:16.240 --> 00:01:19.240]  如果那群是你一群很好的朋友
[00:01:19.240 --> 00:01:24.240]  你就會發覺時間過得很快
[00:01:24.240 --> 00:01:26.240]  這件事是很真實的
[00:01:26.240 --> 00:01:28.240]  不知道你是否有這樣的想法
[00:01:28.240 --> 00:01:31.240]  我很多年前曾經和夫婦團
[00:01:31.240 --> 00:01:33.240]  我們一班頂姐妹
[00:01:33.240 --> 00:01:35.240]  我們去到土耳其
[00:01:35.240 --> 00:01:38.240]  我們參觀那個啟示錄的七教會
[00:01:38.240 --> 00:01:40.240]  後來又去到希臘
[00:01:40.240 --> 00:01:42.240]  我們去到菲臘比 帖薩羅尼加
[00:01:42.240 --> 00:01:44.240]  去到哥倫多
[00:01:44.240 --> 00:01:47.240]  看保羅宣教的過程
[00:01:47.240 --> 00:01:49.240]  特別是在土耳其
