
[00:00:00.000 --> 00:00:01.600]  好,各位大師妹,早晨
[00:00:01.600 --> 00:00:05.400]  在開始的時候,很想問大家一條問題
[00:00:05.400 --> 00:00:08.300]  大家覺得,我們身為基督徒
[00:00:08.300 --> 00:00:11.100]  有哪兩個屬靈的標記?
[00:00:11.100 --> 00:00:14.500]  如果我這樣問,我不知道你會想起哪兩樣
[00:00:14.500 --> 00:00:18.500]  可能你心裡面說,哦,不是只兩樣
[00:00:18.500 --> 00:00:20.200]  可能有很多樣
[00:00:20.200 --> 00:00:23.800]  可能你想到的是,要愛神、愛人
[00:00:23.800 --> 00:00:29.100]  可能你想到的是,要決意履行大誡命、大使命等等
[00:00:29.100 --> 00:00:32.600]  今天讓我們一起從《彼得前書》三章
[00:00:32.600 --> 00:00:35.800]  去看看,那裡的答案是什麼
[00:00:35.800 --> 00:00:39.800]  現在我先邀請丁姐妹,先幫我讀出今天的經文,好嗎?
[00:00:39.800 --> 00:00:42.800]  第八節至十六節,預備起
[00:00:42.800 --> 00:00:46.800]  總而言之,你們都要同心
[00:00:46.800 --> 00:00:51.500]  相愛如弟兄,全年穩過天悲的心
[00:00:51.500 --> 00:00:55.800]  不要以惡報惡,以辱罵還辱罵
[00:00:55.800 --> 00:01:00.900]  賭焉祝福,因為你們正是為此夢遭敵
[00:01:00.900 --> 00:01:03.700]  好使你們承受福氣
[00:01:03.700 --> 00:01:07.700]  因為經常說,凡以愛惜生命
[00:01:07.700 --> 00:01:09.800]  享受恐日子的人
[00:01:09.800 --> 00:01:13.000]  要禁止舌頭不出惡言
[00:01:13.000 --> 00:01:15.800]  嘴唇不說為殺的話
[00:01:15.800 --> 00:01:19.800]  也要棄惡行善,尋求和平
[00:01:19.800 --> 00:01:24.600]  一心追求,一位主的眼看護二人
[00:01:24.600 --> 00:01:27.800]  他力而聽他們的祈禱
[00:01:27.800 --> 00:01:30.800]  單純向合我的人辯
[00:01:30.800 --> 00:01:36.800]  你們若要心行善,有誰會害你們呢?
[00:01:36.800 --> 00:01:41.300]  即使你們畏已受苦,也先有福的
[00:01:41.300 --> 00:01:45.600]  不要怕人的威嚇,也不要驚慌
[00:01:45.600 --> 00:01:51.300]  只要心對奉主基督為性,尊他為主
[00:01:51.300 --> 00:01:55.200]  有人問你們心中喊命的理由
[00:01:55.200 --> 00:01:57.800]  要隨時準備答覆
[00:01:57.800 --> 00:02:02.200]  不過要以光有敬畏的心回答
[00:02:02.200 --> 00:02:08.300]  要全無愧的良心,使你們在何時上被委託
[00:02:08.300 --> 00:02:12.100]  就在何時上使那些凌辱你們
[00:02:12.100 --> 00:02:17.000]  在這個旅遊很憤恨的人自覺受割
[00:02:17.000 --> 00:02:19.000]  好,謝謝各位頂線媒
[00:02:19.000 --> 00:02:21.800]  今天這段經文可以分為兩個部份
[00:02:21.800 --> 00:02:24.300]  第一個部份是八至十二節
[00:02:24.300 --> 00:02:26.000]  就是剛才那張slide
[00:02:26.000 --> 00:02:28.200]  是和恨善有關的
[00:02:28.200 --> 00:02:31.100]  而第二個部份就是十三至十六節
[00:02:31.100 --> 00:02:33.400]  它是和受苦有關的
[00:02:33.400 --> 00:02:38.300]  大家都想到這兩個標記是什麼了
[00:02:38.300 --> 00:02:42.800]  經文一開始提到總而言之那幾個字
[00:02:42.800 --> 00:02:45.200]  很明顯這是一個總結
[00:02:45.200 --> 00:02:50.900]  是總結著二章十一節到三章七節的大段落
[00:02:50.900 --> 00:02:54.900]  如果大家還記得我們前幾個星期的講道信息
[00:02:54.900 --> 00:02:56.900]  比特在第二第三章
[00:02:56.900 --> 00:03:01.700]  就針對不同的角色和身份的信徒作出一些教導
[00:03:01.700 --> 00:03:03.200]  就像這張slide這樣
[00:03:03.200 --> 00:03:07.300]  當中包括了信徒和教外人的關係
[00:03:07.300 --> 00:03:08.600]  那個的相處
[00:03:08.600 --> 00:03:13.300]  又說到和當權者的相處應該是怎樣
[00:03:13.300 --> 00:03:18.700]  然後第十八節到二十節就說到主僕之間的相處
[00:03:18.700 --> 00:03:23.000]  以及後面夫婦之間又應該怎樣相處
[00:03:23.000 --> 00:03:24.500]  講得很清楚
[00:03:24.500 --> 00:03:26.100]  比特的目的是什麼
[00:03:26.100 --> 00:03:27.600]  就是要幫助信徒
[00:03:27.600 --> 00:03:30.800]  怎樣在一個敵黨神的大環境當中
[00:03:30.800 --> 00:03:33.100]  活出美好的見證
[00:03:33.100 --> 00:03:34.800]  要去到榮耀他
[00:03:34.800 --> 00:03:36.700]  因此來到第八節這裡
[00:03:36.700 --> 00:03:40.900]  當比特討論過以上的角色和關係之後
[00:03:40.900 --> 00:03:44.600]  他覺得是時候要對著教會的傳媒中
[00:03:44.600 --> 00:03:46.200]  要作一個總結了
[00:03:46.200 --> 00:03:49.100]  因此來到我們今天講的
[00:03:49.100 --> 00:03:51.400]  著作主門徒的第一個標記
[00:03:51.400 --> 00:03:52.800]  就是恨善
[00:03:52.800 --> 00:03:54.000]  為什麼這樣說呢
[00:03:54.000 --> 00:03:55.200]  第八節
[00:03:55.200 --> 00:03:57.700]  你們都要同心彼此的體恤
[00:03:57.700 --> 00:03:59.400]  相愛如弟兄
[00:03:59.400 --> 00:04:02.100]  全憐憫和謙卑的心
[00:04:02.100 --> 00:04:03.700]  這裡很清楚地
[00:04:03.700 --> 00:04:06.700]  比特總結了五個很重要的特質
[00:04:06.700 --> 00:04:11.700]  就是同心、體恤、相愛、憐憫和謙卑
[00:04:11.700 --> 00:04:16.300]  是比特很想教會的每一個信徒都擁有的
[00:04:16.300 --> 00:04:17.600]  如果要兩個字
[00:04:17.600 --> 00:04:20.100]  用兩個字去形容這些的質素
[00:04:20.100 --> 00:04:22.200]  其實就是恨善
[00:04:22.200 --> 00:04:23.300]  為什麼這樣說呢
[00:04:23.300 --> 00:04:24.900]  如果我們再看回
