
[00:00:00.000 --> 00:00:03.000]  鄧英姐妹早晨
[00:00:03.000 --> 00:00:08.000]  想起我兩個小朋友還小的時候
[00:00:08.000 --> 00:00:16.000]  其實我們很忙,沒什麼機會帶他們到郊外跑跑跳跳
[00:00:16.000 --> 00:00:20.000]  所以當他們放暑假的時候
[00:00:20.000 --> 00:00:27.000]  他們還小,我們每年都會有一個機構的戶外活動
[00:00:27.000 --> 00:00:32.000]  我們必然會幫他們報名參加
[00:00:32.000 --> 00:00:36.000]  因為每年都參與
[00:00:36.000 --> 00:00:43.000]  所以大兒子去了幾年就覺得沒什麼新意
[00:00:43.000 --> 00:00:46.000]  但弟弟就不同了,因為小幾歲
[00:00:46.000 --> 00:00:50.000]  所以最初他不夠歲數參加
[00:00:50.000 --> 00:00:57.000]  到第一年有機會參與這個活動的時候,他就非常雀躍
[00:00:57.000 --> 00:01:01.000]  弟弟和哥哥有個分別
[00:01:01.000 --> 00:01:08.000]  弟弟是一個比較不小心的小朋友
[00:01:08.000 --> 00:01:17.000]  所以有時他都會做出一些嚇怕我和太太的動作
[00:01:17.000 --> 00:01:25.000]  那年是第一年,父母不在身邊參與這個活動
[00:01:25.000 --> 00:01:31.000]  所以我們就提醒他要小心一點
[00:01:31.000 --> 00:01:35.000]  接著幫他預備了很多東西
[00:01:35.000 --> 00:01:39.000]  當然是水瓶,小食
[00:01:39.000 --> 00:01:44.000]  在旅遊巴那邊被人封褸,怕著會著涼
[00:01:44.000 --> 00:01:51.000]  還有帽子,蚊膏,飯盒,紙巾,一大堆
[00:01:51.000 --> 00:01:53.000]  塞滿了背囊
[00:01:53.000 --> 00:01:58.000]  還有機構還會派一個斜揹袋給他
[00:01:58.000 --> 00:02:01.000]  有名冊,有名牌
[00:02:01.000 --> 00:02:07.000]  掛在身上,好像聖誕樹
[00:02:07.000 --> 00:02:16.000]  當時他不覺得麻煩,他覺得很開心
[00:02:16.000 --> 00:02:20.000]  因為未去過,做好準備
[00:02:20.000 --> 00:02:26.000]  我不知道大家如果出門遠行
[00:02:26.000 --> 00:02:31.000]  去比較長的旅程的時候
[00:02:31.000 --> 00:02:34.000]  你會準備些什麼
[00:02:34.000 --> 00:02:37.000]  我相信大家還記得
[00:02:37.000 --> 00:02:41.000]  早前第七章以色列記
[00:02:41.000 --> 00:02:48.000]  就提到亞達斯西王送了幾份大禮給這班以色列民
[00:02:48.000 --> 00:02:53.000]  當這班以色列民甘心樂意回應
[00:02:53.000 --> 00:02:58.000]  好了,終於起行,踏上征途了
[00:02:58.000 --> 00:03:07.000]  猶太人就成就了上帝給他們一個回歸的使命
[00:03:07.000 --> 00:03:14.000]  第八章就描述他們如何踏上征途的歷程
[00:03:14.000 --> 00:03:20.000]  我先讀讀第十五至第二十節
[00:03:20.000 --> 00:03:29.000]  預備起!朝聚這些人再流入阿哈瓦的河邊,可門在那裡住了三日?
[00:03:29.000 --> 00:03:34.000]  可察看百姓和祭司見沒有你們人在那裡?
[00:03:34.000 --> 00:03:43.000]  就召首領伊利爾謝,次瑪雅,伊利拿丹,瓦勒,伊利拿丹,拿丹
[00:03:43.000 --> 00:03:49.000]  撒加尼亞,米舒蘭,又召教集的約瓦勒
[00:03:49.000 --> 00:03:51.000]  和伊利拿丹
[00:03:51.000 --> 00:03:58.000]  我打發他們和加西菲亞地康去,見那裡的首領亦多
[00:03:58.000 --> 00:04:04.000]  又告訴他們當向亦多和他的弟兄尼提寧說什麼話
[00:04:04.000 --> 00:04:09.000]  叫他們為我們神的殿帶使用的人來
[00:04:09.000 --> 00:04:20.000]  蒙我們神私恩的手幫助我們,他們在以色列的曾孫利美的孫子後裔中帶一個通達人來
[00:04:20.000 --> 00:04:26.000]  還有士利比和他的眾子與弟兄共一十八人
[00:04:26.000 --> 00:04:32.000]  又有哈沙比亞同著他有米拉利的子孫耶西亞
[00:04:32.000 --> 00:04:36.000]  並他的眾子和弟兄共二十人
[00:04:36.000 --> 00:04:41.000]  從前大衛和眾首領派尼尼寧服侍利美人
[00:04:41.000 --> 00:04:49.000]  現在從這尼提寧中也帶了二百二十人來,都是按命指定的
[00:04:49.000 --> 00:04:54.000]  經文在第十五節,上半節一開始就說
[00:04:54.000 --> 00:04:58.000]  我召聚這些人在流入阿哈瓦的河邊
[00:04:58.000 --> 00:05:00.000]  這些人是什麼人呢?
[00:05:00.000 --> 00:05:07.000]  就是在第八章頭的十四節,剛才沒有跟大家讀
[00:05:07.000 --> 00:05:11.000]  因為是一個很長的名字的名單
[00:05:11.000 --> 00:05:18.000]  這個回歸者的名單按照聖經學者的計算
[00:05:18.000 --> 00:05:26.000]  託男帶女連同家眷在內大概有一千五百人
[00:05:26.000 --> 00:05:31.000]  如果大家還有印象,以色拉記的第二章
[00:05:31.000 --> 00:05:35.000]  同樣是記載了一個回歸者的名單
[00:05:35.000 --> 00:05:42.000]  第二章的名單,如果我們跟第八章的名單比較
[00:05:42.000 --> 00:05:45.000]  我們會發覺有些名字是重複的
[00:05:45.000 --> 00:05:50.000]  為什麼呢?因為最初所羅伯伯帶領的回歸
[00:05:50.000 --> 00:05:55.000]  這群以色列人每一個家族都有人回去
[00:05:55.000 --> 00:05:58.000]  但不是整個家族都回去
[00:05:58.000 --> 00:06:04.000]  所以經過八十年後,上一次沒有跟大隊回去
[00:06:04.000 --> 00:06:10.000]  這次終於響應以色列的呼籲,一起起行了
[00:06:10.000 --> 00:06:15.000]  裡面包括什麼人呢?包括了來自祭司家族的
[00:06:15.000 --> 00:06:19.000]  還有大衛的後裔
[00:06:19.000 --> 00:06:26.000]  這群人當然是屬靈領袖,也是屬世領袖
[00:06:26.000 --> 00:06:30.000]  還有其他平民百姓跟在一起
[00:06:30.000 --> 00:06:37.000]  招聚這群人回去的目的,其實就是想他們加入侍奉行列
[00:06:37.000 --> 00:06:43.000]  當我們看下去,經文在第十五節下半節就這樣說
