
[00:00:00.000 --> 00:00:03.000]  早晨 各位弟兄姊妹
[00:00:03.000 --> 00:00:06.000]  今天回來實在是很歡喜
[00:00:06.000 --> 00:00:09.000]  不是因為是父親節
[00:00:09.000 --> 00:00:14.000]  因為剛才的感覺非常特別
[00:00:14.000 --> 00:00:17.000]  有慰藏父親來祈禱
[00:00:17.000 --> 00:00:19.000]  真是很好的
[00:00:19.000 --> 00:00:22.000]  通常媽媽就是為人祈禱
[00:00:22.000 --> 00:00:25.000]  爸爸就是要人為他祈禱
[00:00:25.000 --> 00:00:29.000]  這些是我們學習的謙卑功課
[00:00:29.000 --> 00:00:31.000]  各位父親加油
[00:00:31.000 --> 00:00:35.000]  因為這個世界的問題多數是男人搞出來的
[00:00:35.000 --> 00:00:37.000]  我經常說男人沒問題
[00:00:37.000 --> 00:00:41.000]  女人也很少問題 是不是 秀欣
[00:00:41.000 --> 00:00:43.000]  今天早上開心的
[00:00:43.000 --> 00:00:48.000]  就是終於可以陪著岳母
[00:00:48.000 --> 00:00:51.000]  不用踢樓梯上來
[00:00:51.000 --> 00:00:53.000]  感謝天父
[00:00:53.000 --> 00:00:57.000]  慰藏弟兄姊妹這麼久的勞苦
[00:00:57.000 --> 00:00:59.000]  真的很感恩
[00:00:59.000 --> 00:01:03.000]  可能也差不多兩年了
[00:01:03.000 --> 00:01:05.000]  很多的經歷
[00:01:05.000 --> 00:01:08.000]  當中人生也有很多不同的故事
[00:01:08.000 --> 00:01:10.000]  很多的變化
[00:01:10.000 --> 00:01:12.000]  但我們也感謝主的恩典
[00:01:12.000 --> 00:01:14.000]  繼續在這個群體
[00:01:14.000 --> 00:01:19.000]  我進去那架升降台
[00:01:19.000 --> 00:01:22.000]  感覺真的很好
[00:01:22.000 --> 00:01:27.000]  服侍我們的兩位弟兄真是很好
[00:01:27.000 --> 00:01:30.000]  招待我們站進去
[00:01:30.000 --> 00:01:32.000]  幫我們站穩
[00:01:32.000 --> 00:01:34.000]  然後好像開車的人
[00:01:34.000 --> 00:01:36.000]  站穩
[00:01:36.000 --> 00:01:38.000]  其實也不錯的
[00:01:38.000 --> 00:01:40.000]  坐了也不會滾出去
[00:01:40.000 --> 00:01:43.000]  不過他就是這麼細心 站穩
[00:01:43.000 --> 00:01:45.000]  開始坐到遠了
[00:01:45.000 --> 00:01:48.000]  推門是要人手推的
[00:01:48.000 --> 00:01:51.000]  所以服侍真的很不簡單
[00:01:51.000 --> 00:01:53.000]  雖然是熱熱的
[00:01:53.000 --> 00:01:55.000]  不過心靜自然涼
[00:01:55.000 --> 00:01:59.000]  禮堂的冷氣也會出去一點
[00:01:59.000 --> 00:02:00.000]  為了這件事
[00:02:00.000 --> 00:02:02.000]  我們豐盛家門的恩典
[00:02:02.000 --> 00:02:04.000]  開心嗎
[00:02:04.000 --> 00:02:06.000]  為了你有份在當中
