
[00:00:00.000 --> 00:00:01.860]  OK 弟兄姊妹們
[00:00:01.860 --> 00:00:05.880]  好 想先問一下弟兄姊妹
[00:00:05.880 --> 00:00:07.960]  有沒有一些事情呢
[00:00:07.960 --> 00:00:09.960]  或者一些興趣也好
[00:00:09.960 --> 00:00:11.840]  你們一想起呢
[00:00:11.840 --> 00:00:13.840]  就會很熱血沸騰的了
[00:00:13.840 --> 00:00:15.800]  或者你們會很有熱誠
[00:00:15.800 --> 00:00:18.140]  很passion的去做這件事的
[00:00:18.140 --> 00:00:21.320]  有沒有一件這樣的事情呢 弟兄姊妹
[00:00:21.320 --> 00:00:25.780]  沒有
[00:00:25.780 --> 00:00:28.240]  你們的生活都很悶
[00:00:29.560 --> 00:00:33.540]  如果你問一些中學生
[00:00:33.540 --> 00:00:36.900]  他們最熱血 最有熱誠去做的事情是什麼呢
[00:00:36.900 --> 00:00:39.360]  就是打機 一定是的
[00:00:39.360 --> 00:00:42.280]  另外對某些中學生來說
[00:00:42.280 --> 00:00:45.520]  可能就是一些學界的比賽
[00:00:45.520 --> 00:00:46.800]  不知道大家知不知道
[00:00:46.800 --> 00:00:48.800]  現在的中學生學界比賽
[00:00:48.800 --> 00:00:50.800]  是可以有電視直播的
[00:00:50.800 --> 00:00:54.340]  譬如籃球 或者排球
[00:00:54.340 --> 00:00:56.800]  如果你有看過在現場
[00:00:56.800 --> 00:00:59.920]  無論在現場比賽的同學
[00:00:59.920 --> 00:01:01.920]  或者在旁邊打氣的同學
[00:01:01.920 --> 00:01:03.920]  都是很投入的
[00:01:03.920 --> 00:01:05.420]  很熱血的
[00:01:05.420 --> 00:01:08.220]  你看比賽 你都會覺得自己年輕了
[00:01:08.220 --> 00:01:10.220]  會是這樣的情況
[00:01:10.220 --> 00:01:12.220]  他們經常說 我不想在中學
[00:01:12.220 --> 00:01:14.220]  留下一些遺憾
[00:01:14.220 --> 00:01:16.640]  所以我要盡全力去比賽
[00:01:16.640 --> 00:01:19.220]  如果對大學生來說
[00:01:19.220 --> 00:01:22.540]  他們最熱血 最有熱誠去做的事情是什麼呢
[00:01:22.540 --> 00:01:25.740]  很可能其中一件事就是上妝
[00:01:25.740 --> 00:01:27.740]  做一些學會
[00:01:27.740 --> 00:01:29.740]  宿舍的委員會
[00:01:29.740 --> 00:01:31.740]  在裡面搞一些活動
[00:01:31.740 --> 00:01:33.740]  或者為學會
[00:01:33.740 --> 00:01:35.740]  為他們的妝
[00:01:35.740 --> 00:01:37.740]  去做一個動作
[00:01:37.740 --> 00:01:39.740]  不知道大家有沒有聽過 釘別
