
[00:00:00.000 --> 00:00:04.680]  好 我們今天要開始講另外一本書
[00:00:04.680 --> 00:00:09.600]  在講這個新的一本書之前 還是要做一些複習
[00:00:09.600 --> 00:00:15.320]  因爲在《舊約聖經》裏面 其實是一個一整本書
[00:00:15.320 --> 00:00:19.120]  儘管它有39本 但是其實39本就是
[00:00:19.120 --> 00:00:21.280]  從某一個角度來說是一本
[00:00:21.280 --> 00:00:24.640]  所以我們在看前面 比如說《摩西五經》的時候
[00:00:24.640 --> 00:00:27.720]  它是這本書的頭5章
[00:00:27.720 --> 00:00:32.560]  這頭5章是非常重要 因爲你到第六 第七 第八章的時候
[00:00:32.560 --> 00:00:37.720]  其實你是在看回頭 假設你已經看過了頭5章
[00:00:37.720 --> 00:00:41.440]  所以雖然我們沒有時間會很仔細的去看
[00:00:41.440 --> 00:00:45.800]  我們還是要記一下之前發生了什麼事情
[00:00:45.800 --> 00:00:52.000]  《創世紀》是講創造、墮落、救贖三部曲
[00:00:52.000 --> 00:00:55.920]  《出埃及記》是《偶像之家逃生記》
[00:00:55.920 --> 00:01:02.560]  是上帝把以色列人不是單單從埃及的被奴之地
[00:01:02.560 --> 00:01:07.440]  而是偶像之家 把他們拯救出來
[00:01:07.440 --> 00:01:10.360]  《立威記》聖潔君王保衛者
[00:01:10.360 --> 00:01:15.280]  立威是要保護耶和華的聖潔 他是一個聖潔的君王
[00:01:15.280 --> 00:01:18.680]  上帝開始啓示自己給以色列人
[00:01:18.680 --> 00:01:22.560]  給全世界的人知道他是一個怎麼樣的上帝
[00:01:22.560 --> 00:01:27.480]  曠野中的大叛逆 儘管上帝是那麼聖潔
[00:01:27.480 --> 00:01:29.800]  儘管上帝已經把自己啓示
[00:01:29.800 --> 00:01:33.640]  但是以色列人在曠野的40年裏面
[00:01:33.640 --> 00:01:38.480]  不單只是一次的叛逆 而是持續的叛逆
[00:01:38.480 --> 00:01:41.320]  這是民宿紀的故事
[00:01:41.320 --> 00:01:45.880]  最後40年過後 他們本來可以很快進入英雄之地
[00:01:45.880 --> 00:01:47.600]  但是因爲他們的不幸
[00:01:47.600 --> 00:01:52.040]  在曠野40年第一代過去 第二代又來的時候
[00:01:52.040 --> 00:01:55.040]  摩西不能進入英雄之地
[00:01:55.040 --> 00:01:57.920]  摩西在最後的摩亞的平原
