
[00:00:00.000 --> 00:00:03.900]  邀請我們大家一起再次低頭祈禱
[00:00:03.900 --> 00:00:05.440]  想說感謝祢
[00:00:05.440 --> 00:00:08.360]  感謝祢招聚我們一齊來敬拜
[00:00:08.360 --> 00:00:11.920]  讓祢的話語來充滿我們
[00:00:11.920 --> 00:00:14.620]  來指引我們生命的方向
[00:00:14.620 --> 00:00:16.400]  和成為我們自己的力量
[00:00:16.400 --> 00:00:19.560]  有願講的和聽的都同夢你的月
[00:00:19.560 --> 00:00:21.840]  祈禱奉主耶穌 祈禱個名求
[00:00:21.840 --> 00:00:23.840]  阿們
[00:00:23.840 --> 00:00:25.240]  想問問大家的弟兄姊妹
[00:00:25.240 --> 00:00:28.240]  不知道你們有沒有看過《麻戲》呢
[00:00:28.240 --> 00:00:30.720]  《麻戲團》 有沒有
[00:00:30.720 --> 00:00:32.320]  有啦
[00:00:32.320 --> 00:00:33.760]  當你見到
[00:00:33.760 --> 00:00:36.720]  當然現在《麻戲團》有很多的表演
[00:00:36.720 --> 00:00:38.280]  不知道你們有沒有看過
[00:00:38.280 --> 00:00:43.480]  那些神獸師帶老虎 獅子 黑熊
[00:00:43.480 --> 00:00:45.280]  大象出來的時候
[00:00:45.280 --> 00:00:47.440]  去很多表演的時候
[00:00:47.440 --> 00:00:51.960]  不知道你有什麼感受呢
[00:00:51.960 --> 00:00:53.160]  很驚訝
[00:00:53.160 --> 00:00:57.160]  為什麼老虎 獅子都可以給一個人
[00:00:57.160 --> 00:00:58.640]  那個神獸師
[00:00:58.640 --> 00:01:00.880]  去訓練到
[00:01:00.880 --> 00:01:02.680]  可以做一些
[00:01:02.680 --> 00:01:06.960]  好像人類做的事情
[00:01:06.960 --> 00:01:10.080]  當然我們人類跳不了火圈的
[00:01:10.080 --> 00:01:12.280]  我不知道大家會不會有一種感覺
[00:01:12.280 --> 00:01:14.000]  嘩 好勁呀
[00:01:14.000 --> 00:01:15.840]  一隻萬獸之王
[00:01:15.840 --> 00:01:19.640]  都可以在神獸師的底下
[00:01:19.640 --> 00:01:21.600]  好像一隻什麼
[00:01:21.600 --> 00:01:23.400]  小貓
[00:01:23.400 --> 00:01:24.960]  是不是
[00:01:24.960 --> 00:01:28.000]  我看《麻戲團》的時候有點複雜
[00:01:28.000 --> 00:01:31.080]  按道理 我沒見過真的獅子
[00:01:31.080 --> 00:01:34.640]  在電視上的影片
[00:01:34.640 --> 00:01:37.240]  它稱得為萬獸之王
[00:01:37.240 --> 00:01:39.320]  是很威猛的
[00:01:39.320 --> 00:01:42.240]  在電影上 它那種威嚴
[00:01:42.240 --> 00:01:45.120]  那種能力
[00:01:45.120 --> 00:01:47.320]  其實一方面是很欣賞
[00:01:47.320 --> 00:01:49.600]  但同時都應該很害怕
[00:01:49.600 --> 00:01:51.800]  但原來在《麻戲團》裡面的時候
[00:01:51.800 --> 00:01:54.200]  咦 它是另一個樣子
[00:01:54.200 --> 00:01:56.840]  一方面我覺得神獸師都很厲害
[00:01:56.840 --> 00:01:58.640]  但另一方面就是
[00:01:58.640 --> 00:02:00.760]  為什麼它的真性情
[00:02:00.760 --> 00:02:03.160]  又會沒有了呢
[00:02:03.160 --> 00:02:05.520]  今天跟大家分享的經文
[00:02:05.520 --> 00:02:08.720]  就是詩篇的147篇
[00:02:08.720 --> 00:02:13.680]  詩篇147篇是由三首贊美詩所組合的
[00:02:13.680 --> 00:02:15.240]  分別是1至6節
[00:02:15.240 --> 00:02:16.480]  7至11節
[00:02:16.480 --> 00:02:21.280]  以及今天沒有選擇的12至20節
[00:02:21.280 --> 00:02:24.640]  從第二節描述看到寫作的時間
[00:02:24.640 --> 00:02:27.640]  是在以色列人秘魯回歸之後
[00:02:27.640 --> 00:02:30.800]  第19節更加告訴我們
[00:02:30.800 --> 00:02:33.880]  應該是在以色列公佈律法之後
[00:02:33.880 --> 00:02:38.640]  即是聖建和城牆被重建之後
[00:02:38.640 --> 00:02:40.640]  第一首贊美詩1至6節
[00:02:40.640 --> 00:02:44.400]  表達了群眾對上帝那份贊美
[00:02:44.400 --> 00:02:47.480]  他們自稱是被趕散的人
