
[00:00:00.000 --> 00:00:03.280]  聖經裏面有很多偉大的人物
[00:00:03.280 --> 00:00:05.280]  是我們很尊敬的
[00:00:05.280 --> 00:00:08.280]  但是其中一個我覺得很特別
[00:00:08.280 --> 00:00:10.280]  這個就是大衛
[00:00:10.280 --> 00:00:14.280]  我就想為什麼上帝這麼體重大衛
[00:00:14.280 --> 00:00:16.280]  這麼疼愛他呢
[00:00:16.280 --> 00:00:17.780]  上帝好像特別
[00:00:17.780 --> 00:00:21.280]  恩待大衛多於恩待其他的人
[00:00:21.280 --> 00:00:24.280]  如果你看聖經你會留意到
[00:00:27.280 --> 00:00:31.280]  上帝稱他為合神心意的人
[00:00:31.280 --> 00:00:33.280]  撒姆爾說
[00:00:33.280 --> 00:00:36.280]  耶和華已經尋著一個合他心意的人
[00:00:36.280 --> 00:00:39.280]  立他作百姓的棍
[00:00:39.280 --> 00:00:42.280]  那怎樣才是一個合神心意的人呢
[00:00:42.280 --> 00:00:46.280]  你和我是不是一個合神心意的人呢
[00:00:46.280 --> 00:00:50.280]  還有在啟示錄最後那一章
[00:00:50.280 --> 00:00:55.280]  當人類的歷史有一天要結束的時候
[00:00:55.280 --> 00:00:59.280]  好像舞台的幕要關閉到最後一刻的時候
[00:00:59.280 --> 00:01:02.280]  耶穌基督說了一句話
[00:01:02.280 --> 00:01:04.280]  祂說
[00:01:04.280 --> 00:01:07.280]  我是大衛的根,又是他的後裔
[00:01:07.280 --> 00:01:09.280]  我是明亮的神聖
[00:01:09.280 --> 00:01:13.280]  你想清楚耶穌基督就是三位一體的神
[00:01:13.280 --> 00:01:16.280]  創天造地,自有永有的神
[00:01:16.280 --> 00:01:18.280]  祂竟然說我是大衛的後裔
[00:01:18.280 --> 00:01:20.280]  在啟示錄最後一章
[00:01:20.280 --> 00:01:22.280]  耶穌基督說的最後一句話
[00:01:22.280 --> 00:01:25.280]  我是大衛的後裔,我是明亮的神聖
[00:01:25.280 --> 00:01:28.280]  為什麼大衛這麼了不起
[00:01:28.280 --> 00:01:30.280]  他也是一個凡人
[00:01:30.280 --> 00:01:33.280]  他犯了很多罪,為什麼上帝這麼體重他
[00:01:33.280 --> 00:01:38.280]  你和我有沒有得到這樣的體重
[00:01:38.280 --> 00:01:40.280]  我們要看一張聖經
[00:01:40.280 --> 00:01:43.280]  這張聖經是剛才主席和我們讀
[00:01:43.280 --> 00:01:45.280]  撒姆爾記下22章
[00:01:45.280 --> 00:01:48.280]  是大衛晚年的時候寫的
[00:01:48.280 --> 00:01:50.280]  你留意到這張聖經
[00:01:50.280 --> 00:01:55.280]  當上帝帶領保護大衛脫離
[00:01:55.280 --> 00:01:58.280]  一切仇敵的仇已經到了晚年
[00:01:58.280 --> 00:02:00.280]  所有仇敵都沒有了
[00:02:00.280 --> 00:02:02.280]  他寫了一首詩
[00:02:02.280 --> 00:02:07.280]  這首詩能夠幫助我們了解神為什麼體重大衛
[00:02:07.280 --> 00:02:11.280]  而我們也可以成為合神心意的人
[00:02:11.280 --> 00:02:17.280]  今天是我離職之前最後一次的講道
[00:02:17.280 --> 00:02:22.280]  所以我希望將這個信息送給大家作為告別的禮物
[00:02:22.280 --> 00:02:25.280]  我對你的祝福就是你好像大衛一樣
[00:02:25.280 --> 00:02:28.280]  成為合神心意的人
[00:02:28.280 --> 00:02:31.280]  首先我們很快的重溫大衛的生平
[00:02:31.280 --> 00:02:35.280]  大衛年少的時候就相當平凡的生活
[00:02:35.280 --> 00:02:37.280]  他是做什麼的
[00:02:37.280 --> 00:02:38.280]  他牧羊
[00:02:38.280 --> 00:02:40.280]  不過那時候的社會和現在不同
[00:02:40.280 --> 00:02:42.280]  那時候外面有獅子
[00:02:42.280 --> 00:02:44.280]  所以大衛要保護羊
[00:02:44.280 --> 00:02:46.280]  有時候和獅子打架
[00:02:46.280 --> 00:02:48.280]  竟然是打贏的
[00:02:48.280 --> 00:02:54.280]  大衛蘇羅30歲的時候做以色列的王
[00:02:54.280 --> 00:02:56.280]  50歲的時候
[00:02:56.280 --> 00:02:58.280]  大衛那時候還沒有到20歲
[00:02:58.280 --> 00:03:00.280]  就已經殺死了哥利亞
[00:03:00.280 --> 00:03:02.280]  成為蘇羅的得力助手
[00:03:02.280 --> 00:03:06.280]  但是以色列的婦女就不是很懂事
[00:03:06.280 --> 00:03:09.280]  他們唱一首歌就說蘇羅殺死千千
[00:03:09.280 --> 00:03:10.280]  大衛殺死萬萬
[00:03:10.280 --> 00:03:15.280]  搞到大衛就變成了所謂功高蓋主
[00:03:15.280 --> 00:03:17.280]  蘇羅就妒忌他
[00:03:17.280 --> 00:03:19.280]  要追殺他
[00:03:19.280 --> 00:03:21.280]  以致他要到處逃亡
