
[00:00:00.000 --> 00:00:08.440]  各位朋友大家好 我是劉少康牧師陪你談天這個節目的主持人劉牧師
[00:00:08.440 --> 00:00:13.820]  現在是春節哈 坐在我身旁的是屈偉豪博士
[00:00:13.820 --> 00:00:19.960]  屈博士你好 新年快樂 新年快樂 新年快樂 大家的快樂 有什麼恭喜的話
[00:00:19.960 --> 00:00:26.360]  跟聽衆講講 你恭喜他們什麼呢 我覺得身體健康 內心快樂
[00:00:26.620 --> 00:00:31.740]  起個滿意了 但是你是做什麼家庭輔導的
[00:00:31.740 --> 00:00:34.040]  最重要是一家全員
[00:00:34.040 --> 00:00:38.640]  不要吵架 一家人吵架了
[00:00:38.640 --> 00:00:40.440]  那就是大事了
[00:00:40.440 --> 00:00:42.240]  家庭要和睦
[00:00:42.240 --> 00:00:43.760]  家不和
[00:00:43.760 --> 00:00:46.580]  社會就沒有平安了
[00:00:46.580 --> 00:00:52.980]  外面工作已經辛苦了 回家就快快樂樂 恩恩愛愛嘛
[00:00:53.240 --> 00:00:59.380]  父母兒女都快樂 最好最好 其他都不重要
[00:00:59.380 --> 00:01:03.220]  所以我們兩位都恭喜各位 你們家庭要和睦
[00:01:03.220 --> 00:01:05.020]  夫妻要相愛
[00:01:05.020 --> 00:01:07.580]  父母跟兒女相處得好
[00:01:07.580 --> 00:01:13.980]  兒女孝順父母 不要頂嘴 那就大家都開心快樂了
[00:01:13.980 --> 00:01:17.560]  因爲屈偉豪博士我認識他很久了
[00:01:17.560 --> 00:01:19.360]  他是在美國
[00:01:19.360 --> 00:01:20.380]  很有名的
[00:01:20.640 --> 00:01:24.480]  蘇勒神學院畢業的 他拿到他的什麼
[00:01:24.480 --> 00:01:28.060]  家庭婚姻輔導的博士學位
[00:01:28.060 --> 00:01:30.880]  然後他也有臨牀
[00:01:30.880 --> 00:01:36.780]  做輔導 做家庭婚姻治療的專業的
[00:01:36.780 --> 00:01:40.860]  差不多30年了
[00:01:40.860 --> 00:01:44.960]  他回香港以後就在香港金世衛神學院
[00:01:44.960 --> 00:01:46.240]  教書
[00:01:46.240 --> 00:01:49.820]  後來就到了博特利神學院教書
[00:01:50.080 --> 00:01:54.940]  那你一直教的都是家庭治療 輔導的
[00:01:54.940 --> 00:02:01.340]  婚姻的輔導 心理的輔導 人的長講 大概都是這個範圍
[00:02:01.340 --> 00:02:05.700]  因爲我知道香港以前教輔導的人
[00:02:05.700 --> 00:02:06.720]  不是那麼多
[00:02:06.720 --> 00:02:08.760]  是那個時候你很
[00:02:08.760 --> 00:02:15.160]  受歡迎 因爲大家要學輔導就說找屈偉豪 找屈偉豪 因爲他是最有名了
[00:02:15.160 --> 00:02:16.440]  所以我們就找他了
[00:02:16.440 --> 00:02:18.240]  你可不可以講一講
[00:02:18.500 --> 00:02:20.800]  你那麼多年教學的經驗
[00:02:20.800 --> 00:02:24.380]  你覺得學輔導最重要是什麼
[00:02:24.380 --> 00:02:26.440]  簡簡單單講
[00:02:26.440 --> 00:02:29.240]  第一我覺得一定有心
[00:02:29.240 --> 00:02:32.060]  我們對人沒有愛心
[00:02:32.060 --> 00:02:33.600]  就什麼都談不來了
[00:02:33.600 --> 00:02:40.520]  每天每天都聽這些麻煩的東西 回去算了 什麼輔導都沒有了
[00:02:40.520 --> 00:02:44.100]  我們可以有很多的知識
[00:02:44.360 --> 00:02:48.980]  有很多的理論 但是真真正正改變人
[00:02:48.980 --> 00:02:53.580]  可以感動一個人去改變
[00:02:53.580 --> 00:02:55.120]  不是知識
[00:02:55.120 --> 00:02:57.160]  不是什麼技巧
[00:02:57.160 --> 00:03:00.240]  不是技巧 是我們的內心
[00:03:00.240 --> 00:03:04.340]  真正的去愛他 一個誠心 一個愛心
[00:03:04.340 --> 00:03:06.120]  人很敏銳的
[00:03:06.120 --> 00:03:12.780]  我有心 很感受到你愛不愛他 關心不關心 他是真誠的跟你談
[00:03:13.040 --> 00:03:15.600]  不敷衍的
[00:03:15.600 --> 00:03:20.460]  所以當然覺得被明白
[00:03:20.460 --> 00:03:25.060]  被愛 被關心就能夠解決問題
[00:03:25.060 --> 00:03:26.860]  不一樣 最少有
[00:03:26.860 --> 00:03:28.660]  問題不一定可以解決
[00:03:28.660 --> 00:03:30.180]  在這個世界
[00:03:30.180 --> 00:03:33.520]  我不知道你承認不承認
[00:03:33.520 --> 00:03:37.620]  好多的問題都一定要解決
[00:03:37.620 --> 00:03:41.460]  只要被明白就可以
[00:03:41.700 --> 00:03:45.280]  被關心 被愛 被貼納 被支持
[00:03:45.280 --> 00:03:48.620]  我們有動力有能力往前走
[00:03:48.620 --> 00:03:50.660]  跟問題一起走
[00:03:50.660 --> 00:03:52.720]  對對 跟問題一起走
[00:03:52.720 --> 00:03:59.360]  太寶貝了 每一句話都是句句經言 因爲在輔導裏面很講那個同理心
[00:03:59.360 --> 00:04:05.760]  empathy 你沒有了解對方 明白對方
[00:04:05.760 --> 00:04:07.300]  根本談不上輔導
[00:04:07.560 --> 00:04:13.700]  大家在不同的環境 你講你的 我講我的 都不通了
[00:04:13.700 --> 00:04:15.240]  你聽聽上帝這樣講
[00:04:15.240 --> 00:04:17.800]  道成了弱身
[00:04:17.800 --> 00:04:19.340]  住在我們中國
[00:04:19.340 --> 00:04:21.640]  有恩典 也有真理
[00:04:21.640 --> 00:04:28.040]  有恩典 有份愛 有份對人 上帝對人真正的愛
[00:04:28.040 --> 00:04:29.580]  也帶來真理
[00:04:29.580 --> 00:04:31.620]  人有受感動改變
[00:04:31.880 --> 00:04:38.020]  囊囊兵兵的講道理誰來聽 父母對兒女 夫妻
[00:04:38.020 --> 00:04:41.100]  只有討價
[00:04:41.100 --> 00:04:42.380]  因爲
[00:04:42.380 --> 00:04:43.660]  屈博士
[00:04:43.660 --> 00:04:49.280]  他講很多講座 他也出很多錄音帶 錄像帶
[00:04:49.280 --> 00:04:55.680]  就是教夫婦關係怎麼相處 以後我們還要去訪問他的 但是今天我就覺得
[00:04:55.680 --> 00:04:57.740]  因爲在新春的時候
[00:04:57.740 --> 00:04:59.780]  我就覺得很多人
[00:04:59.780 --> 00:05:01.060]  趁新年的時候
[00:05:01.320 --> 00:05:02.600]  就去賭博啊
[00:05:02.600 --> 00:05:04.640]  就去賺錢啊
[00:05:04.640 --> 00:05:06.180]  以爲新春
[00:05:06.180 --> 00:05:08.480]  我可以一點點小本
[00:05:08.480 --> 00:05:10.540]  就有大利了
[00:05:10.540 --> 00:05:12.580]  所以有些廢春的什麼
[00:05:12.580 --> 00:05:14.880]  恭喜發財啦 一本萬利
[00:05:14.880 --> 00:05:16.680]  那簡直是騙人嘛
[00:05:16.680 --> 00:05:19.500]  一本怎麼可以賣萬利呢
[00:05:19.500 --> 00:05:22.820]  那分明是騙子嘛 一本萬利
[00:05:22.820 --> 00:05:25.640]  那所以很多人就說我上癮了
[00:05:25.640 --> 00:05:26.920]  怎麼樣
[00:05:26.920 --> 00:05:31.020]  我知道你是這方面也輔導很多不同的人
[00:05:31.520 --> 00:05:34.860]  就真的我們在教會里面碰到一些年輕人
[00:05:34.860 --> 00:05:36.640]  賭博上癮了
[00:05:36.640 --> 00:05:37.920]  吸毒了
[00:05:37.920 --> 00:05:44.320]  或者是被那些事情的電玩 電子遊戲
[00:05:44.320 --> 00:05:48.160]  沒人在拿着手機就是打遊戲機嘛
[00:05:48.160 --> 00:05:49.960]  那你可不可以講一講
[00:05:49.960 --> 00:05:53.280]  上癮了該怎麼把他救出來的
[00:05:53.280 --> 00:05:57.900]  救不救得出來 這個複雜啊 救不出來
[00:05:58.160 --> 00:06:04.300]  我們心理學界看問題就是看表面的 也看內在的
[00:06:04.300 --> 00:06:08.660]  表面當然是我們可以看見的問題了
[00:06:08.660 --> 00:06:11.220]  好像我喝酒了
[00:06:11.220 --> 00:06:15.320]  然後賭博了
[00:06:15.320 --> 00:06:16.600]  賭博
[00:06:16.600 --> 00:06:21.980]  好像玩那個手機 玩那個遊戲機 玩的不停了
[00:06:21.980 --> 00:06:25.820]  電玩 電玩 即使表面的問題
[00:06:25.820 --> 00:06:27.600]  深層一點
[00:06:27.860 --> 00:06:34.000]  治療的通常也要兩個層面
[00:06:34.000 --> 00:06:38.860]  行爲層面的 行爲的層面
[00:06:38.860 --> 00:06:45.260]  好像賭博了經常停下來了 運走了經常停下來了
[00:06:45.260 --> 00:06:51.660]  打那個電子遊戲機 完全控制不了自己
[00:06:51.920 --> 00:06:58.060]  也有些行爲的方法整體強的不動 但內面下面我會找尋
[00:06:58.060 --> 00:07:03.440]  那個根源 根源的問題
[00:07:03.440 --> 00:07:07.540]  通常我都發現是人生有限缺
[00:07:07.540 --> 00:07:13.940]  缺乏了一些東西 缺乏一些東西 所以他是做一種彌補
[00:07:13.940 --> 00:07:20.340]  用這個來滿足自己 我好多東西都好 萬一快快樂樂我根本不需要
[00:07:20.600 --> 00:07:26.220]  通常發現有五個方面
[00:07:26.220 --> 00:07:32.620]  第一個方面呢 也有人是不單是一方面 可能有幾方面
[00:07:32.620 --> 00:07:36.980]  通常跳不出來這五方面的 第一個是太大壓力
[00:07:36.980 --> 00:07:41.080]  壓力很大 所以我需要用這些
[00:07:41.080 --> 00:07:45.420]  響應的 響落的方法
[00:07:45.680 --> 00:07:51.820]  這個好像預走啊 上咽的方法
[00:07:51.820 --> 00:07:56.180]  用這些方法來減低這個壓力
[00:07:56.180 --> 00:08:02.580]  把壓力減掉 以爲做這個我的壓力就會少一點
[00:08:02.580 --> 00:08:08.980]  但是結果就越來越嚴重了 成立了 成立了 所以第一是壓力
[00:08:08.980 --> 00:08:10.760]  第二是快感
[00:08:11.280 --> 00:08:17.420]  快感 我們有時候很需要一種快感 我打你一拳很快樂
[00:08:17.420 --> 00:08:23.820]  很沉悶啊 我覺得人生沒有意義啊 要找一些刺激 婚姻不快樂啊
[00:08:23.820 --> 00:08:30.220]  工作沒有滿足感啊 我需要一些快感
[00:08:30.220 --> 00:08:36.620]  所以要心啊 預走啊 祖國啊這些 出去搞女人啊
[00:08:36.880 --> 00:08:43.020]  第三呢是關係 我覺得好孤單 我覺得沒有人關心我
[00:08:43.020 --> 00:08:49.420]  一個人好痛苦 所以我去吐蕃啦 吐蕃有人跟我在一起嗎 對對對
[00:08:49.420 --> 00:08:55.820]  賭場裏面很多人啊 酒吧裏面去啊
[00:08:55.820 --> 00:09:02.220]  我沒有人理我 但是每個人 我不允許你喝個幾杯 談天啊
[00:09:02.480 --> 00:09:08.620]  生活外面找女人啊 但是好像表面上好親密啊
[00:09:08.620 --> 00:09:15.020]  有沒有性的沉溺啊 表面上好親密 其實裏面好孤單
[00:09:15.020 --> 00:09:21.420]  第四種是權力 權力也有關係 要拿權
[00:09:21.420 --> 00:09:27.820]  我做了這個事情 我做這個行爲 我覺得好有能力 自己好威風
[00:09:28.080 --> 00:09:34.220]  喝個酒我覺得好勇敢嘛 喝個酒 我打遊戲機啊 一邊打
[00:09:34.220 --> 00:09:40.620]  我覺得我可以控制那個遊戲機 我稱王啊 升級了啊 高級一點
[00:09:40.620 --> 00:09:47.020]  我去什麼嫖妓 我付了錢 我想做什麼就做什麼 要怎麼幹就怎麼幹
[00:09:47.020 --> 00:09:53.420]  我找個小三 一定是我 我有權嘛 不是小三控制我嘛
[00:09:53.680 --> 00:09:59.820]  這是權力啦 第五個是擁有 擁有啊
[00:09:59.820 --> 00:10:06.220]  我覺得我做了事情 我擁有了 好像我拿這個遊戲機
[00:10:06.220 --> 00:10:12.620]  我擁有這個玩具 我擁有這個分數 擁有一點東西
[00:10:12.620 --> 00:10:19.020]  我喝個結冰酒 結冰酒是多貴的 是屬於我的 拿個女人 我擁有了
[00:10:19.280 --> 00:10:25.420]  我擁護一個女人了 我要多擁有一個 這五方面 甚至看見我太大壓力
[00:10:25.420 --> 00:10:31.820]  我生命很沉 我壓力 我就要減低這個壓力 我生命很沉慢
[00:10:31.820 --> 00:10:38.220]  我就需要這個快樂 快感 我好孤單 我需要用這些方法來
[00:10:38.220 --> 00:10:44.620]  有點人際的關心 關係 我還沒有滿足感 我覺得很
[00:10:44.880 --> 00:10:51.020]  有一種無力感 所以後來要有權力 我覺得好空虛
[00:10:51.020 --> 00:10:57.420]  空洞 所以要擁有 生命每一度缺乏
[00:10:57.420 --> 00:11:03.820]  缺乏的 所以用這個來填補 一種補償 永遠填不了
[00:11:03.820 --> 00:11:10.220]  那個洞是永遠填不下去 最後就是想忍了
[00:11:10.480 --> 00:11:16.620]  想忍了 就沉溺了 那個答案不是在這些行爲
[00:11:16.620 --> 00:11:23.020]  是在那個根源 對我來講 真正靜靜的滿足
[00:11:23.020 --> 00:11:29.420]  內心的滿足 上帝給我的滿足 他來了叫我們得生命
[00:11:29.420 --> 00:11:35.820]  並且得的更豐盛 那個纔是真正的滿足
[00:11:36.080 --> 00:11:42.220]  另一方面 我要用一些行爲的方法 幫助他停下來
[00:11:42.220 --> 00:11:48.620]  心理的方法就找到內面真正的受傷跟空洞 真正的滿足
[00:11:48.620 --> 00:11:55.020]  真的太好了 聽屈博士一席話
[00:11:55.020 --> 00:12:01.420]  我們就學到很多 原來有五點很重要 好像你那五點
[00:12:01.680 --> 00:12:07.820]  怎麼又用英文來表達的 你可不可以講一講那五個英文字
[00:12:07.820 --> 00:12:14.220]  都是從P字開始的 壓力
[00:12:14.220 --> 00:12:20.620]  就是要release就是減壓
[00:12:20.620 --> 00:12:27.020]  把壓力減除掉 尋求享樂
[00:12:27.280 --> 00:12:33.420]  尋求快感 快樂感
[00:12:33.420 --> 00:12:39.820]  第三個P就是個人人際的關係 因爲沒有人跟我好嘛
[00:12:39.820 --> 00:12:46.220]  那我就要另外一方面 我說了算 我有錢你們要逢迎我
[00:12:46.220 --> 00:12:52.620]  我去酒吧 老闆老闆喝什麼 去賭場
[00:12:52.880 --> 00:12:59.020]  來來來 請坐 請坐喝茶 有人跟我一起啦
[00:12:59.020 --> 00:13:05.420]  你跟我一起賭啊 你跟我一起喝酒啊 第四個是那個
[00:13:05.420 --> 00:13:11.820]  Power and position 兩個都是P開始的 就是權力跟那個個人的
[00:13:11.820 --> 00:13:18.220]  地位 我覺得地位被提升了
[00:13:18.480 --> 00:13:24.620]  最後就是possession 擁有
[00:13:24.620 --> 00:13:31.020]  還有先回去第四個那個Power and position
[00:13:31.020 --> 00:13:37.420]  權力跟位置 因爲白天我被老闆罵呀罵到我要死
[00:13:37.420 --> 00:13:43.820]  我做不成功或是那個到了底線我沒錢交
[00:13:44.080 --> 00:13:50.220]  那個老闆罵到我要死我就很低沉 結果現在我要
[00:13:50.220 --> 00:13:56.620]  拿回來 我是做王的 我是老闆 我喝過酒啊
[00:13:56.620 --> 00:14:03.020]  電子遊戲機啊 都令我覺得有權利嘛 而且你剛纔講了那個小三
[00:14:03.020 --> 00:14:09.420]  一定叫老闆老闆的罵啊 一定一定對你很好 那個老婆就罵我
[00:14:09.680 --> 00:14:15.820]  所以我們做太太真的好小心
[00:14:15.820 --> 00:14:22.220]  我做了差不多30年的婚姻輔導 而且我講玩笑啊
[00:14:22.220 --> 00:14:28.620]  做小三的每個都練過輔導 懂得同理心
[00:14:28.620 --> 00:14:35.020]  我們做夫妻不懂同理心 糟糕啦
[00:14:35.280 --> 00:14:41.420]  搶去啦 逼下去啦 老公搶掉啦 所以夫妻都有同理心
[00:14:41.420 --> 00:14:47.820]  彼此相愛 互相尊重 找一次請你來談
[00:14:47.820 --> 00:14:54.220]  還有第五個P是什麼 Possession 擁有
[00:14:54.220 --> 00:15:00.620]  可不可以多講一點怎麼樣纔是擁有 比如我去賭場我輸錢
[00:15:00.880 --> 00:15:07.020]  沒得擁有啊 我曾經輸過啊
[00:15:07.020 --> 00:15:13.420]  一年三次都中啊 我以前贏過多少錢啊
[00:15:13.420 --> 00:15:19.820]  就是陶醉在那個回憶裏面
[00:15:19.820 --> 00:15:26.220]  賭徒都不會想他輸掉多少錢 永遠是贏了
[00:15:26.480 --> 00:15:32.620]  我曾經贏過多少錢 哇 那次贏十幾萬啊
