
[00:00:00.000 --> 00:00:05.000]  試圖行傳第十六章,十六至三十四節
[00:00:05.000 --> 00:00:10.000]  這一段的經文可能大家都熟悉
[00:00:10.000 --> 00:00:14.000]  也有一句說話大家可能都很熟悉的
[00:00:14.000 --> 00:00:17.000]  我有一個powerpoint給大家看看
[00:00:17.000 --> 00:00:22.000]  就是單獨一章,叫做"No pain, no gain"
[00:00:22.000 --> 00:00:26.000]  在電腦上面的
[00:00:31.000 --> 00:00:34.000]  大家看到吧,多麼痛苦的樣子
[00:00:34.000 --> 00:00:37.000]  但其實不知道會不會有東西擋住
[00:00:37.000 --> 00:00:39.000]  不過做個樣子給大家看看
[00:00:39.000 --> 00:00:46.000]  這個人正在舉重,正在鍛鍊肌肉
[00:00:46.000 --> 00:00:49.000]  這一句說話"No pain, no gain"
[00:00:49.000 --> 00:00:51.000]  可以怎樣翻譯呢?
[00:00:51.000 --> 00:00:53.000]  直接的翻譯就是
[00:00:53.000 --> 00:00:56.000]  沒有痛苦就不會得到回報
[00:00:56.000 --> 00:01:02.000]  或者這個世界沒有不勞而獲的東西
[00:01:02.000 --> 00:01:06.000]  你要收穫,當然要付出
[00:01:06.000 --> 00:01:10.000]  我相信這個對大家來說是完全不陌生的
[00:01:10.000 --> 00:01:15.000]  譬如你希望能夠繼續升班,繼續讀書
[00:01:15.000 --> 00:01:19.000]  當然你要溫習,要交功課
[00:01:19.000 --> 00:01:22.000]  正在上班的人很簡單
[00:01:22.000 --> 00:01:25.000]  你要發工資,當然要上班,要工作
[00:01:25.000 --> 00:01:27.000]  不過當然也要看看什麼公司
[00:01:27.000 --> 00:01:30.000]  有些可能是你有汗出就沒糧出
[00:01:30.000 --> 00:01:35.000]  所以正常你有付出,你就會有收穫
[00:01:35.000 --> 00:01:38.000]  如果你想想自己的健康也是
[00:01:38.000 --> 00:01:42.000]  你要有健康就要有均衡的飲食
[00:01:42.000 --> 00:01:44.000]  要有運動,要有休息
