
[00:00:00.000 --> 00:00:02.000]  其中一個原因可能就是說
[00:00:02.000 --> 00:00:06.000]  父親這個人物
[00:00:06.000 --> 00:00:10.000]  並不是什麼好東西
[00:00:10.000 --> 00:00:15.000]  很多人對父親都有一個不好的一種的看法
[00:00:15.000 --> 00:00:18.000]  對母親就說世上只有媽媽好
[00:00:18.000 --> 00:00:21.000]  所以你就知道生下他來的是父母親
[00:00:21.000 --> 00:00:25.000]  但是他說世上只有媽媽好
[00:00:25.000 --> 00:00:28.000]  所以父親好像並不是一個什麼正面的角色
[00:00:28.000 --> 00:00:30.000]  為什麼呢其實我們也知道
[00:00:30.000 --> 00:00:33.000]  很多父親做出很多的行為
[00:00:33.000 --> 00:00:35.000]  讓兒女不能夠接受
[00:00:35.000 --> 00:00:38.000]  他們有些未必就是不好的父親
[00:00:38.000 --> 00:00:40.000]  有些也是好的父親
[00:00:40.000 --> 00:00:43.000]  但是表達出來就不是一個好的父親
[00:00:43.000 --> 00:00:47.000]  讓兒女很難感覺到這父親就是一個好的角色
[00:00:47.000 --> 00:00:49.000]  是一個正面的角色
[00:00:49.000 --> 00:00:52.000]  所以他們很難接受說我們神
[00:00:52.000 --> 00:00:55.000]  因為聖潔的神因為高高在上的神
[00:00:55.000 --> 00:00:58.000]  怎麼會是一個父親的角色呢
[00:00:58.000 --> 00:01:00.000]  這是一個原因
[00:01:00.000 --> 00:01:03.000]  另外一個原因可能就是去到另外一個極端
[00:01:03.000 --> 00:01:06.000]  就是說父親是我們身邊的人
[00:01:06.000 --> 00:01:08.000]  是一個跟我們這麼親近的人物
[00:01:08.000 --> 00:01:12.000]  我們怎麼能夠把一個高高在上的神
[00:01:12.000 --> 00:01:16.000]  就把他當成我們身邊的那個人物呢
[00:01:16.000 --> 00:01:18.000]  一個這麼親近的人物
[00:01:18.000 --> 00:01:21.000]  一個我們看到他一舉一動的人物
[00:01:21.000 --> 00:01:22.000]  我們很難接受
[00:01:22.000 --> 00:01:26.000]  所以就是這兩個觀點使我們很難接受
[00:01:26.000 --> 00:01:30.000]  主耶穌口裡所說的神就是我們的父親
[00:01:30.000 --> 00:01:34.000]  但是不管我們接受或者是不接受也好
[00:01:34.000 --> 00:01:37.000]  耶穌不但把神稱為父親
[00:01:37.000 --> 00:01:42.000]  而且他還是第一位稱神為父親的人
[00:01:42.000 --> 00:01:46.000]  印章裡面聖經當中的記載
[00:01:46.000 --> 00:01:50.000]  只有耶穌一次沒有稱神是父親的
[00:01:50.000 --> 00:01:53.000]  猜猜是哪一次
[00:01:53.000 --> 00:01:55.000]  有人知道嗎
[00:01:55.000 --> 00:01:58.000]  他一直以來都稱神是父親
[00:01:58.000 --> 00:02:00.000]  告訴我們說這是天父
[00:02:00.000 --> 00:02:03.000]  他也自己稱神為天父
[00:02:03.000 --> 00:02:07.000]  只有一次他不稱神為天父
[00:02:07.000 --> 00:02:08.000]  不稱為父親
[00:02:08.000 --> 00:02:09.000]  那是什麼時候
[00:02:09.000 --> 00:02:11.000]  就在十字架上的時候
[00:02:11.000 --> 00:02:14.000]  他說神啊神啊為什麼離棄我
[00:02:14.000 --> 00:02:16.000]  就是那一次
[00:02:16.000 --> 00:02:20.000]  在聖經裡面大部分都是任何時候
[00:02:20.000 --> 00:02:23.000]  耶穌都稱神為父親
[00:02:23.000 --> 00:02:25.000]  耶穌在這個比喻裡面
[00:02:25.000 --> 00:02:28.000]  讓我們看到神為父親的形象
[00:02:28.000 --> 00:02:32.000]  不但是因為他要告訴我們他是一位父親
[00:02:32.000 --> 00:02:36.000]  他是要告訴我們他是一位怎樣的父親
[00:02:36.000 --> 00:02:39.000]  他告訴我們他是一位怎樣的父親呢
[00:02:39.000 --> 00:02:43.000]  他告訴我們他是一位慷慨寬容的父親
[00:02:43.000 --> 00:02:48.000]  在比喻裡面說到這位父親有兩個兒子
[00:02:48.000 --> 00:02:50.000]  其實我們剛才看經文
[00:02:50.000 --> 00:02:52.000]  我們就看到有大兒子跟小兒子
[00:02:52.000 --> 00:02:54.000]  其實我們在這個比喻裡面
[00:02:54.000 --> 00:02:56.000]  我們可以從這兩個兒子的身上
[00:02:56.000 --> 00:02:58.000]  去看到更多的事情
[00:02:58.000 --> 00:03:00.000]  到今天我們時間有限
[00:03:00.000 --> 00:03:02.000]  我們只能夠單單的
[00:03:02.000 --> 00:03:05.000]  就是專注在小兒子的身上
[00:03:05.000 --> 00:03:06.000]  但是以後有機會
[00:03:06.000 --> 00:03:10.000]  我還會再講講這個大兒子的一些的表現
[00:03:10.000 --> 00:03:14.000]  好比喻裡面說這位父親有兩個兒子
[00:03:14.000 --> 00:03:16.000]  有一天這個小兒子就對父親說
[00:03:16.000 --> 00:03:22.000]  父親請你把我應得的家業分給我
[00:03:22.000 --> 00:03:24.000]  然後聖經就告訴我們說
