
[00:00:00.000 --> 00:00:04.200]  心裏面好感恩再一次同大家分享神嘅訊息
[00:00:04.200 --> 00:00:07.000]  今日同大家分享神嘅訊息
[00:00:07.000 --> 00:00:10.000]  係提到一個嘅人物叫葉特羅
[00:00:10.000 --> 00:00:14.500]  咁我唔知大家對佢嘅認識多唔多
[00:00:14.500 --> 00:00:17.200]  咁其實呢其實葉特羅呢
[00:00:17.200 --> 00:00:20.700]  就係一個長輩嚟㗎
[00:00:20.700 --> 00:00:23.600]  即係喺聖經裏面係一個長輩嚟㗎
[00:00:23.600 --> 00:00:27.200]  咁我哋一陣都會多啲去認識佢㗎
[00:00:27.200 --> 00:00:29.600]  咁第一件事呢我哋開心嘅
[00:00:29.600 --> 00:00:32.000]  即係能夠呢係全面服常啦
[00:00:32.000 --> 00:00:37.200]  我哋呢都係能夠呢係除開口罩呢同大家見面
[00:00:37.200 --> 00:00:39.600]  亦都好明白有部分大英展會呢
[00:00:39.600 --> 00:00:42.400]  仍然都係即係顧念
[00:00:42.400 --> 00:00:44.600]  即係可能人多嘅地方啦
[00:00:44.600 --> 00:00:46.700]  咁呀即係緊密嘅接觸啦
[00:00:46.700 --> 00:00:48.400]  咁所以呢都帶口罩嘅
[00:00:48.400 --> 00:00:52.800]  不過我相信呢神呢都係會讓整個社會啦
[00:00:52.800 --> 00:00:56.600]  慢慢去真係可以唔需要再戴口罩
[00:00:56.600 --> 00:00:58.900]  咁呀其實而家我成日搭地鐵嘅時候呢
[00:00:58.900 --> 00:01:00.100]  都見到呢
[00:01:00.100 --> 00:01:02.500]  差唔多八成人都帶緊口罩嘅
[00:01:02.500 --> 00:01:06.300]  咁所以呢我相信呢神都係會繼續嘅去帶領啦
[00:01:06.300 --> 00:01:09.100]  香港呢喺前面嘅道路裏面呢
[00:01:09.100 --> 00:01:14.800]  係走向一個係服常嘅情況
[00:01:14.800 --> 00:01:17.400]  咁呀頭先呢即係講開葉特羅呢
[00:01:17.400 --> 00:01:19.300]  喺教會內嘅大英展會呢
[00:01:19.300 --> 00:01:21.000]  可能會覺得唔係好熟悉嘅
[00:01:21.000 --> 00:01:23.900]  原因呢就係因為我哋和合館裏面呢
[00:01:23.900 --> 00:01:27.400]  就稱佢為葉碧羅就唔係葉特羅
[00:01:27.400 --> 00:01:29.900]  咁呀新嘅即係而家和修本裏面啦
[00:01:29.900 --> 00:01:32.100]  同埋一啲新嘅譯本裏面呢
[00:01:32.100 --> 00:01:34.500]  都改咗佢做葉特羅啦
[00:01:34.500 --> 00:01:36.800]  咁佢係摩西嘅岳父啦
[00:01:36.800 --> 00:01:39.300]  佢亦都係米甸嘅祭司
[00:01:39.300 --> 00:01:41.300]  咁摩西逃難嘅時候呢
[00:01:41.300 --> 00:01:44.400]  就遇上葉特羅有七個兒女
[00:01:44.400 --> 00:01:46.600]  當時呢佢正在打水
[00:01:46.600 --> 00:01:48.800]  後來呢就葉特羅呢
[00:01:48.800 --> 00:01:51.700]  更加將自己嘅女兒呢西波拉呢
[00:01:51.700 --> 00:01:55.500]  就許配咗畀即係呢個摩西為妻
[00:01:55.500 --> 00:01:57.300]  同埋呢葉特羅一家呢
[00:01:57.300 --> 00:01:59.900]  一齊呢住喺曠野嘅當中
[00:01:59.900 --> 00:02:02.800]  喺春海及記第三章呢更加記載
[00:02:02.800 --> 00:02:06.300]  當時摩西呢正在曠野中放羊
[00:02:06.300 --> 00:02:09.000]  神向佢顯現並且呼召
[00:02:09.000 --> 00:02:12.300]  佢作以色列人嘅領袖
[00:02:12.300 --> 00:02:14.600]  咁呀大家熟悉嘅摩西啦
[00:02:14.600 --> 00:02:17.000]  咁佢係以色列人偉大嘅領袖
[00:02:17.000 --> 00:02:20.600]  咁我哋試下呢真係同從佢嘅生命裏面呢
[00:02:20.600 --> 00:02:25.200]  就諗下一啲即係對佢有影響心願嘅人
[00:02:25.200 --> 00:02:27.400]  第一個呢就係佢父母呀
[00:02:27.400 --> 00:02:29.900]  其實呢我哋通常睇摩西嘅生平裏面呢
[00:02:29.900 --> 00:02:33.000]  就係從出埃及記第二章開始睇嘅
[00:02:33.000 --> 00:02:34.900]  咁呀係一個好驚險嘅故事
[00:02:34.900 --> 00:02:36.000]  大家好熟悉
