
[00:00:00.000 --> 00:00:03.980]  我們再一次為今天的聚會低頭祈禱
[00:00:03.980 --> 00:00:05.320]  因主我們感謝祢
[00:00:05.320 --> 00:00:08.620]  今天我們可以在這個地方來敬拜祢
[00:00:08.620 --> 00:00:11.020]  我們特別講到祈禱的功課
[00:00:11.020 --> 00:00:12.660]  我們知道我們在祈禱方面
[00:00:12.660 --> 00:00:15.180]  我們需要很多的學習
[00:00:15.180 --> 00:00:16.720]  更加的重視
[00:00:16.720 --> 00:00:18.520]  求主今日祢的靈感動我們
[00:00:18.520 --> 00:00:20.620]  感動講的 感動聽的
[00:00:20.620 --> 00:00:22.400]  最期望我們能夠聽了之後
[00:00:22.400 --> 00:00:23.620]  我們去進行
[00:00:23.620 --> 00:00:24.920]  求主與我們同在
[00:00:24.920 --> 00:00:27.940]  祈禱奉耶穌名求 阿們
[00:00:27.940 --> 00:00:30.140]  我們這個講道的系列
[00:00:30.140 --> 00:00:32.540]  是講到這個祈禱
[00:00:32.540 --> 00:00:34.740]  我們今年的主題是什麼呢
[00:00:34.740 --> 00:00:35.780]  想問問大家
[00:00:35.780 --> 00:00:36.640]  祈禱做什麼
[00:00:36.640 --> 00:00:38.580]  我們看回秩序表就知道了
[00:00:38.580 --> 00:00:40.740]  震撼我們的生命
[00:00:40.740 --> 00:00:42.680]  祈禱震撼我們的生命
[00:00:42.680 --> 00:00:43.980]  但是我們看回
[00:00:43.980 --> 00:00:46.960]  我們自己祈禱的生活方式
[00:00:46.960 --> 00:00:49.060]  我們有沒有祈禱呢
[00:00:49.060 --> 00:00:50.720]  我們相信
[00:00:50.720 --> 00:00:55.100]  不僅是我們自己很多軟弱
[00:00:55.100 --> 00:00:57.660]  整個教會我們都未達到理想
[00:00:57.660 --> 00:01:00.800]  不僅是我們這個教會
[00:01:00.800 --> 00:01:06.240]  我發覺很多教會的祈禱會都很少人
[00:01:06.240 --> 00:01:08.040]  所以耶穌一早就說
[00:01:08.040 --> 00:01:10.820]  你們兩三個人奉我的名
[00:01:10.820 --> 00:01:12.020]  聚集祈禱
[00:01:12.020 --> 00:01:13.220]  我就在你們當中
[00:01:13.220 --> 00:01:14.580]  耶穌可能一早知道
[00:01:14.580 --> 00:01:17.020]  我們兩三個人祈禱會而已
[00:01:17.020 --> 00:01:18.380]  所以耶穌會這樣說
[00:01:18.380 --> 00:01:19.780]  這個是我想出來的
[00:01:19.780 --> 00:01:21.120]  其實不是
[00:01:21.120 --> 00:01:23.500]  神很想我們祈禱的
[00:01:23.500 --> 00:01:25.460]  我們在祈禱生命當中
[00:01:25.460 --> 00:01:27.660]  是怎樣去經歷神呢
[00:01:27.660 --> 00:01:31.300]  祈禱是可以參與神的工作
[00:01:31.300 --> 00:01:33.060]  祈禱是讓我們經歷神
[00:01:33.060 --> 00:01:35.400]  我記得有一首詩歌是說到
[00:01:35.400 --> 00:01:37.000]  每一次我禱告
[00:01:37.000 --> 00:01:38.840]  就搖動神的手
[00:01:38.840 --> 00:01:41.880]  其實在神學上的觀念是有少許錯的
[00:01:41.880 --> 00:01:42.940]  好像神不做事
[00:01:42.940 --> 00:01:44.740]  你快點做事吧
[00:01:44.740 --> 00:01:46.580]  有些人說牧師你快點做事吧
[00:01:46.580 --> 00:01:48.380]  快點罵我的太太
[00:01:48.380 --> 00:01:49.380]  罵我的老公
[00:01:49.380 --> 00:01:50.680]  他不做事
[00:01:50.680 --> 00:01:52.060]  其實不是這個意思
[00:01:52.060 --> 00:01:53.320]  不是神不做事
[00:01:53.320 --> 00:01:55.120]  每一次祈禱
[00:01:55.120 --> 00:01:56.820]  神會震撼我們的心
[00:01:56.820 --> 00:01:58.360]  搖動我們的心
[00:01:58.360 --> 00:02:00.060]  讓我們看到神的心意
[00:02:00.060 --> 00:02:01.600]  改變我們的生命
[00:02:01.600 --> 00:02:02.800]  所以祈禱
[00:02:02.800 --> 00:02:04.300]  一個重點是什麼呢
[00:02:04.300 --> 00:02:05.960]  願意祈禱的人
[00:02:05.960 --> 00:02:07.940]  是願意被神改變的人
[00:02:07.940 --> 00:02:10.000]  你願不願意被神改變呢
[00:02:10.000 --> 00:02:11.140]  我們人很不想改變的
[00:02:11.140 --> 00:02:12.140]  什麼都不想改
[00:02:12.140 --> 00:02:13.100]  性情不想改
[00:02:13.100 --> 00:02:14.100]  本性不想改
[00:02:14.100 --> 00:02:15.540]  環境不想改
[00:02:15.540 --> 00:02:17.340]  但是神要改變我們
[00:02:17.340 --> 00:02:18.140]  所以祈禱
[00:02:18.140 --> 00:02:19.120]  我們要祈禱
[00:02:19.120 --> 00:02:22.040]  今天我們講到祈禱的功課
[00:02:22.040 --> 00:02:23.420]  我們抽了一篇經文
