
[00:00:00.000 --> 00:00:03.400]  弟兄姊妹,我們感謝神
[00:00:03.400 --> 00:00:08.400]  我們今天能來到祂面前來學習祂的話
[00:00:08.400 --> 00:00:11.600]  我們先有一個禱告
[00:00:11.600 --> 00:00:16.900]  請我們的弟同在主的面前禱告
[00:00:16.900 --> 00:00:21.200]  愛我們的主,我們的天上的父親
[00:00:21.200 --> 00:00:22.900]  我們感謝祢
[00:00:22.900 --> 00:00:26.100]  給我們在這個新的一年
[00:00:26.100 --> 00:00:28.600]  我們能夠來到祢的面前
[00:00:28.600 --> 00:00:31.800]  一同來學習祢的話
[00:00:31.800 --> 00:00:34.400]  但願祢與我們同在
[00:00:34.400 --> 00:00:36.100]  祢來引導我們
[00:00:36.100 --> 00:00:39.000]  叫我們進入祢的話語裡頭
[00:00:39.000 --> 00:00:40.800]  讓我們對祢的話
[00:00:40.800 --> 00:00:43.200]  能夠有更多的學習
[00:00:43.200 --> 00:00:46.400]  也叫我們生命都能夠來長進
[00:00:46.400 --> 00:00:48.300]  願祢與我們同在
[00:00:48.300 --> 00:00:49.600]  我們感謝
[00:00:49.600 --> 00:00:51.900]  奉耶穌基督的名
[00:00:51.900 --> 00:00:54.100]  阿們
[00:00:54.100 --> 00:00:57.200]  今天我們要跟弟兄姊妹
[00:00:57.200 --> 00:01:00.600]  繼續這個專題
[00:01:00.600 --> 00:01:03.500]  我們在上次已經開始的
[00:01:03.500 --> 00:01:09.600]  就是主耶穌生活跟工作過的五個村莊
[00:01:09.600 --> 00:01:16.300]  我們說到在主耶穌的生平當中
[00:01:16.300 --> 00:01:22.600]  祂有五個地方是祂在那邊生活過
[00:01:22.600 --> 00:01:24.000]  祂工作過
[00:01:24.000 --> 00:01:28.100]  所以我特別選出這五個地方
[00:01:28.100 --> 00:01:31.200]  作為我們的思想
[00:01:31.200 --> 00:01:33.700]  來看主耶穌在地上
[00:01:33.700 --> 00:01:36.400]  祂怎麼樣來完成
[00:01:36.400 --> 00:01:40.300]  父神託付給祂的工作
[00:01:40.300 --> 00:01:46.100]  這五個生活過跟工作過的五個地方
[00:01:46.100 --> 00:01:48.600]  這個村莊
[00:01:48.600 --> 00:01:52.400]  第一個已經講了玻璃橫
[00:01:52.400 --> 00:01:57.600]  已經是上次我們在第一次第一講的時候
[00:01:57.600 --> 00:02:01.100]  說過是主耶穌降生的地方
[00:02:01.100 --> 00:02:03.300]  其他第二個
[00:02:03.300 --> 00:02:07.500]  我們以後要說到納薩熱
[00:02:07.500 --> 00:02:13.000]  是祂長大的地方
[00:02:13.000 --> 00:02:17.000]  那麼在加波農第三個村莊
[00:02:17.000 --> 00:02:23.400]  是加波農是祂在那邊服侍的一個地方
[00:02:23.400 --> 00:02:26.100]  第四個地方是波達尼
[00:02:26.100 --> 00:02:31.500]  波達尼就是在耶路撒冷旁邊不太遠的地方
[00:02:31.500 --> 00:02:33.000]  在那個地方
[00:02:33.000 --> 00:02:39.800]  耶穌被兩個姊妹所接待
[00:02:39.800 --> 00:02:42.300]  使祂在她們的家裡面
[00:02:42.300 --> 00:02:48.100]  祂可以跟弟兄姊妹談話、學習
[00:02:48.100 --> 00:02:51.000]  能夠在那邊感受到
[00:02:51.000 --> 00:02:53.000]  可以在那邊休息
[00:02:53.000 --> 00:02:54.900]  這是波達尼
[00:02:54.900 --> 00:02:59.200]  那麼第五個村莊是以馬務斯
[00:02:59.200 --> 00:03:03.900]  這個是最後一個是主耶穌復活以後
[00:03:03.900 --> 00:03:07.500]  祂在這個路上
[00:03:07.500 --> 00:03:11.600]  在離開耶路撒冷的地方的路上的話
[00:03:11.600 --> 00:03:14.500]  碰到有兩個信徒
[00:03:14.500 --> 00:03:20.500]  祂那天是主耶穌復活的那一天
[00:03:20.500 --> 00:03:27.800]  所以他們就知道主耶穌被釘十架已經死了
[00:03:27.800 --> 00:03:30.100]  還不知道祂已經復活了
[00:03:30.100 --> 00:03:32.100]  所以他們很灰心
[00:03:32.100 --> 00:03:35.600]  就要回到自己的家
[00:03:35.600 --> 00:03:37.600]  以馬務斯
[00:03:37.600 --> 00:03:41.500]  離開耶路撒冷有二十幾里
[00:03:41.500 --> 00:03:44.100]  那麼在路上走的時候
[00:03:44.100 --> 00:03:49.000]  他們並沒有發現跟祂一塊走的是耶穌
[00:03:49.000 --> 00:03:52.000]  耶穌看他們很灰心的樣子
[00:03:52.000 --> 00:03:54.100]  就跟他們一塊走
[00:03:54.100 --> 00:03:55.500]  在路上的話
[00:03:55.500 --> 00:03:58.700]  一方面跟祂講解聖經
[00:03:58.700 --> 00:04:01.000]  恢復他們的信心
[00:04:01.000 --> 00:04:05.100]  所以這個五個村莊看起來不是很大
[00:04:05.100 --> 00:04:08.000]  但是都是耶穌在地上的時候
[00:04:08.000 --> 00:04:13.100]  祂做的工作、祂的生活有代表性的地方
[00:04:13.100 --> 00:04:16.300]  我們從玻璃橫
[00:04:16.300 --> 00:04:21.800]  我們已經看過了耶穌誕生的地方
[00:04:21.800 --> 00:04:25.200]  今天我們要來看納沙勒
[00:04:25.200 --> 00:04:29.200]  納沙勒是耶穌成長的地方
[00:04:29.200 --> 00:04:34.800]  這個納沙勒在這個當時的地方
[00:04:34.800 --> 00:04:41.600]  當時的時候是一個沒有好名聲的地方
[00:04:41.600 --> 00:04:46.300]  所以在《約翰福音》第一章46節
[00:04:46.300 --> 00:04:49.400]  有幾個盟徒相互地說
[00:04:49.400 --> 00:04:51.700]  我們要去跟隨耶穌
[00:04:51.700 --> 00:04:54.900]  那麼他們說其中有一個人
[00:04:54.900 --> 00:04:56.600]  耶穌是納沙勒的
[00:04:56.600 --> 00:05:00.400]  納沙勒還能出什麼好東西呢?
[00:05:00.400 --> 00:05:06.100]  就這句話,就納沙勒還能出什麼好東西嗎?
[00:05:06.100 --> 00:05:08.600]  《約翰福音》一章46節
[00:05:08.600 --> 00:05:11.200]  就是有個盟徒說的這樣話
[00:05:11.200 --> 00:05:15.000]  可見得納沙勒是一個很小的
[00:05:15.000 --> 00:05:17.000]  人不是很大
[00:05:17.000 --> 00:05:20.400]  名聲不是很響的一個地方
[00:05:20.400 --> 00:05:22.200]  所以人就看不起
[00:05:22.200 --> 00:05:27.200]  納沙勒,納沙勒就是沒有什麼好東西的
[00:05:27.200 --> 00:05:32.100]  我們現在來看一看耶穌在這個小的時候
[00:05:32.100 --> 00:05:34.600]  祂在成年以前
[00:05:34.600 --> 00:05:38.400]  在這個一個安靜的歲月
[00:05:38.400 --> 00:05:41.800]  在那個地方祂是長大
[00:05:41.800 --> 00:05:47.100]  在《路加福音》第二章39節到52節
[00:05:47.100 --> 00:05:52.600]  就說到耶穌在那邊長大的情況
[00:05:54.200 --> 00:05:58.000]  《馬太福音》二章43節
[00:05:58.000 --> 00:06:01.500]  跟四章,一直到四章43節呢
[00:06:01.500 --> 00:06:07.600]  都是描寫這個耶穌在納沙勒的生活的概況
[00:06:07.600 --> 00:06:09.400]  那麼這個村莊呢
[00:06:09.400 --> 00:06:14.000]  是在加利利海的西邊的山區
[00:06:14.000 --> 00:06:17.800]  它不是在主要的交通要道上
[00:06:17.800 --> 00:06:22.200]  也不是一個很出名、很繁華的一個地方
[00:06:22.200 --> 00:06:25.400]  所以耶穌呢,在世上的時候呢
[00:06:25.400 --> 00:06:29.800]  小的時候,在青年、成年的時候呢
[00:06:29.800 --> 00:06:33.200]  大部分的時間呢,是在那邊長大的
[00:06:33.200 --> 00:06:38.600]  所以這個《路加福音》第四章就說出來
[00:06:38.600 --> 00:06:41.200]  是祂長大的地方
[00:06:41.200 --> 00:06:43.200]  祂的長大是正常的
[00:06:43.200 --> 00:06:46.000]  跟其他的孩子都是一樣的
