
[00:00:00.000 --> 00:00:04.000]  牧師呢幾個星期去咗唔同嘅堂會嗰度
[00:00:04.000 --> 00:00:05.800]  嚟到分享上帝嘅華語
[00:00:05.800 --> 00:00:14.000]  我去到我以前宗派嘅一間堂會
[00:00:14.000 --> 00:00:19.500]  佢哋係一個好細嘅教會
[00:00:19.500 --> 00:00:23.200]  八個人坐滿咗個堂會啦
[00:00:23.200 --> 00:00:27.000]  個地方係租返嚟嘅
[00:00:30.000 --> 00:00:32.000]  要加佢好多好多嘅租金
[00:00:32.000 --> 00:00:37.500]  跟住佢哋最後同業主傾咗延長一年嘅租期
[00:00:37.500 --> 00:00:43.500]  就要佢哋離開啦
[00:00:43.500 --> 00:00:48.500]  佢哋就開始為呢件事切切嘅討價
[00:00:48.500 --> 00:00:54.000]  去到我哋嘅姊妹堂加密村堂
[00:00:54.000 --> 00:00:58.500]  大家知唔知加密村堂係邊嘅
[00:01:00.000 --> 00:01:03.500]  何文軒附近
[00:01:03.500 --> 00:01:08.000]  晚飯我都會去到嗰度離開聯會
[00:01:08.000 --> 00:01:16.000]  原來政府因為需要更加多呢個房屋嘅供應
[00:01:16.000 --> 00:01:22.000]  都曾經諗過嗰個地方
[00:01:22.000 --> 00:01:25.500]  佢哋都好緊張
[00:01:25.500 --> 00:01:29.000]  有冇地方可以嚟到擴展上帝嘅角度
[00:01:31.000 --> 00:01:32.000]  一路諗
[00:01:32.000 --> 00:01:36.000]  乜嘢係更好嘅堂會呢
[00:01:36.000 --> 00:01:39.000]  乜嘢係上帝更喜悅嘅教會呢
[00:01:39.000 --> 00:01:44.000]  一間教會同時佢要兼顧生存
[00:01:44.000 --> 00:01:50.000]  如果冇咗個地方咁你生存就有困難啦
[00:01:50.000 --> 00:01:55.000]  同時我哋既然係上帝嘅子民
[00:01:55.000 --> 00:01:57.000]  我哋亦都會從政
[00:01:58.000 --> 00:02:01.000]  既然係上帝嘅子民我哋亦都會從上帝嘅角度去諗嘢
[00:02:01.000 --> 00:02:07.000]  點樣為之更好嘅堂會呢
[00:02:07.000 --> 00:02:14.000]  我發現喺呢個時代呢一個答案越嚟越難答
[00:02:14.000 --> 00:02:22.000]  所以好想今日大家一齊分享上帝嘅華語
[00:02:25.000 --> 00:02:28.000]  今日我哋嘅崇拜係需要更有效率
[00:02:28.000 --> 00:02:34.000]  因為我哋完咗崇拜之後有議長分享會
[00:02:34.000 --> 00:02:42.000]  我希望有更加多嘅弟兄姊妹留低多大概45分鐘嘅時間
[00:02:42.000 --> 00:02:52.000]  所以希望我能夠可能個節奏會比較快嘅去講到
[00:02:55.000 --> 00:02:59.000]  點解而家呢個時代越嚟越難定義教會係咪更好呢
[00:02:59.000 --> 00:03:05.000]  可能你會有留意基督教嘅新聞
[00:03:05.000 --> 00:03:10.000]  有一間喺新界區嘅教會
[00:03:10.000 --> 00:03:15.000]  舉辦一個嘅報道會
[00:03:15.000 --> 00:03:21.000]  結合咗籌款嘅活動
[00:03:24.000 --> 00:03:26.000]  呢間教會我少少認識佢
[00:03:26.000 --> 00:03:31.000]  佢哋有做社區嘅工作嘅
[00:03:31.000 --> 00:03:35.000]  一間好大嘅教會嚟嘅
[00:03:35.000 --> 00:03:37.000]  佢哋要搬啦
[00:03:37.000 --> 00:03:39.000]  地方唔夠用啦
[00:03:39.000 --> 00:03:42.000]  所以呢好需要嚟到去籌款
[00:03:42.000 --> 00:03:47.000]  但係將報道同埋籌款結合嘅時候呢
[00:03:47.000 --> 00:03:53.000]  有啲地方處理得唔係最好
[00:03:55.000 --> 00:03:57.000]  因為嗰個報道會呢係要收費
[00:03:57.000 --> 00:04:01.000]  收費不得不得止
