
[00:00:00.000 --> 00:00:04.360]  近一兩年這個疫情影響到全球
[00:00:04.360 --> 00:00:10.240]  相信是在每一個國家元首
[00:00:10.240 --> 00:00:16.520]  或者政府裡面都是首要要面對
[00:00:16.520 --> 00:00:18.840]  要處理的一件事情
[00:00:18.840 --> 00:00:23.840]  當然在今日香港做一次第五波
[00:00:23.840 --> 00:00:25.920]  這麼大的肆虐的時候
[00:00:25.920 --> 00:00:29.600]  體會到政府或者是官員
[00:00:29.600 --> 00:00:35.280]  都是很忙碌去想出對應的方法
[00:00:35.280 --> 00:00:40.520]  但很多時候都當然不能夠去好好地處理
[00:00:40.520 --> 00:00:45.280]  因為事實上這些都是一些
[00:00:45.280 --> 00:00:50.000]  這些事情不是整年都有常常有發生
[00:00:50.000 --> 00:00:54.080]  以致可能這些措施未必是有果效
[00:00:54.080 --> 00:00:56.840]  或者都是在嘗試的中間
[00:00:56.840 --> 00:01:00.680]  所以在一個艱難的時候裡面
[00:01:00.680 --> 00:01:03.160]  我都會去看不同的國家
[00:01:03.160 --> 00:01:06.040]  怎樣去應對這個疫情
[00:01:06.040 --> 00:01:08.800]  有些可能是開始覺得
[00:01:08.800 --> 00:01:11.360]  已經不能夠去負荷了
[00:01:11.360 --> 00:01:13.600]  醫療系統就放棄了
[00:01:13.600 --> 00:01:16.360]  就開始與病毒共存
[00:01:16.360 --> 00:01:20.080]  有些覺得繼續可以努力掙扎
[00:01:20.080 --> 00:01:24.600]  能夠將這個病毒去消除
[00:01:24.600 --> 00:01:27.600]  繼續去用不同的措施
[00:01:27.600 --> 00:01:32.800]  能夠讓這個病毒遠離自己的地方
[00:01:32.800 --> 00:01:35.480]  當然不同的處理的方法
[00:01:35.480 --> 00:01:37.600]  有不同的效果在這裡
[00:01:37.600 --> 00:01:41.920]  於是我在思想這些
[00:01:41.920 --> 00:01:46.000]  全球不同的國家應對的方法的時候
[00:01:46.000 --> 00:01:50.200]  我就去思想以往九月裡面
[00:01:50.200 --> 00:01:53.160]  很多時候不同的王朝
[00:01:53.160 --> 00:01:55.680]  特別是在以色列國
[00:01:55.680 --> 00:01:58.800]  後來分裂了南北兩國
[00:01:58.800 --> 00:02:01.600]  無論是以色列國或者猶太國
[00:02:01.600 --> 00:02:05.440]  他們都會遇到很多艱難的時候
[00:02:05.440 --> 00:02:08.200]  也遇到很多外敵侵襲的時候
[00:02:08.200 --> 00:02:14.560]  又遇到很多不同問題發生在這幾個國家
[00:02:14.560 --> 00:02:17.920]  我會想這些君王是怎樣去面對
[00:02:17.920 --> 00:02:20.840]  怎樣去處理這些事情呢?
