
[00:00:00.000 --> 00:00:05.420]  感謝神能夠和弟兄姊妹在這裡一起敬拜
[00:00:05.420 --> 00:00:10.200]  能夠一起分享神的話語
[00:00:10.200 --> 00:00:15.820]  今天會繼續和大家講哥林多前書十三章裏面
[00:00:15.820 --> 00:00:19.420]  保羅所寫的愛的詩章
[00:00:19.420 --> 00:00:24.940]  我相信應該是最後一篇的訊息
[00:00:24.940 --> 00:00:34.360]  感謝神的帶領能夠完成這個講道的系列
[00:00:34.360 --> 00:00:37.080]  從中我自己也有很多的領受
[00:00:37.080 --> 00:00:41.980]  和弟兄姊妹也從中得到很多的啟發
[00:00:41.980 --> 00:00:47.960]  講起愛的詩章的時候
[00:00:47.960 --> 00:00:53.840]  我就想起那些童話故事
[00:00:53.840 --> 00:00:59.100]  那些童話故事 特別是愛情故事那一類
[00:00:59.100 --> 00:01:06.080]  這些故事的結尾 有一個典型的結尾
[00:01:06.080 --> 00:01:08.420]  是什麼呢?
[00:01:08.420 --> 00:01:14.900]  或者是王子、公主 總之有兩個年輕人
[00:01:14.900 --> 00:01:16.900]  或者是一對年輕人
[00:01:16.900 --> 00:01:27.180]  結尾也是說 從此他們就幸福快樂地生活了
[00:01:27.180 --> 00:01:31.820]  我相信無論是小朋友或者我們成年人也好
[00:01:31.820 --> 00:01:36.940]  我們都很喜歡或者很回味這一句話
[00:01:36.940 --> 00:01:42.780]  會很喜歡 很喜歡有這一種的結局
[00:01:42.780 --> 00:01:46.780]  但是我們成年人立即就會想起現實的問題
[00:01:46.780 --> 00:01:49.780]  就是在現實的生活裡面
[00:01:49.780 --> 00:01:54.100]  從此就幸福愉快地生活了
[00:01:54.100 --> 00:02:00.540]  這個情況好像是一個遙不可及
[00:02:00.540 --> 00:02:02.880]  幾乎是不可能的事
[00:02:02.880 --> 00:02:08.620]  只是一個夢想 或者只是一個童話故事
[00:02:08.620 --> 00:02:12.500]  是不是呢?
[00:02:12.500 --> 00:02:16.280]  為什麼不可能呢?
[00:02:16.280 --> 00:02:19.620]  從此就幸福愉快地生活
[00:02:19.620 --> 00:02:22.580]  既然是我們每一個人都想要的東西
