
[00:00:00.000 --> 00:00:05.500]  根據猶太人傳統阿伯拉罕憲二世的故事
[00:00:05.500 --> 00:00:09.300]  其實是要講述一家人父子之間
[00:00:09.300 --> 00:00:14.300]  和對上帝一段三角關係的故事
[00:00:14.300 --> 00:00:15.300]  換句話說
[00:00:15.300 --> 00:00:21.300]  在當中透過這三重的關係
[00:00:21.300 --> 00:00:27.800]  來帶出一段你和上帝之間的關係
[00:00:27.800 --> 00:00:33.800]  如何在當中演繹在你的家庭
[00:00:33.800 --> 00:00:38.300]  或者再近一點是你和爸爸之間的關係
[00:00:38.300 --> 00:00:39.800]  也透過這些關係
[00:00:39.800 --> 00:00:42.800]  你如何體驗到上帝
[00:00:42.800 --> 00:00:47.800]  或者承傳到上帝對你的心意
[00:00:47.800 --> 00:00:50.800]  這件事是記載在《創世紀》第二十二章
[00:00:50.800 --> 00:00:52.800]  那裡這樣說
[00:00:52.800 --> 00:00:56.300]  有一天阿伯拉罕聽到上帝對他說
[00:00:56.300 --> 00:00:59.800]  你帶你的兒子就是你的獨生兒子
[00:00:59.800 --> 00:01:02.300]  你所愛的爾薩往摩尼亞地去
[00:01:02.300 --> 00:01:04.800]  在我所要指示你的山上
[00:01:04.800 --> 00:01:06.800]  把他獻為梵濟
[00:01:06.800 --> 00:01:10.800]  就在那個時候阿伯拉罕大概是一百一十五歲
[00:01:10.800 --> 00:01:13.800]  他的兒子大概是十五歲
[00:01:13.800 --> 00:01:17.300]  是一個青少年時期的年輕人
[00:01:17.300 --> 00:01:21.800]  這樣阿伯拉罕就清早起來避上路
[00:01:21.800 --> 00:01:23.800]  帶著兩個僕人和他的兒子爾薩
[00:01:23.800 --> 00:01:26.300]  亦都劈好了梵濟的柴
[00:01:26.300 --> 00:01:29.300]  就起身往神所指示的地方去撩
[00:01:29.300 --> 00:01:31.300]  從這段經文記載
[00:01:31.300 --> 00:01:35.300]  可以看見爾薩是多麼的順服
[00:01:35.300 --> 00:01:37.300]  多麼的尊重他的爸爸
[00:01:37.300 --> 00:01:39.300]  阿伯拉罕的吩咐和安排
[00:01:39.300 --> 00:01:42.300]  爾薩他有一顆很順服的心
[00:01:42.300 --> 00:01:44.300]  爸爸叫他起身
[00:01:44.300 --> 00:01:46.300]  他就起身
[00:01:46.300 --> 00:01:49.300]  如果我兒子是這樣就好了
[00:01:49.300 --> 00:01:54.300]  阿伯拉罕就領他去敬拜神
[00:01:54.300 --> 00:02:00.300]  他就很順服地跟著爸爸去敬拜神
[00:02:00.300 --> 00:02:03.300]  並沒有追問阿伯究竟要去哪裏
[00:02:03.300 --> 00:02:07.300]  如果你曾經帶過隊去行山
[00:02:07.300 --> 00:02:09.300]  我都有些行山章
[00:02:09.300 --> 00:02:12.300]  我都試過帶一些年輕人行山
[00:02:12.300 --> 00:02:15.300]  其中最煩擾的是
[00:02:15.300 --> 00:02:20.300]  有些很小的初衷就是一直問林Sir
[00:02:20.300 --> 00:02:22.300]  林Sir我們何時到達?
[00:02:22.300 --> 00:02:24.300]  我們目的地去哪裏?
[00:02:24.300 --> 00:02:26.300]  然後走了大約一百米
[00:02:26.300 --> 00:02:28.300]  林Sir我們何時到達?
[00:02:28.300 --> 00:02:30.300]  那裏就到了,我們很快到達
[00:02:30.300 --> 00:02:32.300]  通常教練跟你說
[00:02:32.300 --> 00:02:34.300]  很快到達,很快到達
[00:02:34.300 --> 00:02:36.300]  其實你不要相信
[00:02:36.300 --> 00:02:39.300]  其實還有一段路程
[00:02:39.300 --> 00:02:41.300]  舉個比喻
[00:02:41.300 --> 00:02:46.300]  在這裏看到他沒有追問父親往哪裏
[00:02:46.300 --> 00:02:49.300]  為何這麼早就要去敬拜神
[00:02:49.300 --> 00:02:54.300]  當阿伯拉罕吩咐僕人和老子留下來的時候
[00:02:54.300 --> 00:02:58.300]  將梵祭放在以撒的身上的時候
[00:02:58.300 --> 00:03:05.300]  以撒都好像沒有甚麼特別的舉動或者異議
[00:03:05.300 --> 00:03:08.300]  然後他們就走了三天的路程
[00:03:08.300 --> 00:03:10.300]  有兩個僕人陪著
[00:03:10.300 --> 00:03:13.300]  然後去到阿摩利山那個地方
[00:03:13.300 --> 00:03:15.300]  阿伯拉罕就跟兩個僕人說
[00:03:15.300 --> 00:03:18.300]  你們和老子在山下等
[00:03:18.300 --> 00:03:21.300]  我帶著童子到山上去敬拜上帝
[00:03:21.300 --> 00:03:23.300]  然後就會回來
[00:03:23.300 --> 00:03:24.300]  你們在這裏等一會
[00:03:24.300 --> 00:03:30.300]  阿伯拉罕就將梵祭的柴放在他的兒子以撒身上
[00:03:30.300 --> 00:03:33.300]  自己手裏就拿著火和刀
[00:03:33.300 --> 00:03:36.300]  於是二人同行
[00:03:36.300 --> 00:03:42.300]  如果大家再讀聖經下去就會發現有很多空間
[00:03:42.300 --> 00:03:48.300]  這三天裏面可以發生很多事
[00:03:48.300 --> 00:03:53.300]  也可以甚麼事都沒有發生
[00:03:53.300 --> 00:03:57.300]  不出聲不代表沒有事發生
[00:03:57.300 --> 00:04:02.300]  很平白地走了三天的路程就到了
[00:04:02.300 --> 00:04:06.300]  不過鄧小姐你有沒有感覺到聖經裏面
[00:04:06.300 --> 00:04:12.300]  不出聲有時比出聲更加緊張的氣氛
[00:04:12.300 --> 00:04:19.300]  你有沒有試過一路走一路跟那個人是沒有說話的
[00:04:19.300 --> 00:04:22.300]  有沒有試過這樣的經歷
[00:04:22.300 --> 00:04:32.300]  大概老婆在那裏和老婆吵架
[00:04:32.300 --> 00:04:36.300]  一路走一路不說話的那一刻
[00:04:36.300 --> 00:04:38.300]  裏面很緊張
[00:04:38.300 --> 00:04:43.300]  你總是覺得有些事想爆出來想說
[00:04:43.300 --> 00:04:45.300]  不過你又不想說
[00:04:45.300 --> 00:04:48.300]  走啊
[00:04:48.300 --> 00:04:50.300]  坊間有很多解釋
[00:04:50.300 --> 00:04:53.300]  在這段經文裏面
[00:04:53.300 --> 00:04:55.300]  在這個過程裏面
[00:04:55.300 --> 00:04:59.300]  他們將重點都放在阿伯拉罕身上
[00:04:59.300 --> 00:05:02.300]  然後在裏面再突顯
[00:05:02.300 --> 00:05:07.300]  你看看阿伯拉罕在這件事裏面
[00:05:07.300 --> 00:05:10.300]  如何經歷信心的功課
[00:05:10.300 --> 00:05:14.300]  再突破他的限制
[00:05:14.300 --> 00:05:17.300]  然後在當中如何信心的交托
[00:05:17.300 --> 00:05:20.300]  獨身的兒子來交給上帝
[00:05:20.300 --> 00:05:23.300]  阿伯拉罕獻以殺的事
[00:05:23.300 --> 00:05:26.300]  在當中成為我們一個學習
[00:05:26.300 --> 00:05:31.300]  用信心依靠上帝一個很好的榜樣
[00:05:31.300 --> 00:05:32.300]  我相信不陌生吧
