
[00:00:00.000 --> 00:00:02.480]  撒姆爾傳第五講
[00:00:02.480 --> 00:00:04.740]  撒姆爾上第七章
[00:00:04.740 --> 00:00:08.200]  「怎樣能夠一心歸順耶和華」
[00:00:08.200 --> 00:00:09.900]  其實今天這篇道
[00:00:09.900 --> 00:00:12.200]  不是只給父親
[00:00:12.200 --> 00:00:14.200]  也是給所有的母親
[00:00:14.200 --> 00:00:17.600]  也是給所有做兒女的
[00:00:17.600 --> 00:00:20.800]  就是「怎樣能夠一心歸順耶和華」
[00:00:20.800 --> 00:00:23.000]  今天的經文其實取自
[00:00:23.000 --> 00:00:25.800]  撒姆爾上的七章三節
[00:00:25.800 --> 00:00:27.960]  本來我想給他一個題目
[00:00:27.960 --> 00:00:30.900]  就是撒姆爾作以色列人的時事
[00:00:30.900 --> 00:00:34.800]  因為這就是今天要講的這個故事
[00:00:34.800 --> 00:00:36.600]  但我見到在經文裡
[00:00:36.600 --> 00:00:38.700]  真的有七點很重要
[00:00:38.700 --> 00:00:41.500]  教我們怎樣能夠一心歸順耶和華
[00:00:41.500 --> 00:00:45.200]  所以我最後將這個題目都改了
[00:00:45.200 --> 00:00:49.300]  剛才我們讀到經文
[00:00:49.300 --> 00:00:53.000]  知道約桂依經回到以色列人那裡
[00:00:53.000 --> 00:00:58.200]  放了在辯亞敏茲派境內的基列耶林這個地方
[00:00:58.200 --> 00:01:01.000]  就在亞比拿達的家裡
[00:01:01.000 --> 00:01:05.200]  而士羅本來在會莫所在的地方
[00:01:05.200 --> 00:01:08.400]  已經被菲律師人夷為平地
[00:01:08.400 --> 00:01:12.500]  不再是耶和華聖所所在的地方
[00:01:12.500 --> 00:01:14.300]  而我們知道
[00:01:14.300 --> 00:01:16.600]  大衛是要在一百年之後
[00:01:16.600 --> 00:01:19.000]  差不多超過一百年
[00:01:19.000 --> 00:01:22.600]  才將約桂再一次運回耶路撒冷
[00:01:22.600 --> 00:01:26.100]  以致以色列人可以在神的面前
[00:01:26.100 --> 00:01:29.600]  在約桂的面前再次敬拜神
[00:01:29.600 --> 00:01:32.300]  所以這可以說是
[00:01:32.300 --> 00:01:37.900]  以色列人一段很黑暗的時候
[00:01:37.900 --> 00:01:40.500]  經文說過了二十年
[00:01:40.500 --> 00:01:44.800]  以色列全家都歸向傾向耶和華
[00:01:44.800 --> 00:01:47.400]  撒姆爾上的七章二節
[00:01:47.400 --> 00:01:49.400]  在這二十年當中
[00:01:49.400 --> 00:01:53.200]  我們不知道撒姆爾在哪裡做了什麼
[00:01:53.200 --> 00:01:55.400]  經文沒有告訴我們
[00:01:55.400 --> 00:01:58.800]  而在撒姆爾記上的第四至六章
[00:01:58.800 --> 00:02:01.600]  是沒有提到撒姆爾的事蹟
[00:02:01.600 --> 00:02:05.900]  但我們知道撒姆爾將會很快帶領以色列人
[00:02:05.900 --> 00:02:08.800]  一心歸向耶和華
[00:02:08.800 --> 00:02:14.200]  撒姆爾我曾經說過是一個過渡時期的先知
[00:02:14.200 --> 00:02:18.200]  就是一個非常動盪不穩定的時候
[00:02:18.200 --> 00:02:22.600]  神叫他在兩個時代建立一條橋梁
[00:02:22.600 --> 00:02:26.400]  就是在士師時代和君王時代的中間
[00:02:26.400 --> 00:02:28.800]  建立這條橋
[00:02:28.800 --> 00:02:31.200]  實在不是一件容易的事
[00:02:31.200 --> 00:02:33.400]  而撒姆爾也知道
[00:02:33.400 --> 00:02:37.200]  如果以色列人不將耶和華放在首位
[00:02:37.200 --> 00:02:39.800]  不單單去侍奉他的話
[00:02:39.800 --> 00:02:41.800]  以色列是會失敗
[00:02:41.800 --> 00:02:44.100]  以色列是不會成功的
[00:02:44.100 --> 00:02:45.700]  所以這也是原因
[00:02:45.700 --> 00:02:50.600]  他在變亞敏米斯巴的地方召開了一個會議
[00:02:50.600 --> 00:02:53.300]  他要呼籲所有的以色列人
[00:02:53.300 --> 00:02:56.400]  要一心歸向耶和華
[00:02:56.400 --> 00:02:57.900]  這個呼籲
[00:02:57.900 --> 00:03:01.900]  我相信今時今日都是給我們每一個神的子民
[00:03:01.900 --> 00:03:03.500]  每一個神的兒女
[00:03:03.500 --> 00:03:07.200]  我們都應該一心歸向耶和華
[00:03:07.200 --> 00:03:09.700]  在撒姆爾上的七章三節
[00:03:09.700 --> 00:03:12.400]  撒姆爾對以色列全家說
[00:03:12.400 --> 00:03:15.000]  你們若一心歸順耶和華
[00:03:15.000 --> 00:03:18.200]  就要把外邦的神和阿斯他祿
[00:03:18.200 --> 00:03:21.100]  從你們的中間除掉
[00:03:21.100 --> 00:03:23.500]  專心歸向耶和華
[00:03:23.500 --> 00:03:25.600]  單單的侍奉他
[00:03:25.600 --> 00:03:31.400]  他必救你們脫離非利是人的手
[00:03:31.400 --> 00:03:34.200]  撒姆爾記的一開始
[00:03:34.200 --> 00:03:35.900]  其實提醒我們
[00:03:35.900 --> 00:03:38.800]  和士司記沒有什麼分別
[00:03:38.800 --> 00:03:42.100]  記不記得我講士司記的時候都講過
[00:03:42.100 --> 00:03:46.300]  士司記其實是一個七個惡性的循環
[00:03:46.300 --> 00:03:48.300]  就是以色列人犯罪
[00:03:48.300 --> 00:03:51.900]  神就興起他們的敵人來攻打他們
[00:03:51.900 --> 00:03:53.200]  征服他們
[00:03:53.200 --> 00:03:55.400]  甚至是奴役他們
[00:03:55.400 --> 00:03:57.300]  當他們受到敵人的壓迫
[00:03:57.300 --> 00:03:59.400]  他們向神來呼求
[00:03:59.400 --> 00:04:03.000]  神就差派士司來拯救他們
[00:04:03.000 --> 00:04:04.100]  但是很可惜
[00:04:04.100 --> 00:04:05.700]  拯救了他們之後
[00:04:05.700 --> 00:04:07.300]  他們又忘記了
[00:04:07.300 --> 00:04:09.200]  跟我們都很相似
