
[00:00:00.000 --> 00:00:01.160]  今天預備這個訊息
[00:00:01.160 --> 00:00:04.360]  我都是想在一個互相認識之下
[00:00:04.360 --> 00:00:07.680]  去作一個題目的分享
[00:00:07.680 --> 00:00:10.360]  特別是我們對於認識耶穌
[00:00:10.360 --> 00:00:11.480]  我們
[00:00:11.480 --> 00:00:13.640]  大家都認識耶穌
[00:00:13.640 --> 00:00:16.680]  外面很多人都會用耶穌的名字
[00:00:16.680 --> 00:00:18.880]  我們都說我們要認識耶穌
[00:00:18.880 --> 00:00:22.600]  剛才在我們讚美的時候
[00:00:22.600 --> 00:00:25.360]  Winnie帶領我們禱告
[00:00:25.360 --> 00:00:26.800]  都提及這個詞
[00:00:26.800 --> 00:00:28.960]  我們要認識耶穌
[00:00:29.520 --> 00:00:31.640]  我覺得在這個題目上
[00:00:31.640 --> 00:00:34.200]  比較廣泛
[00:00:34.200 --> 00:00:35.120]  比較普遍
[00:00:35.120 --> 00:00:37.920]  但同一時候都是給我們一些
[00:00:37.920 --> 00:00:40.120]  一個問題
[00:00:40.120 --> 00:00:41.040]  自己去問一問
[00:00:41.040 --> 00:00:43.120]  我認識耶穌
[00:00:43.120 --> 00:00:45.160]  我認識耶穌多少呢
[00:00:45.160 --> 00:00:46.880]  我認識耶穌
[00:00:46.880 --> 00:00:48.760]  跟我旁邊那個人認識耶穌
[00:00:48.760 --> 00:00:50.000]  有沒有差別呢
[00:00:50.000 --> 00:00:51.720]  這幾天有時候我們需要
[00:00:51.720 --> 00:00:54.720]  久不久去做一些反思
[00:00:54.720 --> 00:00:58.240]  在我進入這個經文的主題的時候
[00:00:59.040 --> 00:01:02.080]  我想介紹一個這樣的圖給大家看
[00:01:02.080 --> 00:01:06.080]  這個圖是商業界會使用的
[00:01:06.080 --> 00:01:08.360]  叫做 Dunning & Kruger
[00:01:08.360 --> 00:01:12.280]  這個商業界的圖是用來做什麼呢
[00:01:12.280 --> 00:01:16.400]  幫助一些公司的職員
[00:01:16.400 --> 00:01:20.000]  幫助公司的職員
[00:01:20.000 --> 00:01:22.480]  如何組織一個團隊
[00:01:22.480 --> 00:01:25.800]  用一個這樣的圖
[00:01:26.040 --> 00:01:29.760]  去審核一下公司裡的職員
[00:01:29.760 --> 00:01:31.560]  行政人員
[00:01:31.560 --> 00:01:34.240]  究竟他們做工的時候
[00:01:34.240 --> 00:01:37.040]  他們對大家的認識
[00:01:37.040 --> 00:01:38.680]  程度有多深
[00:01:38.680 --> 00:01:39.880]  因為在商業界
[00:01:39.880 --> 00:01:41.000]  他們相信
[00:01:41.000 --> 00:01:43.360]  如果要賺大錢的話
[00:01:43.360 --> 00:01:46.880]  其實團隊要有一個團隊的精神
[00:01:46.880 --> 00:01:49.840]  不是每個人獨自做自己的事
[00:01:49.840 --> 00:01:53.160]  所以其實我們基督徒有很大的影響力
[00:01:53.160 --> 00:01:55.680]  因為我們組織團隊
[00:01:55.680 --> 00:02:00.280]  就是我們基督徒最好的本能
[00:02:00.280 --> 00:02:02.160]  所以我們可以積極地去思考
[00:02:02.160 --> 00:02:05.560]  我借用這個圖解我們去明白一下
[00:02:05.560 --> 00:02:07.920]  原來他們對一個人的認識
[00:02:07.920 --> 00:02:09.440]  或者團隊的認識
[00:02:09.440 --> 00:02:12.160]  首先這個圖有兩個極端
[00:02:12.160 --> 00:02:14.360]  最高的那個上面就說
