
[00:00:00.000 --> 00:00:03.000]  讓我們再次同心禱告
[00:00:03.000 --> 00:00:06.000]  愛我們的主,我們多謝祢
[00:00:06.000 --> 00:00:08.000]  祢就是我們的大目者
[00:00:08.000 --> 00:00:10.000]  求祢用祢的像,祢的肝
[00:00:10.000 --> 00:00:13.000]  指引我們人生的路向
[00:00:13.000 --> 00:00:15.000]  昔日祢怎樣帶領這班以色列人
[00:00:15.000 --> 00:00:17.000]  能夠從失敗裏面
[00:00:17.000 --> 00:00:19.000]  能夠進入成功
[00:00:19.000 --> 00:00:23.000]  從跌倒裏面能夠再一次的跨過
[00:00:23.000 --> 00:00:24.000]  就當我們今天打開
[00:00:24.000 --> 00:00:27.000]  若孫雅記第八章的經文的時候
[00:00:27.000 --> 00:00:28.000]  求祢的聖靈親自的
[00:00:28.000 --> 00:00:31.000]  讓我們每一個屬祢的兒女來講說話
[00:00:31.000 --> 00:00:33.000]  讓我們講的聽的
[00:00:33.000 --> 00:00:36.000]  同樣在祢面前被造就被更生
[00:00:36.000 --> 00:00:37.000]  祝福我們以下的時間
[00:00:37.000 --> 00:00:38.000]  聽我們的禱告
[00:00:38.000 --> 00:00:40.000]  奉耶穌基督祢的聖名
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:43.000]  這段經文裏面第八章
[00:00:43.000 --> 00:00:46.000]  我給的題目就是重新得力
[00:00:46.000 --> 00:00:48.000]  在講的時候我想問鼎姐妹
[00:00:48.000 --> 00:00:50.000]  在你人生裏面
[00:00:50.000 --> 00:00:55.000]  你想想你有沒有失敗過呢
[00:00:55.000 --> 00:00:58.000]  有沒有失敗過呀
[00:00:58.000 --> 00:01:00.000]  我和太太說
[00:01:00.000 --> 00:01:03.000]  想來想去有什麼地方失敗呢
[00:01:03.000 --> 00:01:08.000]  到今早我想起
[00:01:08.000 --> 00:01:10.000]  好記得
[00:01:10.000 --> 00:01:13.000]  當我讀神學的時候
[00:01:13.000 --> 00:01:16.000]  神學被差派去一間教會裏面實習
[00:01:16.000 --> 00:01:19.000]  實習神學生要學習講道
[00:01:19.000 --> 00:01:20.000]  三個月之後
[00:01:20.000 --> 00:01:23.000]  我被編排要講第一篇的訊息
[00:01:23.000 --> 00:01:24.000]  當我要預備這篇訊息的時候
[00:01:24.000 --> 00:01:27.000]  心裏面好興奮好雀躍
[00:01:27.000 --> 00:01:28.000]  我心裏面有個負擔
[00:01:28.000 --> 00:01:30.000]  就是我預備這篇訊息的時候
[00:01:30.000 --> 00:01:31.000]  完了的時候
[00:01:31.000 --> 00:01:34.000]  我能夠呼召鼎姐妹決志相信耶穌
[00:01:34.000 --> 00:01:37.000]  心裏面好期盼這個日子的來臨
[00:01:37.000 --> 00:01:39.000]  結果當這個日子來臨
[00:01:39.000 --> 00:01:41.000]  我站在台上去分享這篇訊息
[00:01:41.000 --> 00:01:42.000]  我講的時候
[00:01:42.000 --> 00:01:45.000]  我自己心裏面都覺得好興奮好雀躍
[00:01:45.000 --> 00:01:47.000]  但去到講完道的時候
[00:01:47.000 --> 00:01:49.000]  我叫鼎姐妹閉上眼祈禱
