
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹 新年快樂
[00:00:03.000 --> 00:00:06.280]  今天是2026年第一個的主日
[00:00:06.280 --> 00:00:09.380]  在今年2026年開始
[00:00:09.380 --> 00:00:13.880]  有少少的插在我們崇拜的程序
[00:00:13.880 --> 00:00:15.880]  就是剛才你看到打了出來
[00:00:15.880 --> 00:00:17.240]  新城要你問答
[00:00:17.240 --> 00:00:22.680]  因為在我去年差不多年尾的時候
[00:00:22.680 --> 00:00:25.320]  就看到這個 我發覺都頗有意思的
[00:00:25.320 --> 00:00:29.080]  就是有很多時候我們信仰的內容
[00:00:29.080 --> 00:00:31.960]  其實有些東西我們是知道的
[00:00:31.960 --> 00:00:35.400]  但是可能抓得不夠穩定
[00:00:35.400 --> 00:00:41.800]  這時候我們是需要很清楚確實的知道
[00:00:41.800 --> 00:00:43.600]  這個要你問答
[00:00:43.600 --> 00:00:46.400]  其實在基督教的信仰裏面
[00:00:46.400 --> 00:00:48.800]  其實就很早已經有了
[00:00:48.800 --> 00:00:52.400]  就是說信耶穌的人
[00:00:52.400 --> 00:00:54.880]  他怎樣去知道那些什麼內容呢
[00:00:54.880 --> 00:00:57.600]  就是藉著一問一答
[00:00:57.600 --> 00:01:02.880]  來將信仰的內容來去記得
[00:01:02.880 --> 00:01:05.240]  也是傳承下去的
[00:01:05.240 --> 00:01:10.000]  這個就稱為要你問答那個字
[00:01:10.000 --> 00:01:13.000]  或者那個形式就是這樣由來的
[00:01:13.000 --> 00:01:15.200]  就是一問一答這樣的形式
[00:01:15.200 --> 00:01:18.320]  新城要你問答這個其實
[00:01:18.320 --> 00:01:20.800]  很多的要你問答其實是
[00:01:20.800 --> 00:01:25.760]  特別是宗教改革之後的時候編出來的
[00:01:25.760 --> 00:01:28.560]  但是可能過了很多年了
[00:01:28.560 --> 00:01:32.360]  現在都很難去記
[00:01:32.360 --> 00:01:33.920]  因為很多都很長
[00:01:33.920 --> 00:01:36.120]  現在這個就是簡化版
[00:01:36.120 --> 00:01:39.080]  剛剛正好有52條
[00:01:39.080 --> 00:01:42.080]  就是我們每個星期可以讀一條
[00:01:42.080 --> 00:01:47.240]  希望完了一年我們就讀完52條
[00:01:47.240 --> 00:01:50.040]  其實是去兼顧我們的信仰
[00:01:50.040 --> 00:01:52.920]  所以不僅是想在這裡讀一讀
[00:01:52.920 --> 00:01:54.320]  崇拜的時候讀一讀
[00:01:54.320 --> 00:01:55.760]  其實希望大英姐妹
[00:01:55.760 --> 00:01:59.080]  我們都印在秩序表那裡的
