
[00:00:00.000 --> 00:00:02.720]  讓我們一起首先祈禱
[00:00:02.720 --> 00:00:08.580]  親主多謝你
[00:00:08.580 --> 00:00:12.500]  多謝你的焦聚 多謝你的吸引
[00:00:12.500 --> 00:00:15.980]  你讓我們回到你的殿裏面去敬拜
[00:00:15.980 --> 00:00:19.020]  我們求聖靈親自與我們同在
[00:00:19.020 --> 00:00:21.480]  主要是知道祢很愛我們
[00:00:21.480 --> 00:00:25.280]  我們盼望這個不只是在頭腦上的認知
[00:00:25.280 --> 00:00:28.100]  但在我們生活裏面 我們看到
[00:00:28.100 --> 00:00:30.100]  祢對我們的恩友
[00:00:30.100 --> 00:00:33.220]  也讓此刻我們來到祢面前
[00:00:33.220 --> 00:00:35.480]  去聆聽祢的話語的時候
[00:00:35.480 --> 00:00:37.940]  讓聖靈親自與我們同在
[00:00:37.940 --> 00:00:41.060]  由願講的和聽的都同蒙祢的月亮
[00:00:41.060 --> 00:00:44.260]  祈禱逢主耶穌基督的名而求 阿們
[00:00:44.260 --> 00:00:47.760]  想問大家有沒有試過
[00:00:47.760 --> 00:00:49.760]  你有一個很好的朋友
[00:00:49.760 --> 00:00:51.760]  你知道他
[00:00:51.760 --> 00:00:54.480]  做一件事 前面要做一件事
[00:00:54.480 --> 00:00:56.720]  可能對他來說會有很大的傷害
[00:00:57.020 --> 00:00:59.800]  於是你就想勸勸他
[00:00:59.800 --> 00:01:02.320]  但他就不太聽
[00:01:02.320 --> 00:01:06.620]  每次有位朋友想勸勸他的時候
[00:01:06.620 --> 00:01:08.480]  他都很不開心
[00:01:08.480 --> 00:01:09.840]  只好跟你說
[00:01:09.840 --> 00:01:12.340]  是朋友的 拜託你支持我
[00:01:12.340 --> 00:01:14.340]  不要再說了
[00:01:14.340 --> 00:01:19.440]  你的朋友要這樣跟你說的時候
[00:01:19.440 --> 00:01:21.440]  不知道你有什麼感受
[00:01:21.440 --> 00:01:25.300]  又或者不知道你會有什麼反應
[00:01:27.140 --> 00:01:31.140]  今天經文是講到耶利米
[00:01:31.140 --> 00:01:33.560]  其實是耶利米的一段禱文
[00:01:33.560 --> 00:01:35.660]  耶利米所遭遇的
[00:01:35.660 --> 00:01:39.560]  和我剛才跟大家講的例子
[00:01:39.560 --> 00:01:42.500]  他向人的勸導
[00:01:42.500 --> 00:01:47.880]  可能帶來的反應更加惡劣
[00:01:47.880 --> 00:01:51.720]  讓我們首先看這短短的三節經文
[00:01:51.720 --> 00:01:54.760]  我們一起重讀 預備
[00:01:55.040 --> 00:01:57.040]  耶利米說 指示我
[00:01:57.040 --> 00:01:59.040]  我才知道
[00:01:59.040 --> 00:02:02.220]  你將他們所做的給我指明
[00:02:02.220 --> 00:02:06.220]  我將猶信的羔羊被牽去宰殺
[00:02:06.220 --> 00:02:10.220]  並不知道他們設計謀害我
[00:02:10.220 --> 00:02:14.220]  我們把樹連果子都滅了吧
[00:02:14.220 --> 00:02:17.220]  把他從活人之地剪除
[00:02:17.220 --> 00:02:20.220]  使他的名不再被記得
[00:02:20.220 --> 00:02:22.220]  按公義判斷
[00:02:22.220 --> 00:02:26.220]  察驗人隨虎心腸的萬軍之妖
[00:02:26.220 --> 00:02:31.220]  求你使我得見你在他們身上報仇
[00:02:31.220 --> 00:02:36.220]  因我已將我的案件向你稟明了
[00:02:36.220 --> 00:02:40.220]  其實這裡只不過是把耶利米
[00:02:40.220 --> 00:02:43.220]  在整個禱文裡的其中一段抽出來
[00:02:43.220 --> 00:02:47.220]  因為上文下理有些地方是不相關的
[00:02:47.220 --> 00:02:53.220]  不過因為我們很少在講壇上
[00:02:53.220 --> 00:02:56.220]  相對在新約來說
[00:02:56.220 --> 00:02:59.220]  包括我自己在內也很少講舊約
[00:02:59.220 --> 00:03:02.220]  所以也想和大家介紹一下耶利米
[00:03:02.220 --> 00:03:04.220]  當然大家也有機會看過耶利米書
[00:03:04.220 --> 00:03:06.220]  或者認識耶利米的生平
[00:03:06.220 --> 00:03:08.220]  也和大家參考一下
[00:03:08.220 --> 00:03:12.220]  去介紹一下耶利米先知
[00:03:12.220 --> 00:03:17.220]  他出生在猶太國末年的時候
[00:03:17.220 --> 00:03:20.220]  大約在主前的650年
[00:03:20.220 --> 00:03:24.220]  在一個地方叫做阿拿特城出生
[00:03:24.220 --> 00:03:27.220]  他的父親其實是祭司的後代
[00:03:27.220 --> 00:03:30.220]  他先祖叫做阿比亞他
[00:03:30.220 --> 00:03:33.220]  阿比亞他這個祭司
[00:03:33.220 --> 00:03:36.220]  其實他是在所羅門年代
[00:03:36.220 --> 00:03:38.220]  因為他參加叛變的關係
[00:03:38.220 --> 00:03:41.220]  所以被所羅門王革職
[00:03:41.220 --> 00:03:45.220]  革職之後放逐到阿拿特城
[00:03:45.220 --> 00:03:49.220]  於是他的後代也在這個地方居住和出生
[00:03:49.220 --> 00:03:54.220]  耶利米大約在猶太王約西亞王
[00:03:54.220 --> 00:03:56.220]  第十三年
[00:03:56.220 --> 00:03:59.220]  大約在主前的627年出生
[00:03:59.220 --> 00:04:02.220]  對不起是去接受上帝的呼召
[00:04:02.220 --> 00:04:05.220]  當時他大約23歲
[00:04:05.220 --> 00:04:10.220]  去領受這個做先知的呼召的時候
[00:04:10.220 --> 00:04:14.220]  正好在猶太王約西亞
[00:04:14.220 --> 00:04:18.220]  去整頓整個猶太的宗教生活上
[00:04:18.220 --> 00:04:21.220]  一些不敬虔的地方
[00:04:21.220 --> 00:04:24.220]  在猶太諸城去拆毀
[00:04:24.220 --> 00:04:32.220]  當時一些敬拜異教神子的優壇
[00:04:32.220 --> 00:04:34.220]  包括巴力亞瑟拉
[00:04:34.220 --> 00:04:38.220]  並且去收集荒廢了的聖殿
[00:04:38.220 --> 00:04:41.220]  教導人民遵守
[00:04:41.220 --> 00:04:45.220]  先祖曾經與上帝肅立的約
[00:04:45.220 --> 00:04:48.220]  包括遵守耶華的律法
[00:04:48.220 --> 00:04:52.220]  當然皇帝做了很多改革的地方
[00:04:52.220 --> 00:04:54.220]  在神的眼中
[00:04:54.220 --> 00:04:58.220]  這些猶太人雖然遵從約西亞的命令
[00:04:58.220 --> 00:05:01.220]  去拆了很多祭壇
[00:05:01.220 --> 00:05:03.220]  不過在上帝的眼中
[00:05:03.220 --> 00:05:05.220]  只不過是外表的悔改
[00:05:05.220 --> 00:05:08.220]  因為耶利米斯三十節耶華這樣說
[00:05:08.220 --> 00:05:12.220]  猶太人還不是一心歸向惡
[00:05:12.220 --> 00:05:16.220]  不過是假意歸惡
[00:05:16.220 --> 00:05:18.220]  耶利米領受上帝呼召的時候
[00:05:18.220 --> 00:05:20.220]  正正是這個背景
[00:05:20.220 --> 00:05:22.220]  而上帝當時也跟他們這樣說
[00:05:22.220 --> 00:05:26.220]  我派你作列國的先知
[00:05:26.220 --> 00:05:28.220]  我差你去到那裡
