
[00:00:00.000 --> 00:00:03.580]  兄姊妹平安,很高興在此分享神的話語。
[00:00:03.580 --> 00:00:08.660]  不知你進來禮堂時,是否發覺有些佈置和裝飾很不一樣?
[00:00:08.660 --> 00:00:13.360]  就是我們這個時期,是猶太曆的「駐棚節」,
[00:00:13.360 --> 00:00:17.760]  即是去紀念當時神去拯救以色列人出埃及,
[00:00:17.760 --> 00:00:19.620]  在曠野漂流四十年。
[00:00:19.620 --> 00:00:23.000]  在這四十年裏面,他們可能是朝寒晚拆,
[00:00:23.000 --> 00:00:26.240]  即是搭一些很簡單的住宿的地方,
[00:00:26.240 --> 00:00:31.980]  之後去度過這個艱難,神恭應他們在曠野最艱難的日子,
[00:00:31.980 --> 00:00:36.480]  神拯救他們,結果是往後的以色列人就會在這個日期,
[00:00:36.480 --> 00:00:41.700]  即是猶太曆的這個日期,就紀念神曾經拯救一個「駐棚節」。
[00:00:41.700 --> 00:00:47.360]  不知你人生有沒有經歷一些很像去了曠野的時間呢?
[00:00:47.360 --> 00:00:52.640]  可能是實質你真的去了曠野,或者你經歷一些很像曠野,
[00:00:52.640 --> 00:00:55.400]  即是沒有水,沒有很豐富的食物,
[00:00:55.400 --> 00:00:58.120]  甚至你見不到前面的路是怎樣,
[00:00:58.120 --> 00:01:00.000]  不知明天會發生什麼事,
[00:01:00.000 --> 00:01:03.000]  不知我有沒有力氣捱得到明年。
[00:01:03.000 --> 00:01:07.120]  所以很想在我開始前有個簡單的禱告,邀請大家一起閉上眼睛,
[00:01:07.120 --> 00:01:11.600]  你去回想神怎樣帶領你經歷曠野。
[00:01:11.600 --> 00:01:15.400]  我們每個人所經歷的道路都不一樣,
[00:01:15.400 --> 00:01:17.200]  有高山有低谷,
[00:01:17.200 --> 00:01:21.240]  但是這一刻,邀請你嘗試,
[00:01:21.240 --> 00:01:28.800]  數算主因,在你生命裡面,神怎樣帶領你渡過一個又一個難關。
[00:01:28.800 --> 00:01:29.800]  所以我們有個禱告,
[00:01:29.800 --> 00:01:33.280]  差主,我們去讚美你,你是個活著的主,
[00:01:33.280 --> 00:01:36.080]  同樣你是供應賜福的主,
[00:01:36.080 --> 00:01:39.480]  你幫助我們曾經渡過不同的事,
[00:01:39.480 --> 00:01:40.680]  有高有低,
