
[00:00:00.000 --> 00:00:08.000]  在昨天我就看見大家開始感受到讀耶利米書是不容易讀的。
[00:00:08.000 --> 00:00:13.000]  昨天我開始感受到大家讀耶利米書是不容易的。
[00:00:13.000 --> 00:00:14.000]  我感受到了。
[00:00:14.000 --> 00:00:15.000]  我感受到了。
[00:00:15.000 --> 00:00:17.000]  為什麼這樣說呢?
[00:00:17.000 --> 00:00:18.000]  為什麼這樣說呢?
[00:00:18.000 --> 00:00:24.000]  因為在第一天的言經會的時候,我就叫你們第一章我們講完了,
[00:00:24.000 --> 00:00:30.000]  回到家裡記下來,那時候你們每個人都很熱烈地笑。
[00:00:30.000 --> 00:00:36.000]  我在第一天的言經會第一章講完以後說,你們回家去把它背下來,
[00:00:36.000 --> 00:00:39.000]  我看見大家很熱烈地在微笑。
[00:00:39.000 --> 00:00:44.000]  但是在昨天讀完第三章的時候,我就稍微地說說,
[00:00:44.000 --> 00:00:50.000]  你們用你們的腦記一記的時候,我發覺你們沒有第一天那麼熱烈。
[00:00:50.000 --> 00:00:57.000]  昨天講完第三章的時候,我稍微講一下,你們要記下來經文,
[00:00:57.000 --> 00:00:59.000]  但是你們沒有第一天那麼熱烈了。
[00:00:59.000 --> 00:01:03.000]  可能出席的弟兄姊妹們有些不同了。
[00:01:03.000 --> 00:01:06.000]  可能有出席的弟兄姊妹有點不一樣。
[00:01:06.000 --> 00:01:10.000]  第一天跟第二天可能不是完全相同的弟兄姊妹。
[00:01:10.000 --> 00:01:13.000]  第一天跟第二天可能不是完全相同的弟兄姊妹。
[00:01:13.000 --> 00:01:19.000]  但另一個原因就是第一章是比較容易記的。
[00:01:19.000 --> 00:01:22.000]  但另一個原因就是第一章是比較容易記的。
[00:01:22.000 --> 00:01:25.000]  因為第一章的邏輯是比較容易的。
[00:01:25.000 --> 00:01:27.000]  第一章的邏輯是比較容易一些的。
[00:01:27.000 --> 00:01:32.000]  講了耶利米的呼召,然後講兩個異象。
[00:01:32.000 --> 00:01:36.000]  講到耶利米的呼召,然後是兩個異象。
[00:01:36.000 --> 00:01:44.000]  但是當我們看第三章的時候,我們發覺每一段的關係都好像不是黏得很緊密。
[00:01:44.000 --> 00:01:48.000]  看第三章的時候,好像每一個小段的關係不是那麼緊密的。
[00:01:48.000 --> 00:01:49.000]  看第三章的時候,好像每一個小段的關係不是那麼緊密的。
[00:01:49.000 --> 00:01:51.000]  要記就挺難記的。
[00:01:51.000 --> 00:01:54.000]  要背下來記下來是很難的。
[00:01:54.000 --> 00:02:00.000]  尤其是到我這樣的地步,由一個短褲子的人到一個穿西裝的人的時候,
[00:02:00.000 --> 00:02:01.000]  尤其是到我這樣的地步,由一個短褲子的人到一個穿西裝的人的時候,
[00:02:01.000 --> 00:02:03.000]  有一個現象就是記憶力倒退。
[00:02:03.000 --> 00:02:04.000]  有一個現象就是記憶力倒退。
[00:02:04.000 --> 00:02:09.000]  好像我以前穿短褲的一個年輕人到現在這樣的樣子,
[00:02:09.000 --> 00:02:10.000]  好像我以前穿短褲的一個年輕人到現在這樣的樣子,
[00:02:10.000 --> 00:02:13.000]  這個過程當中現在就比較難以記憶東西。
[00:02:13.000 --> 00:02:19.000]  以前很渴望那種過目能夠記得的那種恩賜。
[00:02:19.000 --> 00:02:19.000]  以前很渴望那種過目能夠記得的那種恩賜。
[00:02:19.000 --> 00:02:24.000]  以前很渴望那種過目能夠記得的那種恩賜。
[00:02:24.000 --> 00:02:28.000]  如今我就是有過目即忘的恩賜。
[00:02:28.000 --> 00:02:28.000]  如今我就是有過目即忘的恩賜。
[00:02:28.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:02:31.000]  現在有過目就忘記的恩賜。
[00:02:31.000 --> 00:03:00.000]  現在有過目就忘記的恩賜。
[00:03:00.000 --> 00:03:00.000]  現在有過目就忘記的恩賜。
