
[00:00:00.000 --> 00:00:02.000]  丁姊妹,我想先考考你
[00:00:02.000 --> 00:00:05.000]  看看你聽到這段音樂的時候
[00:00:05.000 --> 00:00:09.000]  你知不知道這首是甚麼歌
[00:00:09.000 --> 00:00:19.000]  有沒有人知道這首是甚麼歌?
[00:00:19.000 --> 00:00:24.000]  那你點頭是甚麼歌?
[00:00:28.000 --> 00:00:31.000]  那你講個名出來聽聽
[00:00:31.000 --> 00:00:36.000]  對了,不過沒有獎項
[00:00:36.000 --> 00:00:41.000]  我剛才已經看到很多人忍不住在這裡唱了
[00:00:41.000 --> 00:00:44.000]  有幾個是你唱過這首歌?
[00:00:44.000 --> 00:00:47.000]  這麼少?不會吧?
[00:00:47.000 --> 00:00:50.000]  不敢舉手,怕暴露了自己的年齡,對吧?
[00:00:50.000 --> 00:00:57.000]  要麼你的年代更遠,要麼太新
[00:00:57.000 --> 00:01:00.000]  那可能是我們的中間派
[00:01:00.000 --> 00:01:03.000]  這首歌應該是我們的年代
[00:01:03.000 --> 00:01:05.000]  在卡拉OK很流行的
[00:01:05.000 --> 00:01:07.000]  不過裡面它說的
[00:01:07.000 --> 00:01:09.000]  這首歌叫《現代愛情故事》
[00:01:09.000 --> 00:01:12.000]  它也揭露了現代愛情故事裡面
[00:01:12.000 --> 00:01:15.000]  他們的愛情觀是怎樣
[00:01:15.000 --> 00:01:19.000]  現代說永遠已經很傻
[00:01:19.000 --> 00:01:21.000]  總之就不用說永遠的
[00:01:21.000 --> 00:01:24.000]  一刻的歡愉都已經夠了
[00:01:24.000 --> 00:01:27.000]  沒有感覺就再見,就是這樣
[00:01:27.000 --> 00:01:30.000]  這就是現代的愛情觀
[00:01:30.000 --> 00:01:34.000]  但今天我要帶大家去看另一個愛情故事
[00:01:34.000 --> 00:01:38.000]  我想這個愛情故事應該動人得多
[00:01:38.000 --> 00:01:43.000]  但你講到這個故事為甚麼動人呢?
[00:01:43.000 --> 00:01:46.000]  其實存在於三個很特別的人
[00:01:46.000 --> 00:01:49.000]  這三個人他們都各自做出了一些
[00:01:49.000 --> 00:01:51.000]  令人很動容的事情
[00:01:51.000 --> 00:01:54.000]  在我們去看這三個人物之先
[00:01:54.000 --> 00:01:57.000]  我也想和大家先去了解一下
[00:01:57.000 --> 00:02:01.000]  當時的猶太人的社會生活文化
[00:02:01.000 --> 00:02:04.000]  有三項想帶大家看看
[00:02:04.000 --> 00:02:07.000]  第一個就是在當時裡面
[00:02:07.000 --> 00:02:10.000]  有一個所謂的叫做叔嫂的婚姻
[00:02:10.000 --> 00:02:12.000]  liberate marriage
[00:02:12.000 --> 00:02:16.000]  這個在《新命記》的二十五章裡面
[00:02:16.000 --> 00:02:17.000]  他這樣記載
[00:02:17.000 --> 00:02:19.000]  他說弟兄同居
[00:02:19.000 --> 00:02:21.000]  如果死了一個沒有兒子
[00:02:21.000 --> 00:02:24.000]  死人的妻不可出嫁外人
[00:02:24.000 --> 00:02:28.000]  他丈夫的兄弟要盡弟兄的本分
[00:02:28.000 --> 00:02:30.000]  娶他為妻與他同房
[00:02:30.000 --> 00:02:33.000]  所生的長子要歸亡兄的名下
[00:02:33.000 --> 00:02:37.000]  免得他的名字從以色列中被塗抹
[00:02:37.000 --> 00:02:40.000]  這個是古代中東和中亞
[00:02:40.000 --> 00:02:42.000]  很多民族的一個習俗
[00:02:42.000 --> 00:02:46.000]  如果哥哥死了,沒有兒子
[00:02:46.000 --> 00:02:50.000]  他的弟弟就要娶嫂為妻子
[00:02:50.000 --> 00:02:54.000]  當他生了兒子的時候
[00:02:54.000 --> 00:02:58.000]  這個兒子就要歸在哥哥的名下
[00:02:58.000 --> 00:03:02.000]  使哥哥的產業有兒子可以繼承
[00:03:02.000 --> 00:03:05.000]  這個律法背後的信念
[00:03:05.000 --> 00:03:06.000]  其實一方面
[00:03:06.000 --> 00:03:08.000]  它是要保護那些寡婦
[00:03:08.000 --> 00:03:12.000]  保護他們免得丈夫死了之後
[00:03:12.000 --> 00:03:16.000]  他就被夫家那些不知道怎樣拋棄
[00:03:16.000 --> 00:03:18.000]  或者不理他
[00:03:18.000 --> 00:03:20.000]  其實都是保護寡婦
[00:03:20.000 --> 00:03:22.000]  二來很重要的就是
[00:03:22.000 --> 00:03:26.000]  使神的選民不致因為沒有後裔
[00:03:26.000 --> 00:03:30.000]  去繼承產業而被除名
[00:03:30.000 --> 00:03:32.000]  因為神的選民十二支派
[00:03:32.000 --> 00:03:35.000]  每個支派其實都有他的分地
[00:03:35.000 --> 00:03:39.000]  他的地很清楚,不會逾越
[00:03:39.000 --> 00:03:43.000]  如果他沒有了這些後裔去繼承的話
[00:03:43.000 --> 00:03:45.000]  他可能就會被除名
[00:03:45.000 --> 00:03:48.000]  所以這個其實是神去紀念
