
[00:00:00.000 --> 00:00:06.880]  今日五隻手指數完禮堂的人
[00:00:06.880 --> 00:00:11.200]  嘩!我都發覺好難講
[00:00:11.200 --> 00:00:13.600]  沒有人在前面,沒有對象
[00:00:13.600 --> 00:00:18.480]  但在我腦海裏,其實我經常有一幅圖畫
[00:00:18.480 --> 00:00:22.720]  分了三行,坐滿了人
[00:00:22.720 --> 00:00:26.880]  在右手邊,前面多數是Daisy和Kelvin
[00:00:26.880 --> 00:00:31.360]  中間有百玲一家,Forest和Jamie
[00:00:31.360 --> 00:00:40.000]  在中間的前面,我經常會見到敏儀、薰衣、嬌蓮、姜、志偉、淑玲
[00:00:40.000 --> 00:00:44.640]  好像這個位置比較暖,所以他們會多些人坐在這邊
[00:00:44.640 --> 00:00:50.960]  而在最左手邊,有時我會見到Ivan Ho和Wilson Pang
[00:00:50.960 --> 00:00:56.160]  因為他們很多時拍攝我一起領詩,所以他們會坐在第一行
[00:00:56.160 --> 00:01:03.360]  後面有方方、小田、阿詩一班姐妹
[00:01:03.360 --> 00:01:08.320]  我知道有幾個一定要坐在路口,例如Charles
[00:01:08.320 --> 00:01:12.960]  因為他腳長,所以坐在路口會舒服一點
[00:01:12.960 --> 00:01:15.360]  美玲也喜歡坐在路口
[00:01:15.360 --> 00:01:19.520]  還有一個怎樣也能找到桌子的Tomato
[00:01:19.520 --> 00:01:27.680]  他很用心地在聖經裡圈出他的字
[00:01:27.680 --> 00:01:31.920]  後面拍攝音樂會有一班L2的弟兄
[00:01:31.920 --> 00:01:36.400]  甚至有Wilson Wong、Thomas一班
[00:01:36.400 --> 00:01:41.040]  而近雪櫃那邊會有Anna和Ada
[00:01:41.040 --> 00:01:43.920]  很多時我都會見到一個這樣的圖畫
[00:01:43.920 --> 00:01:47.280]  好像這些位置沒有太大變化
[00:01:47.280 --> 00:01:53.360]  但如果我要繼續數下去,我數完就不用說這個名單
[00:01:53.360 --> 00:01:59.280]  但這些圖畫,我常常在等候再有出現的一天
[00:01:59.280 --> 00:02:04.480]  我相信我們的處所、我們的教會
[00:02:04.480 --> 00:02:08.800]  都未受到迫迫,已經可以被關閉
[00:02:08.800 --> 00:02:14.640]  但是我們聽到的心,我們向子的心不會被關閉
[00:02:14.640 --> 00:02:17.760]  我們一起來祈禱
[00:02:17.760 --> 00:02:21.280]  天上的爸爸,我們向你來禱告
[00:02:21.280 --> 00:02:26.480]  主現在我們真的處於一個非常時期
[00:02:26.480 --> 00:02:31.040]  在香港真的未遇過一個這麼長的疫情
[00:02:31.040 --> 00:02:32.960]  一個這麼長的疫症
[00:02:32.960 --> 00:02:34.480]  還有來到第五波的時候
[00:02:34.480 --> 00:02:41.760]  我們都未遇過一個會令我們痛失這麼多身邊的老人家
[00:02:41.760 --> 00:02:44.400]  和兒童的時間
[00:02:44.400 --> 00:02:46.640]  主求你兼顧我們的心
[00:02:46.640 --> 00:02:49.840]  讓我們仍然躺開
[00:02:49.840 --> 00:02:53.280]  不會好像處所那樣被關閉
[00:02:53.280 --> 00:02:55.200]  反而我們是向著你
[00:02:55.200 --> 00:02:57.840]  我們有一個開放的心靈
[00:02:57.840 --> 00:03:01.120]  我們對你的說話不會被關閉
[00:03:01.120 --> 00:03:03.920]  我們去仰望你的心不會被關閉
[00:03:03.920 --> 00:03:06.480]  我們的盼望也不會被關閉
[00:03:06.480 --> 00:03:07.680]  求主幫助我們
[00:03:07.680 --> 00:03:10.400]  當我們發覺我們沒有能力的時候
[00:03:10.400 --> 00:03:12.720]  當我們發覺我們有軟弱的時候
[00:03:12.720 --> 00:03:15.040]  我們定睛來仰望你
[00:03:15.040 --> 00:03:16.800]  因為你是我們的救主
[00:03:16.800 --> 00:03:17.920]  我們這樣禱告
[00:03:17.920 --> 00:03:19.760]  是奉主耶穌基督的名頭
[00:03:19.760 --> 00:03:21.120]  Amen
[00:03:21.120 --> 00:03:26.400]  今天我繼續說這個《尼希米記》
[00:03:26.400 --> 00:03:33.360]  五章的十四到十九節
[00:03:33.360 --> 00:03:38.480]  你看到我用這個講題
[00:03:38.480 --> 00:03:40.560]  我的引言
[00:03:40.560 --> 00:03:49.360]  就是屬靈群體的致命危機的曙光
[00:03:49.360 --> 00:03:52.240]  屬靈群體的致命危機
[00:03:52.240 --> 00:03:55.760]  這幾個字很熟悉
[00:03:55.760 --> 00:03:58.000]  如果你上個星期有聽到
[00:03:58.000 --> 00:04:01.120]  其實這個就是上個星期的講題
[00:04:01.120 --> 00:04:03.360]  牧師說了上集
[00:04:03.360 --> 00:04:05.840]  我就說今天的下集
