
[00:00:00.000 --> 00:00:02.000]  向德勒祈禱
[00:00:02.000 --> 00:00:06.800]  張天賦,我們多謝你,讚美你
[00:00:06.800 --> 00:00:18.080]  你帶領我們經過了一個禮拜,今天平安,回到你自己家,一起敬拜、侍奉你
[00:00:18.080 --> 00:00:24.960]  這個完全都是你愛的吸引
[00:00:27.360 --> 00:00:31.520]  讓我們今天能夠帶著一個感恩快樂的心
[00:00:31.520 --> 00:00:38.480]  帶著喜樂平安的心
[00:00:38.480 --> 00:00:43.200]  帶著敬錢清潔的心
[00:00:43.200 --> 00:00:48.960]  以誠以靈來敬拜、讚美我們的神
[00:00:48.960 --> 00:00:56.560]  我們今天將這個時間交給主
[00:00:56.800 --> 00:01:00.880]  求祢與我們同在
[00:01:00.880 --> 00:01:03.920]  要講的、聽的、翻譯的能夠同感一靈
[00:01:03.920 --> 00:01:08.720]  願你得著當德的榮耀
[00:01:08.720 --> 00:01:14.960]  我們特別將陳牧師交到你的手裡
[00:01:14.960 --> 00:01:21.520]  求主讓他有領導、牧養的恩賜
[00:01:21.600 --> 00:01:26.640]  求祢讓他有各樣領導的恩賜
[00:01:26.640 --> 00:01:31.520]  將他的靈力與體力
[00:01:31.520 --> 00:01:35.040]  智力與魄力
[00:01:35.040 --> 00:01:38.160]  使教會能夠向前
[00:01:38.160 --> 00:01:41.040]  能夠合一、相愛
[00:01:41.040 --> 00:01:47.680]  能夠同心合一在你自己的地方
[00:01:51.120 --> 00:01:53.120]  讓得教的人數天天增加
[00:01:53.120 --> 00:01:57.760]  讓信徒更加用心愛主
[00:01:57.760 --> 00:02:00.400]  我們感謝主
[00:02:00.400 --> 00:02:03.600]  今年的夏令會差不多有三百人參加
[00:02:03.600 --> 00:02:09.360]  求主保守他們能夠平安回來
[00:02:09.360 --> 00:02:13.760]  藉著這一次的夏令會
[00:02:13.760 --> 00:02:20.240]  使各位弟兄姊妹都能夠身心靈得到益處
[00:02:20.480 --> 00:02:23.520]  讓各位弟兄姊妹的身心靈都能夠得到益處
[00:02:23.520 --> 00:02:29.280]  靈命能夠得到更新與復興
[00:02:29.280 --> 00:02:33.520]  當他們回到教會的時候,使他們能夠更加愛主
[00:02:33.520 --> 00:02:40.960]  我們又將主日學的所有事工交託給主
[00:02:40.960 --> 00:02:47.200]  求主帶領從嬰孩到成人的主日學
[00:02:47.440 --> 00:02:49.440]  求主帶領從嬰孩到成人的主日學
[00:02:49.440 --> 00:02:52.960]  使給老師有數天的智慧
[00:02:52.960 --> 00:02:57.600]  能夠教導聖經的真理
[00:02:57.600 --> 00:03:01.520]  不但增加我們聖經的知識
[00:03:01.520 --> 00:03:07.280]  能夠靠著主能夠實行出來
[00:03:07.280 --> 00:03:12.640]  我們把教會各個團契都交託給主
[00:03:16.560 --> 00:03:18.560]  我們不單止在團契裡面彼此認識
[00:03:18.560 --> 00:03:23.360]  更加學習侍奉
[00:03:23.360 --> 00:03:26.800]  使我們的靈命能夠得到長進
[00:03:26.800 --> 00:03:31.040]  幫助我們在團契裡面彼此服侍彼此相愛
[00:03:31.040 --> 00:03:37.680]  我們教會有文字的工作
[00:03:37.680 --> 00:03:41.600]  有拆傳的工作
[00:03:41.600 --> 00:03:44.560]  也有短訊的工作
[00:03:45.200 --> 00:03:47.200]  求主您一一帶領和看顧
[00:03:47.200 --> 00:03:51.200]  讓所有所做的事都能合乎您的心意
[00:03:51.200 --> 00:03:57.600]  我們也將小組、師班、師事等等都交託給主
[00:03:57.600 --> 00:04:08.000]  讓每個人都有機會來侍奉主
[00:04:12.720 --> 00:04:16.720]  有些弟兄姊妹有疾病的,求您親自來醫治他們
[00:04:16.720 --> 00:04:22.560]  您醫治的能力臨到他們身上
[00:04:22.560 --> 00:04:27.120]  讓他們能夠靠著主早日康復
[00:04:27.120 --> 00:04:33.120]  有些心靈軟弱的,求主您剛強他們
[00:04:33.120 --> 00:04:39.360]  叫他們不灰心
[00:04:40.080 --> 00:04:42.080]  能夠靠著主勝過一切
[00:04:42.080 --> 00:04:46.640]  我們把今天的崇拜一切都交託給主
[00:04:46.640 --> 00:04:52.480]  求主您與我們同在
[00:04:52.480 --> 00:04:55.840]  現在我們要查考您的話語
[00:04:55.840 --> 00:04:58.800]  求您開我們的耳朵
