
[00:00:00.000 --> 00:00:03.000]  神祈禱告
[00:00:03.000 --> 00:00:05.000]  各位弟兄姊妹平安
[00:00:05.000 --> 00:00:07.000]  神要向你講說話
[00:00:07.000 --> 00:00:12.000]  過去我每一早上都很喜歡去敬拜神
[00:00:12.000 --> 00:00:17.000]  我覺得敬拜是生命當中很重要的一件事
[00:00:17.000 --> 00:00:19.000]  但慢慢慢慢我感覺到
[00:00:19.000 --> 00:00:22.000]  聽師哥敬拜的師哥
[00:00:22.000 --> 00:00:26.000]  心靈裏面很感動很親近神
[00:00:26.000 --> 00:00:28.000]  但不能夠取代
[00:00:28.000 --> 00:00:30.000]  我自己去禱告
[00:00:30.000 --> 00:00:32.000]  去與神相交
[00:00:32.000 --> 00:00:34.000]  我要更多得著神
[00:00:34.000 --> 00:00:38.000]  當保羅去到哥倫多這個城市的時候
[00:00:38.000 --> 00:00:41.000]  他怎樣和這間教會的弟兄姊妹說呢
[00:00:41.000 --> 00:00:43.000]  他說我在你們當中
[00:00:43.000 --> 00:00:46.000]  我不知道別的事
[00:00:46.000 --> 00:00:49.000]  我只知道一件事
[00:00:49.000 --> 00:00:51.000]  就是我在你們當中
[00:00:51.000 --> 00:00:53.000]  只講耶穌基督
[00:00:53.000 --> 00:00:56.000]  和祂的十字架
[00:00:56.000 --> 00:00:58.000]  我們看到保羅的生命
[00:00:58.000 --> 00:01:00.000]  很有焦點
[00:01:00.000 --> 00:01:02.000]  他沒有白跑
[00:01:02.000 --> 00:01:05.000]  他只重視一件事
[00:01:05.000 --> 00:01:08.000]  我不知道今天你對十字架
[00:01:08.000 --> 00:01:10.000]  你的感受是怎樣呢
[00:01:10.000 --> 00:01:12.000]  原來我們每個基督徒
[00:01:12.000 --> 00:01:16.000]  都很需要眺望我們愛神的心
[00:01:16.000 --> 00:01:18.000]  我時時在想
[00:01:18.000 --> 00:01:21.000]  當你這麼多想起十字架
[00:01:21.000 --> 00:01:24.000]  當你這麼多去經歷十字架
[00:01:24.000 --> 00:01:29.000]  你就會燃點一股愛神的心
[00:01:29.000 --> 00:01:32.000]  所以我想提出有三件事
