
[00:00:00.000 --> 00:00:03.000]  上個禮拜天在第三堂崇拜的時候
[00:00:03.000 --> 00:00:04.000]  Lorne Cunningham
[00:00:04.000 --> 00:00:07.000]  他特別用約蘇亞記十四章第十二節
[00:00:07.000 --> 00:00:09.000]  剛才所讀這段聖經
[00:00:09.000 --> 00:00:14.000]  來針對我們教會講到神對我們教會的心意
[00:00:14.000 --> 00:00:17.000]  是講到我們教會的未來
[00:00:17.000 --> 00:00:19.000]  而剛好這節聖經
[00:00:19.000 --> 00:00:23.000]  也是在特會之前的牧者領導會當中
[00:00:23.000 --> 00:00:28.000]  我用這段聖經來勸勉我們中間每一位靈良牧者
[00:00:28.000 --> 00:00:31.000]  特別是關於講到我們將來
[00:00:31.000 --> 00:00:34.000]  殖堂擴展的策略
[00:00:34.000 --> 00:00:36.000]  所以當上個主日
[00:00:36.000 --> 00:00:39.000]  我聽見Lorne Cunningham用這段經文的時候
[00:00:39.000 --> 00:00:41.000]  我就知道這節聖經
[00:00:41.000 --> 00:00:45.000]  是神所擺在我們面前的一個應許
[00:00:45.000 --> 00:00:47.000]  也是挑戰
[00:00:47.000 --> 00:00:50.000]  你們為什麼說這既是應許
[00:00:50.000 --> 00:00:53.000]  也是挑戰
[00:00:53.000 --> 00:00:56.000]  因為如果我們看這段聖經的背景
[00:00:56.000 --> 00:00:59.000]  其實在約蘇亞記十四章的時候
[00:00:59.000 --> 00:01:04.000]  這個時候並不是以色列人剛剛進迦南地的時候
[00:01:04.000 --> 00:01:05.000]  不是
[00:01:05.000 --> 00:01:11.000]  事實上這是以色列人已經進入迦南地五年之後的事情
[00:01:11.000 --> 00:01:16.000]  你要記得當迦勒第一次做探子
[00:01:16.000 --> 00:01:19.000]  進入迦南地去窺探那地的時候
[00:01:19.000 --> 00:01:22.000]  其實那個時候他才四十歲不是嗎
[00:01:22.000 --> 00:01:25.000]  後來當然以色列人沒有聽從神的話
[00:01:25.000 --> 00:01:27.000]  不肯進迦南地
[00:01:27.000 --> 00:01:31.000]  後來就在曠野漂流了四十年之久
[00:01:31.000 --> 00:01:35.000]  後來約蘇亞再次把以色列人帶進迦南地的時候
[00:01:35.000 --> 00:01:39.000]  那個時候我們看見迦勒已經八十歲
[00:01:39.000 --> 00:01:42.000]  而在約蘇亞記十四章第十節裡面
[00:01:42.000 --> 00:01:45.000]  他說我現今八十五歲
[00:01:45.000 --> 00:01:49.000]  可見得在約蘇亞記第十四章的時候
[00:01:49.000 --> 00:01:54.000]  已經是以色列人進入迦南地五年之後的事情
[00:01:54.000 --> 00:01:59.000]  在這五年的期間我們看見以色列人在生活上是有高山也有低谷
[00:01:59.000 --> 00:02:02.000]  在戰爭上也不是一直都贏的
[00:02:02.000 --> 00:02:04.000]  有輸也有贏
[00:02:04.000 --> 00:02:09.000]  我請問你以色列人在迦南地第一場戰爭在哪裡打的
[00:02:09.000 --> 00:02:12.000]  第一場戰爭在哪裡打
[00:02:12.000 --> 00:02:15.000]  最出名的耶利哥
[00:02:15.000 --> 00:02:17.000]  我請問你打贏還打輸
[00:02:17.000 --> 00:02:19.000]  打贏了
[00:02:19.000 --> 00:02:22.000]  神要他們繞城而走
[00:02:22.000 --> 00:02:25.000]  一天一圈第七天第七圈
[00:02:25.000 --> 00:02:28.000]  然後我們一呼喊城牆就倒下了
[00:02:28.000 --> 00:02:31.000]  他們得了個大勝仗
[00:02:31.000 --> 00:02:33.000]  第二場戰爭在哪裡打
[00:02:33.000 --> 00:02:35.000]  艾城請問贏還輸
[00:02:35.000 --> 00:02:37.000]  輸了
[00:02:37.000 --> 00:02:38.000]  結果呢
