
[00:00:00.000 --> 00:00:02.000]  大姐姐妹,復活節快樂
[00:00:02.000 --> 00:00:04.000]  (大姐姐妹,復活節快樂)
[00:00:04.000 --> 00:00:06.000]  讓我們一起同心討告
[00:00:06.000 --> 00:00:08.000]  預備我們心去聆聽主的說話
[00:00:08.000 --> 00:00:10.000]  (讓我們一起同心禱告)
[00:00:10.000 --> 00:00:12.000]  (預備我們自己的心)
[00:00:12.000 --> 00:00:14.000]  慈悲的父神多謝你
[00:00:14.000 --> 00:00:16.000]  讓我們能夠再次回來
[00:00:16.000 --> 00:00:18.000]  在神祢的家裡
[00:00:18.000 --> 00:00:20.000]  這麼特別的日子
[00:00:20.000 --> 00:00:22.000]  在復活節的節期再次思想主祢的說話
[00:00:22.000 --> 00:00:24.000]  我們再次獻上感謝
[00:00:24.000 --> 00:00:26.000]  求祢讓我們認識祢
[00:00:26.000 --> 00:00:28.000]  體貼祢的心
[00:00:28.000 --> 00:00:30.000]  讓我們知道神的一位上主
[00:00:30.000 --> 00:00:32.000]  如何愛護我們
[00:00:32.000 --> 00:00:34.000]  讓我們以對應的心態
[00:00:34.000 --> 00:00:36.000]  生命
[00:00:36.000 --> 00:00:38.000]  在主流裡活著
[00:00:38.000 --> 00:00:40.000]  萬聖的主感謝祢
[00:00:40.000 --> 00:00:42.000]  讓我們能夠在這麼特別的日子
[00:00:42.000 --> 00:00:44.000]  在復活節的時間
[00:00:44.000 --> 00:00:46.000]  讓我們再次思想到
[00:00:46.000 --> 00:00:48.000]  祢對我們的大愛
[00:00:48.000 --> 00:00:50.000]  祢怎樣把我們再次
[00:00:50.000 --> 00:00:52.000]  透過祢的獨生兒子
[00:00:52.000 --> 00:00:54.000]  耶穌基督
[00:00:54.000 --> 00:00:56.000]  讓我們練習起來
[00:00:56.000 --> 00:00:58.000]  再次獻上感謝
[00:00:58.000 --> 00:01:00.000]  讓我們學習到
[00:01:00.000 --> 00:01:02.000]  祢對我們的大愛是怎樣
[00:01:02.000 --> 00:01:04.000]  要讓我們怎樣對應的
[00:01:04.000 --> 00:01:06.000]  用同樣的心態
[00:01:06.000 --> 00:01:08.000]  來到活在祢的當中
[00:01:08.000 --> 00:01:10.000]  我們禱告空主耶穌的名聲
[00:01:10.000 --> 00:01:12.000]  Amen
[00:01:12.000 --> 00:01:14.000]  教會裡面呢
[00:01:14.000 --> 00:01:16.000]  經常會出現一個
[00:01:16.000 --> 00:01:18.000]  月座戴袍的情況
[00:01:18.000 --> 00:01:20.000]  教會裡面經常會出現
[00:01:20.000 --> 00:01:22.000]  有一個叫做月座戴袍的狀況
[00:01:22.000 --> 00:01:24.000]  什麼是月座戴袍呢
[00:01:24.000 --> 00:01:26.000]  什麼是月座戴袍呢
[00:01:26.000 --> 00:01:28.000]  那些東西原本不是你做的
[00:01:28.000 --> 00:01:30.000]  原本不是你做的
[00:01:30.000 --> 00:01:32.000]  不過你就去做了它
[00:01:32.000 --> 00:01:34.000]  不過你就去做了它
[00:01:34.000 --> 00:01:36.000]  譬如什麼呢
[00:01:36.000 --> 00:01:38.000]  像什麼呢
[00:01:38.000 --> 00:01:40.000]  譬如在教會裡面我們經常會聽到這樣說
[00:01:40.000 --> 00:01:42.000]  在教會裡經常聽到這樣講
[00:01:42.000 --> 00:01:44.000]  我們快點去傳福音了
[00:01:44.000 --> 00:01:46.000]  我們快點去傳福音
[00:01:46.000 --> 00:01:48.000]  因此我們可以去救多些人
[00:01:48.000 --> 00:01:50.000]  因此就可以救更多的人
[00:01:50.000 --> 00:01:52.000]  又或者我曾經在一次的聚會裡面
[00:01:52.000 --> 00:01:54.000]  有一位傳道人原本是醫生
