
[00:00:00.000 --> 00:00:03.400]  好感謝神能夠在今天這個算是一個特別的日子
[00:00:03.400 --> 00:00:05.600]  和大家分享神的話語
[00:00:05.600 --> 00:00:11.940]  首先我想問大家一個問題
[00:00:11.940 --> 00:00:16.560]  請問在座之中
[00:00:16.560 --> 00:00:21.000]  有哪一個是在十七年前
[00:00:21.000 --> 00:00:25.040]  我來見公,所謂見公來講道的時候
[00:00:25.040 --> 00:00:28.240]  你有份坐在那裏聽的,請你舉手
[00:00:29.600 --> 00:00:33.600]  我估計差不多三分之一
[00:00:33.600 --> 00:00:34.800]  起碼有
[00:00:34.800 --> 00:00:43.100]  第二個問題就是
[00:00:43.100 --> 00:00:46.300]  你還記不記得我當時講什麼訊息
[00:00:46.300 --> 00:00:50.100]  有一個舉手,兩個
[00:00:50.100 --> 00:00:55.400]  其實我估計起碼有三幾個
[00:00:58.000 --> 00:01:00.600]  很難得,應該通常三十分鐘後
[00:01:00.600 --> 00:01:02.000]  出了去已經不記得
[00:01:02.000 --> 00:01:06.000]  竟然十七年都記得我講什麼,這麼厲害
[00:01:06.000 --> 00:01:08.600]  當然了
[00:01:08.600 --> 00:01:11.300]  當我這樣問的時候
[00:01:11.300 --> 00:01:13.000]  我相信其他人
[00:01:13.000 --> 00:01:14.900]  你就算不記得也好
[00:01:14.900 --> 00:01:17.600]  你可以猜到我究竟想講什麼
[00:01:17.600 --> 00:01:24.000]  我今天是和大家講同一章的聖經
[00:01:28.000 --> 00:01:30.600]  不過十七年前我來見公的時候
[00:01:30.600 --> 00:01:33.000]  我只是講了前面那七節
[00:01:33.000 --> 00:01:37.800]  現在十七年後
[00:01:37.800 --> 00:01:40.600]  持公的今天
[00:01:40.600 --> 00:01:44.400]  我再講一至七節
[00:01:44.400 --> 00:01:47.800]  不過再加上後面十四至二十二節
[00:01:47.800 --> 00:01:51.000]  我將會分成三部分來講
[00:01:51.000 --> 00:01:53.600]  前面一至七節雖然講過
[00:01:53.600 --> 00:01:55.400]  那個經文
[00:01:55.400 --> 00:01:58.000]  但是訊息的內容
[00:01:58.000 --> 00:02:00.000]  和十七年前的已經不同
[00:02:00.000 --> 00:02:06.000]  因為自己的體驗、經歷都不同了
[00:02:06.000 --> 00:02:10.200]  所以不會重複不用怕
[00:02:10.200 --> 00:02:13.000]  也很感謝神
[00:02:13.000 --> 00:02:16.000]  讓聖靈能夠給我有新的亮光
[00:02:16.000 --> 00:02:21.000]  今天我是期待
[00:02:21.000 --> 00:02:23.800]  能夠用這一章的聖經
[00:02:23.800 --> 00:02:29.400]  和大家分享來彼此勉勵
[00:02:29.400 --> 00:02:31.200]  就是
[00:02:31.200 --> 00:02:35.600]  信心的路是不容易走的
[00:02:35.600 --> 00:02:37.800]  我們需要在神裡面
[00:02:37.800 --> 00:02:43.200]  有一個高遠的目標或者理想
[00:02:43.200 --> 00:02:47.200]  還要是期待
[00:02:47.200 --> 00:02:51.600]  在神裡面做一個貴重的器皿
[00:02:51.600 --> 00:02:55.600]  在神裡面要做一個貴重的器皿
[00:02:55.600 --> 00:02:58.200]  這個是我們必須先要訂立的一個
[00:02:58.200 --> 00:03:00.400]  在神裡面的理想
[00:03:00.400 --> 00:03:03.000]  或者是爭取的目標
[00:03:03.000 --> 00:03:06.000]  這樣我們的信心
[00:03:06.000 --> 00:03:09.800]  才能夠越走越剛強有力
