
[00:00:00.000 --> 00:00:01.640]  各位鼎姐妹,早安!
[00:00:01.640 --> 00:00:06.760]  中國人很著重「福氣」這兩個字
[00:00:06.760 --> 00:00:10.240]  尤其是當我們在新年的時候
[00:00:10.240 --> 00:00:12.240]  我們會貼「輝春」
[00:00:12.240 --> 00:00:14.240]  其中一個字就是「福」字
[00:00:14.240 --> 00:00:18.080]  我們不但貼,我們還會倒轉來貼
[00:00:18.080 --> 00:00:22.680]  證明我們真的很想能夠得著這份福氣
[00:00:22.680 --> 00:00:26.720]  我不知道你會怎樣去定義「何謂有福」
[00:00:26.920 --> 00:00:32.360]  世界的價值將「有福」的定義在外在的事物裡面
[00:00:32.360 --> 00:00:35.160]  說我有很多的錢,即是「有福」
[00:00:35.160 --> 00:00:40.000]  說我能夠住一間很漂亮很大的屋子裡面,即是「有福」
[00:00:40.000 --> 00:00:44.040]  說我找到一個很愛我的伴侶,即是「有福」
[00:00:44.040 --> 00:00:49.000]  有一份很穩定高薪的口織,亦都是「有福」
[00:00:49.000 --> 00:00:52.560]  我會形容這些所謂的「福」
[00:00:52.560 --> 00:00:55.760]  是一些外在的、短暫的
[00:00:55.760 --> 00:00:59.040]  是要借助外力,而且是不穩定
[00:00:59.040 --> 00:01:01.760]  隨時是可以被奪取的
[00:01:01.760 --> 00:01:04.240]  難道這些真的叫做「福」?
[00:01:04.240 --> 00:01:07.320]  聖經在八福裡面所說的「福」
[00:01:07.320 --> 00:01:11.560]  就是那份從神而來的喜樂
[00:01:11.560 --> 00:01:15.360]  這份的「福」不是向外追求回來的
[00:01:15.360 --> 00:01:17.760]  或者說一個人擁有些什麼
[00:01:17.760 --> 00:01:21.680]  或者外在的環境有什麼改變、有什麼關係
[00:01:21.680 --> 00:01:25.120]  這份的「福」是從神而來
[00:01:25.120 --> 00:01:27.720]  是從我們生命的品格而來
[00:01:27.720 --> 00:01:30.000]  是因著我們認識神
[00:01:30.000 --> 00:01:32.560]  我們個人生命的改變
[00:01:32.560 --> 00:01:36.080]  以致我們蒙受這個「福」
[00:01:36.080 --> 00:01:40.560]  過去兩個星期,我們兩位的講員
[00:01:40.560 --> 00:01:42.440]  黎頌淵傳道和陳牧師
[00:01:42.440 --> 00:01:45.360]  來到帶領我們看六個的「福」
[00:01:45.360 --> 00:01:48.400]  如果我們來到有一個簡單的描述
[00:01:48.400 --> 00:01:50.480]  八福的前四福
[00:01:50.480 --> 00:01:55.680]  是講述基督徒和神如何去建立那個關係
[00:01:55.680 --> 00:01:57.440]  而後面的四福
[00:01:57.440 --> 00:02:00.280]  就是講述我們與人之間的關係
[00:02:00.280 --> 00:02:03.000]  和人應該要盡的義務
[00:02:03.000 --> 00:02:04.440]  今天來到最後一講
[00:02:04.440 --> 00:02:06.760]  我們會講最後兩個的「福」
[00:02:06.760 --> 00:02:10.000]  我給的名字是「和睦的福」
[00:02:10.000 --> 00:02:13.320]  我相信我們都不會否定一件事
[00:02:13.320 --> 00:02:17.360]  我們今天就是活在一個不和睦的世界裡面
[00:02:17.360 --> 00:02:20.320]  每天當我們打開電視去看新聞
[00:02:20.320 --> 00:02:22.560]  或者打開報章去看新聞的時候
[00:02:22.560 --> 00:02:25.160]  我們就會發現很多衝突的報導
[00:02:25.160 --> 00:02:27.200]  無論是國家與國家之間
[00:02:27.200 --> 00:02:28.760]  或者民族與民族之間
[00:02:28.760 --> 00:02:31.120]  或者是社會階級的裡面
[00:02:31.120 --> 00:02:34.000]  甚至乎在我們的家裡面
[00:02:34.000 --> 00:02:36.160]  在我們的職場裡面
[00:02:36.160 --> 00:02:40.040]  也有可能在我們的教會裡面
[00:02:40.040 --> 00:02:42.400]  究竟我們怎樣能夠和睦共處
[00:02:42.400 --> 00:02:44.360]  確是我們作為主的門徒
[00:02:44.360 --> 00:02:48.720]  今天很迫切要接受面對這個挑戰
[00:02:48.720 --> 00:02:50.920]  願以神的話語教導我們
[00:02:50.920 --> 00:02:54.000]  去成為一個使人和睦的人
[00:02:54.000 --> 00:02:56.360]  讓我們一起翻開聖經
[00:02:56.360 --> 00:03:02.720]  《馬太福音》第五章第九節
[00:03:02.720 --> 00:03:11.840]  在新約的聖經第五頁
[00:03:11.840 --> 00:03:13.600]  《馬太福音》第五章第九節
[00:03:13.600 --> 00:03:15.080]  找到的時候我們一起讀出
[00:03:15.080 --> 00:03:19.040]  「使人和睦的人有福了
[00:03:19.040 --> 00:03:22.760]  因為他們必稱為神的兒子」
[00:03:22.760 --> 00:03:26.040]  「和睦」這個字在原文
[00:03:26.040 --> 00:03:31.320]  中文的翻譯通常會有以下的翻譯
[00:03:31.320 --> 00:03:36.280]  包括是「和睦」、「和平」或者是「平安」
