
[00:00:00.000 --> 00:00:01.960]  其實上個星期的內容主要是
[00:00:01.960 --> 00:00:04.480]  挑戰大家有一個畏懼殉道的心
[00:00:04.480 --> 00:00:09.280]  雖然呼籲的時候有很多人受感動出來回應
[00:00:09.280 --> 00:00:11.360]  不過其實在上個星期
[00:00:11.360 --> 00:00:14.200]  我講完之後我肯定心裏面
[00:00:14.200 --> 00:00:16.440]  我會覺得不滿意
[00:00:16.440 --> 00:00:21.200]  因為覺得好像講不到我心裏面想講的東西
[00:00:21.200 --> 00:00:22.200]  好像都講不到
[00:00:22.200 --> 00:00:26.320]  所以我相信那些家庭主婦一定會很明白這個心
[00:00:26.320 --> 00:00:28.400]  很多時候你試身材的時候
[00:00:28.400 --> 00:00:31.800]  煮完之後放上桌子吃的時候
[00:00:31.800 --> 00:00:34.480]  吃完之後你覺得不滿意
[00:00:34.480 --> 00:00:36.400]  覺得都不是這樣的
[00:00:36.400 --> 00:00:38.480]  我想的效果不是這樣的
[00:00:38.480 --> 00:00:39.560]  沒那麼鹹的
[00:00:39.560 --> 00:00:42.360]  或者是會辣一點、好吃一點的
[00:00:42.360 --> 00:00:45.680]  我想那些主婦會明白這個心
[00:00:45.680 --> 00:00:50.760]  所以我都好像那些家庭主婦一樣
[00:00:50.760 --> 00:00:51.960]  我會繼續講的
[00:00:51.960 --> 00:00:54.200]  我會繼續去試
[00:00:54.200 --> 00:00:56.560]  直至到滿意為止
[00:00:56.560 --> 00:01:00.680]  但我在上一次其實我都看到一個
[00:01:00.680 --> 00:01:02.080]  都是可以鼓勵自己的
[00:01:02.080 --> 00:01:05.600]  就是發覺原來就算你覺得講得不滿意
[00:01:05.600 --> 00:01:10.560]  不能夠完全講到你心裏面的領受、感動
[00:01:10.560 --> 00:01:13.200]  但只需要你在整個過程裏面
[00:01:13.200 --> 00:01:14.040]  你是祈禱
[00:01:14.040 --> 00:01:15.960]  你是去領受的時候
[00:01:15.960 --> 00:01:18.120]  其實最終神都會使用
[00:01:18.120 --> 00:01:19.920]  所以最重要的就是
[00:01:19.920 --> 00:01:21.240]  當然你講成怎樣
[00:01:21.240 --> 00:01:23.040]  你可以慢慢去改善
[00:01:23.040 --> 00:01:24.920]  可以怎樣講法等等
[00:01:24.920 --> 00:01:29.520]  但其實最重要的都是中間的預備
[00:01:29.520 --> 00:01:31.720]  其實我上個星期分享了
[00:01:31.720 --> 00:01:33.800]  神是沒有離開過中國的
[00:01:33.800 --> 00:01:34.920]  神是沒有離開過中國
[00:01:34.920 --> 00:01:36.480]  他迎師人拯救
[00:01:36.480 --> 00:01:38.320]  還有賦予一個使命
[00:01:38.320 --> 00:01:40.160]  要中國教會完成
[00:01:40.160 --> 00:01:43.720]  就說完全好像知囚之路這樣的方向
[00:01:43.720 --> 00:01:47.360]  向西這樣
[00:01:47.360 --> 00:01:49.240]  將福音傳回耶路撒冷
[00:01:49.240 --> 00:01:52.800]  還有因為行經的地方是回教國家
[00:01:52.800 --> 00:01:58.920]  我上次就說我們中國人有一個得天獨厚的優勢
[00:01:58.920 --> 00:02:01.360]  其實回教國家的回教徒
[00:02:01.360 --> 00:02:04.880]  對中國人是沒有抗拒的
[00:02:04.880 --> 00:02:09.360]  第一現在中國人有錢
[00:02:09.360 --> 00:02:13.040]  第二因為中國是一個愛好和平的民族
[00:02:13.040 --> 00:02:13.680]  很少去
[00:02:13.680 --> 00:02:18.240]  還有他們覺得我們中國人受西方侵略這麼久
[00:02:18.240 --> 00:02:21.920]  大家會有一個同病相憐的感覺
[00:02:21.920 --> 00:02:27.600]  所以其實回教國家的人對中國人是沒有敵意的
[00:02:27.600 --> 00:02:30.920]  不過我們的身份是因為基督徒
[00:02:30.920 --> 00:02:33.760]  而他們對基督徒是有敵意有誤解的
[00:02:33.760 --> 00:02:35.120]  誤解甚至敵意
[00:02:35.120 --> 00:02:41.880]  所以當我們身為中國人要回應這個呼召
[00:02:41.880 --> 00:02:43.880]  一個這樣的計劃的時候
[00:02:43.880 --> 00:02:45.520]  我們就要預備自己
[00:02:45.520 --> 00:02:53.160]  就說要為傳福音去付上代價甚至是付上自己的生命
[00:02:53.160 --> 00:02:55.840]  為主殉道都要有這樣的預備
[00:02:55.840 --> 00:02:57.520]  當時我是這麼說的
[00:02:57.520 --> 00:03:00.680]  不過不知道大家當我講這個殉道
[00:03:00.680 --> 00:03:03.480]  大家會想起些什麼
[00:03:03.480 --> 00:03:04.800]  糟了很簡單
[00:03:04.800 --> 00:03:06.840]  殉道是想起死的
[00:03:06.840 --> 00:03:10.560]  可能我因為我是中國人
[00:03:10.560 --> 00:03:12.280]  我想起有一天
[00:03:12.280 --> 00:03:14.040]  如果我為耶穌殉道
[00:03:14.040 --> 00:03:15.880]  我想到的場景是這樣的
[00:03:15.880 --> 00:03:19.040]  我會是很中國式的
[00:03:19.040 --> 00:03:20.360]  我想到的情景
[00:03:20.360 --> 00:03:25.040]  我會站在一輛綠色的卡車上
[00:03:25.040 --> 00:03:27.280]  然後被五花大綁
[00:03:27.280 --> 00:03:29.840]  背後有一支很長的棍子
[00:03:29.840 --> 00:03:33.560]  「反革命分子不靠撒,靠撒」
[00:03:33.560 --> 00:03:36.400]  還有再去刑場
[00:03:36.400 --> 00:03:38.320]  當再去刑場的過程
[00:03:38.320 --> 00:03:39.640]  我突然間在想
[00:03:39.640 --> 00:03:41.680]  因為啟示也這麼說
[00:03:41.680 --> 00:03:46.360]  如果我們是為神的道被斬
[00:03:46.360 --> 00:03:47.920]  即是殉道
[00:03:47.920 --> 00:03:49.800]  為神的道而殉道
[00:03:49.800 --> 00:03:51.440]  在這個千禧年裏
[00:03:51.440 --> 00:03:54.080]  是會和耶穌一起作王的
[00:03:54.080 --> 00:03:55.560]  當時我這樣想的時候
[00:03:55.560 --> 00:03:56.960]  我想到的情景就是
[00:03:56.960 --> 00:03:59.000]  如果我在卡車上
[00:03:59.000 --> 00:04:00.400]  開到刑場
[00:04:00.400 --> 00:04:01.400]  我突然間想
[00:04:01.400 --> 00:04:03.360]  「啊?耶穌」
[00:04:03.360 --> 00:04:05.400]  「你覺得我也夠班」
[00:04:05.400 --> 00:04:07.560]  「可以來為你去殉道嗎?」
[00:04:07.560 --> 00:04:08.760]  「你覺得我也夠班」
[00:04:08.760 --> 00:04:12.440]  「去和你一同作王一千年嗎?」
[00:04:12.440 --> 00:04:13.880]  雖然在小學的時候
[00:04:13.880 --> 00:04:14.960]  我也作過王
[00:04:14.960 --> 00:04:16.720]  小學的時候我作過霸王
[00:04:16.720 --> 00:04:19.520]  「將來和耶穌一起作王兩回事」
[00:04:19.520 --> 00:04:21.280]  「我配嗎?」
[00:04:21.280 --> 00:04:24.640]  「我何德何能和你一起作王呢?」
[00:04:24.640 --> 00:04:27.120]  想到這裏我真的想到想哭
[00:04:27.120 --> 00:04:29.640]  當時我想的那個情景
[00:04:29.640 --> 00:04:30.960]  還有
[00:04:30.960 --> 00:04:36.640]  我會在卡車上唱一首歌
[00:04:36.640 --> 00:04:42.760]  「耶穌 耶穌」
[00:04:42.760 --> 00:04:45.880]  「你是我千年難守的爺爺」
[00:04:45.880 --> 00:04:48.160]  「我唯一的紀念」
[00:04:48.160 --> 00:04:49.960]  之後一邊唱這首歌
[00:04:49.960 --> 00:04:51.400]  一邊在刑場
[00:04:51.400 --> 00:04:52.960]  當時整個
