
[00:00:00.000 --> 00:00:01.320]  大師姐妹 大家早晨
[00:00:01.320 --> 00:00:03.520]  讓我們在聆聽主的說話之先
[00:00:03.520 --> 00:00:05.560]  讓我們一起再次同心低頭
[00:00:05.560 --> 00:00:07.280]  禱告、仰望、愛主、愛主神
[00:00:07.280 --> 00:00:11.440]  父神 多謝祢給了我們回來
[00:00:11.440 --> 00:00:13.840]  在祢的說話、啟示當中
[00:00:13.840 --> 00:00:15.360]  能夠有這個福氣
[00:00:15.360 --> 00:00:18.120]  去研讀、思想
[00:00:18.120 --> 00:00:20.520]  並且蒙受聖靈的引導
[00:00:20.520 --> 00:00:22.720]  很想我們能夠從當中
[00:00:22.720 --> 00:00:25.120]  明白上帝祢的心懷、意念
[00:00:25.120 --> 00:00:28.200]  我們為此再次獻上感恩
[00:00:28.200 --> 00:00:32.520]  求祢的帶領 捉緊我們每一個人的心身靈
[00:00:32.520 --> 00:00:36.480]  都能夠在主祢的聖靈的模造之下
[00:00:36.480 --> 00:00:41.360]  活得更加像恩主祢屬神子民應有的樣式
[00:00:41.360 --> 00:00:45.200]  上帝祢原本創造我們原本的圓養
[00:00:45.200 --> 00:00:46.600]  求祢的帶領
[00:00:46.600 --> 00:00:49.320]  為祂禱告、奉靠主耶穌基督
[00:00:49.320 --> 00:00:53.200]  得聖名自以求 阿們
[00:00:53.200 --> 00:01:01.440]  今天我們的教會走向一個發展的路向
[00:01:01.440 --> 00:01:06.640]  就是越來越個人主義
[00:01:06.640 --> 00:01:09.200]  或者甚至用英文說得比較準確一點
[00:01:09.200 --> 00:01:13.720]  就是比較自我中心
[00:01:13.720 --> 00:01:15.680]  不過又諷刺的是
[00:01:15.680 --> 00:01:16.680]  他們這樣說
[00:01:16.680 --> 00:01:18.480]  很多時候很多信徒說
[00:01:18.480 --> 00:01:19.440]  我們的敬拜
[00:01:19.440 --> 00:01:25.720]  我們的侍奉應該是基督為中心的敬拜
[00:01:25.720 --> 00:01:28.560]  但是如果當我們還顧再看看
[00:01:28.560 --> 00:01:30.800]  今天的崇拜的時候
[00:01:30.800 --> 00:01:33.720]  或者教會不同的聚會的時候
[00:01:33.720 --> 00:01:38.880]  其實很多時候整個崇拜的設計
[00:01:38.880 --> 00:01:41.040]  或者那些環節
[00:01:41.040 --> 00:01:42.240]  我用這個說法
[00:01:42.240 --> 00:01:45.360]  那些環節是很著重於
[00:01:45.360 --> 00:01:50.040]  怎樣去配合我們人的個人需要
[00:01:50.040 --> 00:01:52.240]  或者我們的渴望
[00:01:52.240 --> 00:01:58.240]  就是要去討我們的需求來設計的
[00:01:58.240 --> 00:02:03.880]  而且發現到很多時候教會設計的聚會
[00:02:03.880 --> 00:02:09.280]  都是要以大和宏偉為主要目的
[00:02:09.280 --> 00:02:12.600]  因為當聚會搞得越大
[00:02:12.600 --> 00:02:14.760]  越宏偉的時候
[00:02:14.760 --> 00:02:20.600]  連搞的人也都覺得自己是越成功地去侍奉上帝
[00:02:20.600 --> 00:02:23.560]  而至於參與這些聚會的人
[00:02:23.560 --> 00:02:25.880]  也都會覺得那種宏偉
[00:02:25.880 --> 00:02:29.440]  以及有更大的號召力、感染力
[00:02:29.440 --> 00:02:34.080]  就以為自己靈性又更加接近上帝
[00:02:34.080 --> 00:02:35.880]  所以我們會留意到
[00:02:35.880 --> 00:02:38.760]  譬如很多不同的所謂報道團
[00:02:38.760 --> 00:02:40.160]  我不點名了
[00:02:40.160 --> 00:02:41.840]  大家參加過很多
[00:02:41.840 --> 00:02:43.600]  那你去想想
[00:02:43.600 --> 00:02:48.160]  每每這些報道團所搞的報道會
[00:02:48.160 --> 00:02:49.760]  都很著重於
[00:02:49.760 --> 00:02:56.320]  將這些聚會搞得有人多、興旺
[00:02:56.320 --> 00:02:58.840]  甚至音響、設計
