
[00:00:00.000 --> 00:00:01.720]  - 大家早晨 - 願你們平安
[00:00:01.720 --> 00:00:07.800]  - 願大家平安 - 《但懿禮書》到了這個第七章進入了一個新的階段
[00:00:07.800 --> 00:00:15.400]  - 《但懿禮書》到了這裏第七章 進入了一個新的階段 - 剛纔大家都看了這段
[00:00:15.400 --> 00:00:19.440]  - 大家剛剛都看了這段經文 - 搞得好像一個電影一樣
[00:00:19.440 --> 00:00:26.800]  - 好像電影一樣 - 不同的學者對於獸的解釋並不完全統一
[00:00:26.800 --> 00:00:33.480]  - 不同的學者對於獸的解釋並不完全統一 - 尤其是那個十個王 一個王的
[00:00:33.480 --> 00:00:37.480]  - 尤其是那十個王 - 說法挺多的
[00:00:37.480 --> 00:00:43.920]  - 有不同的說法 - 我不打算在講道的時候來羅列這些解釋
[00:00:43.920 --> 00:00:49.480]  - 我不打算在這個講道之中去羅列這些解釋 - 我們先看一開篇這個"海"
[00:00:49.480 --> 00:00:58.600]  - 我們先看一開篇這個"海" - 在那個時候海對於近東的人來說它有一個含義
[00:00:58.600 --> 00:01:04.360]  - 在那個時候海對於近東的人來說它有一個含義 - 就是列邦
[00:01:04.360 --> 00:01:07.040]  - 就是列邦 - 他們是在這裏的
[00:01:07.040 --> 00:01:10.880]  - 他們是在這裏的 - 海就對他們意味着他們之外
[00:01:10.880 --> 00:01:18.680]  - 海對於他們來說就是在他們之外的 - 所以就好像對我們來說 還用一個詞來說就是世界
[00:01:18.680 --> 00:01:25.440]  - 還用一個詞來說就是世界 - 就是世界
[00:01:25.440 --> 00:01:31.520]  - 世界 - 就是說 因爲免不了每個人都是以自己爲座標的
[00:01:31.520 --> 00:01:37.800]  - 因爲免不了每個人都是以自己爲座標 - 而且以色列又確實是神的選民
[00:01:37.800 --> 00:01:44.200]  - 而且以色列確實又是神的選民 - 所以對他們來說其他的那一切都是列邦 都是世界
[00:01:44.200 --> 00:01:48.400]  - 所以對於他們來說其他的一切都是列邦 - 所以對於他們來說其他的一切都是列邦
[00:01:48.400 --> 00:01:53.520]  - 所以我們來看以色列書十七章 - 我們來看一下以色列書第十七章
[00:01:53.520 --> 00:01:57.040]  - 你們大家有帶聖經嗎 - 大家有沒有帶聖經
[00:01:57.040 --> 00:02:03.600]  - 有帶聖經 翻開以色列書十七章 - 如果大家有帶聖經的話 請翻開以色列書第十七章
[00:02:03.600 --> 00:02:11.280]  - 以色列書十七章 我會讀新一本 - 以色列書第十七章 我們會讀新一本
[00:02:11.280 --> 00:02:19.440]  - 十二十三兩節 - 在十二和十三兩節 - 我先用普通話讀
[00:02:19.440 --> 00:02:25.600]  許多民族在喧譁 他們喧嚷好像海浪澎湃
[00:02:25.600 --> 00:02:31.680]  列國在咆哮 他們怒叫好像洪水奔流
[00:02:31.680 --> 00:02:39.960]  萬族怒嚎好像重水湧流 但神必斥責他們 使他們遠遠逃跑
[00:02:39.960 --> 00:02:46.120]  十二節講到 許多民族在喧譁 他們喧嚷好像海浪澎湃
[00:02:46.120 --> 00:02:50.440]  列國在咆哮 他們恐叫好像洪水奔流
[00:02:50.440 --> 00:03:00.320]  十三節 萬族怒嚎好像重水湧流 但神必斥責他們 使他們遠遠逃跑
[00:03:00.320 --> 00:03:09.480]  - 所以你看在以色列的這種啓示比喻 - 所以你看到是以色列的這種啓示比喻
[00:03:09.480 --> 00:03:13.640]  - 海就是這麼一個意思 - 海就是這個意思
[00:03:13.640 --> 00:03:16.480]  - 那我們再來說上來的這四個動物 - 我們再來說上來的這四個動物
[00:03:16.480 --> 00:03:19.720]  - 我們再來說上來的這四個動物 - 我們再來說上來的這四個動物
[00:03:19.720 --> 00:03:21.680]  - 因爲大爾裏他見的是異象 - 因爲大爾裏他見的是異象
[00:03:21.680 --> 00:03:23.360]  - 因爲大爾裏他見的是異象 - 因爲大爾裏他見的是異象
[00:03:23.360 --> 00:03:26.040]  - 他是帶有很強烈的那種比喻性質 - 他是帶有很強烈的那種比喻性質
[00:03:26.040 --> 00:03:29.760]  - 他是帶有很強烈的那種比喻性質 - 他是帶有很強烈的那種比喻性質
[00:03:29.760 --> 00:03:40.480]  - 後邊那個使者示力者又解釋這是要興起的四個國 - 後邊有解釋到這個是將要興起的四個國
[00:03:40.480 --> 00:03:41.600]  - 聖經裏面說王 - 聖經裏面說王
[00:03:41.600 --> 00:03:44.040]  - 但是其實在那個時候王就是國 - 但是其實在那個時候王就是國
[00:03:44.040 --> 00:03:46.560]  - 但是其實在那個時候王就是國
[00:03:46.560 --> 00:03:48.600]  - 我簡單的給大家介紹一下 - 我簡單的給大家介紹一下
[00:03:48.600 --> 00:03:50.200]  - 我簡單的給大家介紹一下 - 簡單的給大家介紹一下
[00:03:50.200 --> 00:03:52.920]  - 第一個是獅子和鷹的組合 - 第一個是獅子和鷹的組合
[00:03:52.920 --> 00:03:55.240]  - 第一個是獅子和鷹的組合
[00:03:55.240 --> 00:04:00.280]  - 這個在那個時候的文化中代表了驕傲、威嚴、權勢
[00:04:00.280 --> 00:04:06.120]  - 在那個時候的文化當中代表了威嚴、權勢
[00:04:06.120 --> 00:04:08.280]  - 耶利米書四十九章
[00:04:08.280 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.360]  - 耶利米書第四十九章
[00:04:10.360 --> 00:04:10.400]  - 耶利米書第四十九章
[00:04:10.400 --> 00:04:10.400]  - 耶利米書第四十九章
[00:04:10.400 --> 00:04:10.400]  - 耶利米書第四十九章
[00:04:10.400 --> 00:04:27.920]  - 第十九節就比喻獅子,二十二節又說鷹,而耶利米先知在這一段中講的就是尼布賈尼撒
[00:04:27.920 --> 00:04:29.520]  - 第二個動物是個熊
[00:04:29.520 --> 00:04:29.560]  - 第二個動物是個熊
[00:04:29.560 --> 00:04:31.560]  - 第二個動物是個熊
[00:04:31.560 --> 00:04:34.200]  - 我們都知道熊是一個什麼樣的形象
[00:04:34.200 --> 00:04:34.200]  - 我們都知道熊是一個什麼樣的形象
