
[00:00:00.000 --> 00:00:05.080]  今天我要講出埃及的人都是感恩圖報的人
[00:00:05.080 --> 00:00:08.320]  最早的時候是雅各就是以色列
[00:00:08.320 --> 00:00:10.720]  帶著全家七十個人
[00:00:10.720 --> 00:00:15.440]  來投奔在埃及貴為宰相的約瑟
[00:00:15.440 --> 00:00:18.000]  過了數百年
[00:00:18.000 --> 00:00:20.320]  好十幾代過去了
[00:00:20.320 --> 00:00:23.520]  埃及法老王也換了十幾個
[00:00:23.520 --> 00:00:26.880]  那麼以色列民越長越茁壯
[00:00:26.880 --> 00:00:30.080]  甚至於有四百萬之眾
[00:00:30.080 --> 00:00:32.600]  人多了就惹眼了
[00:00:32.600 --> 00:00:35.680]  結果就受到不認識神
[00:00:35.680 --> 00:00:37.160]  不認識約瑟
[00:00:37.160 --> 00:00:41.160]  甚至於連以色列民也都不認識神了
[00:00:41.160 --> 00:00:42.880]  受到了苦難
[00:00:42.880 --> 00:00:44.680]  但是有兩個人例外
[00:00:44.680 --> 00:00:47.040]  就是敬畏神的收身婆
[00:00:47.040 --> 00:00:48.840]  一個叫做賜福拉
[00:00:48.840 --> 00:00:50.520]  一個叫做普阿
[00:00:50.520 --> 00:00:53.200]  但是神賜福給他們
[00:00:53.200 --> 00:00:54.920]  後來我又講了
[00:00:54.920 --> 00:00:59.200]  出埃及的人都是蒙受苦難的人
[00:00:59.200 --> 00:01:01.720]  他們呼天他們嗆地
[00:01:01.720 --> 00:01:03.520]  神紀念他們
[00:01:03.520 --> 00:01:06.040]  神紀念他們的苦難
[00:01:06.040 --> 00:01:09.960]  神紀念他們的祖先亞伯拉罕
[00:01:09.960 --> 00:01:11.920]  與神的利約
[00:01:11.920 --> 00:01:14.400]  後來又講說摩西
[00:01:14.400 --> 00:01:15.960]  神呼召他
[00:01:15.960 --> 00:01:20.960]  叫他回去要帶我的百姓出埃及
[00:01:20.960 --> 00:01:24.200]  單單的來曠野來敬拜我
[00:01:24.200 --> 00:01:26.600]  就是耶和華神
[00:01:26.600 --> 00:01:28.920]  摩西就是好奇
[00:01:28.920 --> 00:01:33.520]  怎麼山上的荊棘著火全部被燒毀呢
[00:01:33.520 --> 00:01:35.920]  結果神就呼召他了
[00:01:35.920 --> 00:01:36.560]  當然了
[00:01:36.560 --> 00:01:39.720]  摩西也是一個再三推辭的人
[00:01:39.720 --> 00:01:42.480]  他說我是奔口啄舌的人神啊
[00:01:42.480 --> 00:01:44.360]  你去找別人吧
[00:01:44.360 --> 00:01:47.000]  但是神就是看上他
[00:01:47.000 --> 00:01:49.880]  就是神就是再三的要他
[00:01:49.880 --> 00:01:51.760]  結果摩西帶著神的權柄
[00:01:51.760 --> 00:01:53.600]  到了法老王的面前
[00:01:53.600 --> 00:01:55.480]  用了十個齋
[00:01:55.480 --> 00:01:58.720]  終於叫心甘願的法老王
[00:01:58.720 --> 00:02:00.320]  放了他們走了
[00:02:00.320 --> 00:02:01.720]  然後出來了
[00:02:01.720 --> 00:02:03.400]  到了紅海邊
[00:02:03.400 --> 00:02:05.160]  追兵趕到的時候
[00:02:05.160 --> 00:02:08.480]  摩西把藏放到水裡面
[00:02:08.480 --> 00:02:10.480]  水就分開來了
[00:02:10.480 --> 00:02:12.080]  百姓就過去了
[00:02:12.080 --> 00:02:16.840]  結果追兵反而葬身在紅海的大水裡面
[00:02:16.840 --> 00:02:18.120]  哈雷洛亞
[00:02:18.120 --> 00:02:19.560]  是的我們就看到了
[00:02:19.560 --> 00:02:21.560]  神多麼奇妙
[00:02:21.560 --> 00:02:24.200]  他做神跡奇事
[00:02:24.200 --> 00:02:27.360]  他們到了曠野漂流了四十年
[00:02:27.360 --> 00:02:29.880]  他們吃了凌涼
[00:02:29.880 --> 00:02:32.040]  就是瑪拿吃了四十年
[00:02:32.040 --> 00:02:33.920]  他們也喝了凌水
[00:02:33.920 --> 00:02:35.640]  就是磐石出水
[00:02:35.640 --> 00:02:37.800]  也喝了好多年
[00:02:37.800 --> 00:02:40.600]  但是百姓吃過凌涼
[00:02:40.600 --> 00:02:42.160]  喝過凌水的人
[00:02:42.160 --> 00:02:44.280]  仍然是會掃興
[00:02:44.280 --> 00:02:45.240]  會不幸
[00:02:45.240 --> 00:02:48.600]  仍然是會不討神的喜悅
[00:02:48.600 --> 00:02:53.160]  所以今天我特別要來跟各位分享的是
[00:02:53.160 --> 00:02:57.280]  出埃及的人是感恩土報的人
[00:02:57.280 --> 00:02:59.800]  在出埃及經十九章的時候
[00:02:59.800 --> 00:03:03.560]  他說以色列人出埃及地以後
[00:03:03.560 --> 00:03:09.280]  把三個月的第一天就來到西乃的曠野
[00:03:09.280 --> 00:03:11.320]  什麼叫西乃的曠野
[00:03:11.320 --> 00:03:16.000]  實際上這個就是以色列人的出埃及的路線
[00:03:16.000 --> 00:03:19.200]  他們從埃及的戈山
[00:03:19.200 --> 00:03:21.680]  他們從那邊出來的
[00:03:21.680 --> 00:03:25.000]  其實你看他們走的路線
[00:03:25.000 --> 00:03:27.320]  一直走的是最遠的路
[00:03:27.320 --> 00:03:30.200]  而又在這個曠野裡面
[00:03:30.200 --> 00:03:33.480]  迦底斯巴尼亞這個地方的曠野裡面
[00:03:33.480 --> 00:03:35.160]  一直在那邊流蕩
[00:03:35.160 --> 00:03:38.520]  最後來到最右上角那邊的時候
[00:03:38.520 --> 00:03:40.040]  到了尼泊山
[00:03:40.040 --> 00:03:46.080]  然後隔著約旦河遙望井甲跟耶利哥城
[00:03:46.080 --> 00:03:48.400]  就是迦南平原
