
[00:00:00.000 --> 00:00:04.560]  我們今天的講題是要竭力保守你的耳朵
[00:00:04.560 --> 00:00:05.760]  跟你隔壁的兄弟說一聲
[00:00:05.760 --> 00:00:07.360]  你要竭力保守你的耳朵
[00:00:07.360 --> 00:00:11.560]  在古希臘的名言裡面說
[00:00:11.560 --> 00:00:14.320]  上天給我們有兩隻耳朵
[00:00:14.320 --> 00:00:15.520]  一個是嘴巴
[00:00:15.520 --> 00:00:19.360]  意思就是要我們多聽少講
[00:00:19.360 --> 00:00:20.280]  跟你隔壁的兄弟說一聲
[00:00:20.280 --> 00:00:22.080]  你要多聽少講
[00:00:22.080 --> 00:00:25.640]  大文豪伏爾泰就說
[00:00:25.640 --> 00:00:27.400]  曾經有錦兒法這樣說
[00:00:27.400 --> 00:00:30.320]  他說通往內心深處的路
[00:00:30.320 --> 00:00:32.760]  就是我們的耳朵
[00:00:32.760 --> 00:00:34.800]  究竟在聖經裡面提到的
[00:00:34.800 --> 00:00:36.720]  我們要聽什麼呢
[00:00:36.720 --> 00:00:37.640]  又或許這樣說
[00:00:37.640 --> 00:00:38.600]  我們才要問
[00:00:38.600 --> 00:00:40.200]  究竟為什麼神的子民
[00:00:40.200 --> 00:00:43.400]  神的百姓會不聽神的話呢
[00:00:43.400 --> 00:00:45.960]  這些都成為了我們的警惕
[00:00:45.960 --> 00:00:48.960]  我們是縱觀整本聖經來說
[00:00:48.960 --> 00:00:50.960]  神的百姓不聽祂的話語
[00:00:50.960 --> 00:00:53.160]  包括有幾個的可能性
[00:00:53.160 --> 00:00:55.760]  第一個就是不想明白
[00:00:55.760 --> 00:00:58.040]  在賽亞書的第六章九到十節說
[00:00:58.040 --> 00:00:59.800]  哈雪,你去告訴這百姓說
[00:00:59.800 --> 00:01:01.760]  你們聽是聽見,卻不明白
[00:01:01.760 --> 00:01:03.520]  看是看見,卻不曉得
[00:01:03.520 --> 00:01:05.320]  要使這百姓心蒙之猶
[00:01:05.320 --> 00:01:07.200]  耳朵發沉,眼睛昏迷
[00:01:07.200 --> 00:01:09.200]  恐怕眼睛看見,耳朵聽見
[00:01:09.200 --> 00:01:11.920]  心裡明白,回轉過來便得著醫治
[00:01:11.920 --> 00:01:13.920]  《華本》的翻譯
[00:01:13.920 --> 00:01:16.720]  會被讀者一個錯誤的理解
[00:01:16.720 --> 00:01:20.040]  認為是上帝不想祂的百姓
[00:01:20.040 --> 00:01:23.840]  去回轉,得著醫治和聽得明白
[00:01:23.840 --> 00:01:25.840]  但是在原文的意思
[00:01:25.840 --> 00:01:28.800]  確是有一個主動和被動的問題
[00:01:28.800 --> 00:01:31.160]  我們要很清楚見到的
[00:01:31.160 --> 00:01:37.240]  是神的百姓主動地去尋求不明白
[00:01:37.240 --> 00:01:41.480]  聽當聽不到,看卻當看不到
[00:01:41.480 --> 00:01:44.280]  因為他們不想明白
[00:01:44.280 --> 00:01:45.760]  因為當你明白了之後
[00:01:45.760 --> 00:01:46.880]  你就要去做
[00:01:46.880 --> 00:01:48.760]  倒不如我不去明白了
[00:01:48.760 --> 00:01:50.440]  這是第一個原因
[00:01:50.440 --> 00:01:53.680]  第二個原因是心中狂傲
[00:01:53.680 --> 00:01:56.360]  在《尼米記》九章十六節
[00:01:56.360 --> 00:02:00.560]  但我們的列祖行事狂傲
[00:02:00.560 --> 00:02:04.280]  硬著頸看,不聽從祢的誡命
[00:02:04.280 --> 00:02:08.720]  狂傲的人心中無人也沒有神
[00:02:08.720 --> 00:02:12.440]  這種人是聽不到別人的話的
[00:02:12.440 --> 00:02:16.520]  第三種是《耶利米書》十一章第八節
[00:02:16.520 --> 00:02:19.920]  他們卻不聽從,不質疑而聽
[00:02:19.920 --> 00:02:24.160]  僅隨從自己橫行的惡心去行
[00:02:24.160 --> 00:02:26.880]  就是人按照自己的意思去行
[00:02:26.880 --> 00:02:30.320]  就不想聽上帝的意思
[00:02:30.320 --> 00:02:32.840]  你說神的百姓是否也會這樣呢?
[00:02:32.840 --> 00:02:34.440]  信徒是否也會這樣呢?
[00:02:34.440 --> 00:02:35.720]  當然會是
[00:02:35.720 --> 00:02:39.040]  我們見到近代甚至很多的神學家
[00:02:39.040 --> 00:02:42.360]  我們說是自由的神學
[00:02:42.360 --> 00:02:45.320]  Libro的一批自由的神學家
[00:02:45.320 --> 00:02:48.560]  他甚至不相信聖經所說的地獄
[00:02:48.560 --> 00:02:50.800]  又不相信聖經所說的公義
[00:02:50.800 --> 00:02:54.000]  他認為自己是創造公義的定義
[00:02:54.000 --> 00:02:59.000]  是上帝由他自己所創造出來的
[00:02:59.000 --> 00:03:01.520]  連神學家都可以是這樣的時候
[00:03:01.520 --> 00:03:03.640]  究竟信徒又會如何呢?
[00:03:03.640 --> 00:03:05.200]  我們清楚地明白
[00:03:05.200 --> 00:03:07.560]  連神的百姓都是這樣的話
[00:03:07.560 --> 00:03:10.560]  在新教裡面的信徒又會如何呢?
[00:03:10.560 --> 00:03:14.720]  第四個可能就是因為他不屬於神
[00:03:14.720 --> 00:03:18.520]  請你留意這段經文沒有翻譯錯
[00:03:18.520 --> 00:03:21.080]  也沒有說錯
[00:03:21.080 --> 00:03:24.720]  使徒約翰在《約翰一書》第四章第六節說
[00:03:24.720 --> 00:03:26.120]  「我們是屬神的
[00:03:26.120 --> 00:03:31.240]  認識神的就聽從我們」
[00:03:31.240 --> 00:03:33.160]  請留意
[00:03:33.160 --> 00:03:35.600]  約翰沒有說錯
[00:03:35.600 --> 00:03:37.680]  聖經沒有翻錯
[00:03:37.680 --> 00:03:38.720]  我們往往會覺得
[00:03:38.720 --> 00:03:41.160]  甚麼不應該是我們是屬神的
[00:03:41.160 --> 00:03:44.040]  認識神的就應該聽從神
[00:03:44.040 --> 00:03:45.720]  而不是聽從我們嗎?
[00:03:45.720 --> 00:03:47.160]  我們留意這件事情
[00:03:47.160 --> 00:03:50.440]  甚至乎我們很容易引用另一段經文說
[00:03:50.440 --> 00:03:54.320]  「我們聽從神,不聽從人,不是應當的」
[00:03:54.320 --> 00:03:58.160]  這樣濫用經文是一件極度危險的事情
[00:03:58.160 --> 00:04:00.640]  不要忘記那段經文說的
[00:04:00.640 --> 00:04:05.640]  是挑戰當時的宗教界的權威人士
[00:04:05.640 --> 00:04:08.200]  這班人不要走在神的道裡面
[00:04:08.200 --> 00:04:13.280]  禁止使徒去宣揚復活主的大能
[00:04:13.280 --> 00:04:16.320]  這是完全和信仰的關係和政治無關
[00:04:16.320 --> 00:04:17.440]  請留意這一點
[00:04:17.440 --> 00:04:18.240]  第二
[00:04:18.240 --> 00:04:20.680]  當時是一班宗教界的領袖
[00:04:20.680 --> 00:04:25.560]  禁止使徒去宣揚復活的信息
[00:04:25.560 --> 00:04:26.680]  在這樣的情況下
[00:04:26.680 --> 00:04:27.800]  使徒就說
[00:04:27.800 --> 00:04:32.320]  難道我們聽從神,不聽從人
[00:04:32.320 --> 00:04:33.640]  是不應該的嗎?
[00:04:33.640 --> 00:04:35.240]  所以這段經文
[00:04:35.240 --> 00:04:38.000]  我們不可以單獨抽出來
[00:04:38.000 --> 00:04:40.800]  在任何處境裡面應用
[00:04:40.800 --> 00:04:42.640]  一般的情況下
[00:04:42.640 --> 00:04:45.800]  我們會見到使徒約翰說了什麼
[00:04:45.800 --> 00:04:48.200]  他說「我們如果屬於神的話
[00:04:48.200 --> 00:04:52.200]  認識神的就聽從我們
[00:04:52.200 --> 00:04:54.960]  不屬神的就不聽從我們」
[00:04:54.960 --> 00:04:56.680]  這裡我們要很小心理解
[00:04:56.680 --> 00:04:57.960]  屬靈的領袖
[00:04:57.960 --> 00:05:00.520]  當他宣講神的話語
[00:05:00.520 --> 00:05:03.000]  教導神的話語的時候
[00:05:03.000 --> 00:05:05.440]  會眾信徒不聽從他的話
[00:05:05.440 --> 00:05:07.480]  就等於不聽從神的話
[00:05:07.480 --> 00:05:10.280]  舊約摩西是神的代言人
[00:05:10.280 --> 00:05:12.040]  當百姓不聽摩西的話
[00:05:12.040 --> 00:05:14.800]  就等於不聽神的話
[00:05:14.800 --> 00:05:15.920]  我們不可以說
[00:05:15.920 --> 00:05:18.400]  我聽神的話,但我不聽你的話
[00:05:18.400 --> 00:05:20.000]  我們在說什麼呢?
[00:05:20.000 --> 00:05:21.600]  我們要小心理解
[00:05:21.600 --> 00:05:23.200]  如果一個屬靈的領袖
[00:05:23.200 --> 00:05:24.560]  他有個人的喜好
[00:05:24.560 --> 00:05:28.200]  例如他喜歡藍色
[00:05:28.200 --> 00:05:29.920]  不可能整個教會的會眾
[00:05:29.920 --> 00:05:33.400]  或小組的組員全部要穿藍色
[00:05:33.400 --> 00:05:36.440]  藍色好啊,藍色是屬天的
[00:05:36.440 --> 00:05:39.920]  這是有聖經根據的
[00:05:39.920 --> 00:05:41.640]  這是個人的喜好
[00:05:41.640 --> 00:05:43.160]  但如果我們在說的
[00:05:43.160 --> 00:05:46.440]  這個屬靈領袖不是說個人的喜好
[00:05:46.440 --> 00:05:48.400]  他是在說神的話語
[00:05:48.400 --> 00:05:50.720]  神的指引,神的教導的話
[00:05:50.720 --> 00:05:53.440]  不聽從的人
[00:05:53.440 --> 00:05:54.240]  我們不可以說
[00:05:54.240 --> 00:05:56.080]  我聽從神,我不聽從你
[00:05:56.080 --> 00:05:57.800]  這句話是沒有意義的
[00:05:57.800 --> 00:06:03.000]  這句話是一個狂傲的人說的
[00:06:03.000 --> 00:06:05.080]  聖經很清楚說
[00:06:05.080 --> 00:06:06.920]  約翰很清楚說
[00:06:06.920 --> 00:06:08.960]  我們屬神的人,認識神的人
[00:06:08.960 --> 00:06:10.640]  就聽從我們
[00:06:10.640 --> 00:06:12.640]  不聽從不屬神的人
[00:06:12.640 --> 00:06:14.800]  就不聽從我們
[00:06:14.800 --> 00:06:17.240]  因為他在說的不是個人的喜好
[00:06:17.240 --> 00:06:19.560]  他在說的是神的話
[00:06:19.560 --> 00:06:21.840]  是神的道,是神的原則
[00:06:21.840 --> 00:06:25.320]  所以他說從此我們可以認出真理的靈
[00:06:25.320 --> 00:06:28.040]  和謬妄的靈來
[00:06:28.040 --> 00:06:30.520]  這裏約翰刻意用謬妄的靈
[00:06:30.520 --> 00:06:32.480]  不是說邪靈是甚麼意思
[00:06:32.480 --> 00:06:33.520]  其實都是邪靈
[00:06:33.520 --> 00:06:35.280]  不過這個謬妄的意思就是說
[00:06:35.280 --> 00:06:39.520]  是將一些錯謬的邏輯思維
[00:06:39.520 --> 00:06:42.240]  去引導會眾
[00:06:42.240 --> 00:06:43.240]  等於這樣說
[00:06:43.240 --> 00:06:45.880]  我們只聽從神,不聽從人
[00:06:45.880 --> 00:06:47.200]  我們只向神負責
[00:06:47.200 --> 00:06:48.200]  不需要向人負責
[00:06:48.200 --> 00:06:50.600]  這些是歪理
[00:06:50.600 --> 00:06:52.360]  我們要向神負責
[00:06:52.360 --> 00:06:53.400]  但與此同時
[00:06:53.400 --> 00:06:55.680]  我們也要向人負責
[00:06:55.680 --> 00:06:57.200]  我們聽從上帝
[00:06:57.200 --> 00:06:57.920]  與此同時
