
[00:00:00.000 --> 00:00:01.760]  各位導演姐妹 平安
[00:00:01.760 --> 00:00:06.600]  在美國有一位心理學教授
[00:00:06.600 --> 00:00:09.720]  他叫做卡羅·杜維克博士
[00:00:09.720 --> 00:00:11.480]  他寫了一本書
[00:00:11.480 --> 00:00:15.080]  書名中文翻譯是《心態自性》
[00:00:15.080 --> 00:00:18.000]  在這位博士的研究裏面
[00:00:18.000 --> 00:00:22.360]  他發覺過去人會覺得基因
[00:00:22.360 --> 00:00:27.120]  就會影響一個人的聰明、才智或者天賦
[00:00:27.120 --> 00:00:33.080]  但是他說到原來人一生的成就並不是天生的
[00:00:33.080 --> 00:00:37.160]  他會覺得影響人一個學習、成長
[00:00:37.160 --> 00:00:40.160]  人生的路途、人際關係
[00:00:40.160 --> 00:00:44.760]  一生的成就原來有一樣東西影響著
[00:00:44.760 --> 00:00:46.840]  就是人的心態
[00:00:46.840 --> 00:00:48.600]  在他多年的研究裏面
[00:00:48.600 --> 00:00:53.200]  他會發覺可以將人普遍分為兩類
[00:00:53.200 --> 00:00:56.680]  有一類的人會有一種叫做定型心態
[00:00:56.680 --> 00:01:00.200]  另一種就叫做成長心態
[00:01:00.200 --> 00:01:02.280]  定型心態的人就會覺得
[00:01:02.280 --> 00:01:06.240]  智力是天生的、無法改變的
[00:01:06.240 --> 00:01:11.440]  這類的人會盡力去表現他已有的聰明
[00:01:11.440 --> 00:01:14.880]  但是不喜歡接受一些挑戰
[00:01:14.880 --> 00:01:17.520]  也都難於接受一些批評
[00:01:17.520 --> 00:01:19.920]  可能都會容易少年得志
[00:01:19.920 --> 00:01:23.320]  但是他的潛力可能未能夠
[00:01:23.320 --> 00:01:26.880]  整個人生裏面發揮得最好
[00:01:26.880 --> 00:01:29.720]  另一種成長心態的人
[00:01:29.720 --> 00:01:35.080]  他會很樂觀地去看自己不同的特質
[00:01:35.080 --> 00:01:38.880]  他願意接受挑戰、常常去學習
[00:01:38.880 --> 00:01:41.200]  雖然眼前可能有失敗也好
[00:01:41.200 --> 00:01:43.200]  他會覺得只要靠努力
[00:01:43.200 --> 00:01:46.160]  不斷嘗試去累積經驗
[00:01:46.160 --> 00:01:48.440]  或者透過其他人的幫助
[00:01:48.440 --> 00:01:51.400]  他會不斷去改變和成長
[00:01:51.400 --> 00:01:53.560]  抱著這個心態的人
[00:01:53.560 --> 00:01:56.720]  他能夠終身去學習
[00:01:56.720 --> 00:02:00.680]  成就反而無可限量
[00:02:00.680 --> 00:02:03.440]  我們發覺人類不斷在心理學
[00:02:03.440 --> 00:02:07.080]  這些知識上不斷地追求去鑽研
[00:02:07.080 --> 00:02:08.480]  在不同的處境裏面
[00:02:08.480 --> 00:02:12.720]  很想鼓勵人用正向的心態
[00:02:12.720 --> 00:02:15.120]  來面對所有的困難
[00:02:15.120 --> 00:02:17.800]  亦都很想每一個人提升自我
[00:02:17.800 --> 00:02:21.080]  提升自信、邁向成功
[00:02:21.080 --> 00:02:23.080]  但我們知道我們基督徒
[00:02:23.080 --> 00:02:25.640]  我們並不會單單擁抱着
[00:02:25.640 --> 00:02:28.920]  世上一些科學的研究、一些知識
[00:02:28.920 --> 00:02:32.000]  我們會擁抱聖經的真理教導
[00:02:32.000 --> 00:02:34.200]  有神的帶領
[00:02:34.200 --> 00:02:37.640]  我們人生的價值觀和對成功的定義
[00:02:37.640 --> 00:02:40.360]  其實跟這個世界是很不同的
[00:02:40.360 --> 00:02:44.600]  但我發覺書中所講的成長心態
[00:02:44.600 --> 00:02:47.840]  確實亦是值得我們基督徒借鑒的
[00:02:47.840 --> 00:02:50.160]  其實我們一生都可以
