
[00:00:00.000 --> 00:00:01.920]  人生有很多適逢的機會
[00:00:01.920 --> 00:00:04.920]  在這一章裏面
[00:00:04.920 --> 00:00:10.320]  十六、十七就看到大魏
[00:00:10.320 --> 00:00:14.080]  在《八兄弟》裏面最小的一個是怎樣崛起的
[00:00:14.080 --> 00:00:17.120]  當我們去看大魏的時候
[00:00:17.120 --> 00:00:18.280]  我們想到很多東西
[00:00:18.280 --> 00:00:21.720]  其實當我們看大魏的經文裏面
[00:00:21.720 --> 00:00:22.920]  不單止在詩篇有
[00:00:22.920 --> 00:00:24.920]  《撒慕爾記》也有
[00:00:24.920 --> 00:00:26.320]  當然《列王記》也有
[00:00:26.320 --> 00:00:27.840]  當我們去看的時候
[00:00:28.280 --> 00:00:30.080]  我們就會知道
[00:00:30.080 --> 00:00:33.440]  大魏作爲神所揀選的
[00:00:33.440 --> 00:00:34.520]  是怎樣開始的
[00:00:34.520 --> 00:00:37.320]  剛纔主席和我們讀第十七章
[00:00:37.320 --> 00:00:40.960]  今天我們是會看第十七章都有的經文
[00:00:40.960 --> 00:00:42.680]  所以如果你們沒有聖經
[00:00:42.680 --> 00:00:45.520]  沒有聖經
[00:00:45.520 --> 00:00:46.520]  只有聽
[00:00:46.520 --> 00:00:49.280]  有手機裏面已經下載了就去看了
[00:00:49.280 --> 00:00:50.960]  不過不要響出聲
[00:00:50.960 --> 00:00:52.800]  你本聖經是要拿出來
[00:00:52.800 --> 00:00:55.480]  我其實提過一次
[00:00:55.480 --> 00:00:57.360]  人物系列你一定要帶你的聖經
[00:00:57.360 --> 00:01:00.520]  因爲我很快就會看完你的經文
[00:01:00.520 --> 00:01:03.880]  大魏的崛起結合了很多不同的元素
[00:01:03.880 --> 00:01:07.480]  掃挪衰、敗壞、犯罪、神不喜悅他
[00:01:07.480 --> 00:01:09.720]  大魏是什麼呢?
[00:01:09.720 --> 00:01:14.080]  他只是在耶穌的家庭裏面
[00:01:14.080 --> 00:01:16.400]  大約最小一個放羊
[00:01:16.400 --> 00:01:19.560]  但是他怎樣可以成爲神所用的呢?
[00:01:19.560 --> 00:01:21.160]  我們看第十六章一節
[00:01:21.160 --> 00:01:22.520]  開始
[00:01:22.520 --> 00:01:26.080]  在這一節裏面就說
[00:01:26.080 --> 00:01:27.560]  對撒慕爾紀說
[00:01:27.560 --> 00:01:29.160]  我很厭棄所羅門
[00:01:29.160 --> 00:01:30.520]  他做王是不行的
[00:01:30.520 --> 00:01:33.160]  犯罪、敗壞
[00:01:33.160 --> 00:01:36.640]  你爲他悲傷要到什麼時候呢?
[00:01:36.640 --> 00:01:37.560]  說撒慕爾紀
[00:01:37.560 --> 00:01:39.880]  你告他你爲他悲傷要到什麼時候呢?
[00:01:39.880 --> 00:01:42.800]  你將高尤裝滿在一個角落裏面
[00:01:42.800 --> 00:01:46.080]  我差遣你去到伯利恆耶穌那裏
[00:01:46.080 --> 00:01:49.360]  因爲我在《宗旨》之內
[00:01:49.360 --> 00:01:51.680]  預定一個作王
[00:01:51.680 --> 00:01:53.640]  我預定一個作王
[00:01:54.640 --> 00:01:56.280]  《宗旨》之內沒有說哪一個
[00:01:56.280 --> 00:01:59.000]  也沒有告訴撒慕爾紀
[00:01:59.000 --> 00:02:00.080]  究竟是哪一個
[00:02:00.080 --> 00:02:04.440]  撒慕爾紀作爲先知
[00:02:04.440 --> 00:02:07.480]  聽到耶和華那麼吩咐的時候
[00:02:07.480 --> 00:02:08.720]  他怎樣呢?
[00:02:08.720 --> 00:02:10.840]  當然是跟從
[00:02:10.840 --> 00:02:11.480]  當然是聽的
[00:02:11.480 --> 00:02:12.840]  但是第二節怎麼說呢?
[00:02:12.840 --> 00:02:16.040]  第二節撒慕爾紀說
[00:02:16.040 --> 00:02:17.240]  我怎樣能夠去呢?
[00:02:17.240 --> 00:02:18.960]  蘇萊如果聽到
[00:02:18.960 --> 00:02:21.760]  必要殺我
[00:02:24.040 --> 00:02:24.960]  王還在
[00:02:24.960 --> 00:02:26.760]  你要去告新的王
[00:02:26.760 --> 00:02:28.480]  我作王當然會宰你
[00:02:28.480 --> 00:02:29.720]  追砍你
[00:02:29.720 --> 00:02:31.280]  其實在這個過程
[00:02:31.280 --> 00:02:33.640]  撒慕爾紀是一個祕密的告密
[00:02:33.640 --> 00:02:34.720]  大魏王
[00:02:34.720 --> 00:02:37.840]  靜靜地做
[00:02:37.840 --> 00:02:39.800]  耶和華就教他
[00:02:39.800 --> 00:02:42.000]  你可以帶一隻牛族去
[00:02:42.000 --> 00:02:44.880]  就說我是用來向耶和華獻祭的
[00:02:44.880 --> 00:02:50.200]  你就請耶穌和他的兒子來喫祭肉
[00:02:50.200 --> 00:02:51.120]  我就指示你
[00:02:51.120 --> 00:02:54.080]  當行,我使之給你的人,你要告他
[00:02:54.080 --> 00:02:57.080]  撒慕爾就照樣去做
[00:02:57.080 --> 00:02:58.040]  神所吩咐的
[00:02:58.040 --> 00:02:58.840]  要死就死
[00:02:58.840 --> 00:03:00.040]  要讓蘇萊知道
[00:03:00.040 --> 00:03:00.760]  宰你就宰
[00:03:00.760 --> 00:03:01.640]  追砍就追砍
[00:03:01.640 --> 00:03:02.360]  都要做
