
[00:00:00.000 --> 00:00:06.680]  究竟你為了甚麼而生而活呢?
[00:00:06.680 --> 00:00:08.400]  你為了甚麼而生活呢?
[00:00:08.400 --> 00:00:10.600]  這個問題就有少許不同了
[00:00:10.600 --> 00:00:13.440]  有些人說我為了錢而生活
[00:00:13.440 --> 00:00:16.080]  有些人說為了我的家庭而活
[00:00:16.080 --> 00:00:18.560]  有些人說為了我的子女而活
[00:00:18.560 --> 00:00:21.720]  有些人說可能我都不知道為了甚麼而活
[00:00:21.720 --> 00:00:24.520]  總之就是要找飯吃、工作
[00:00:24.520 --> 00:00:27.040]  每天吃飽、睡飽、吃飽
[00:00:27.040 --> 00:00:28.480]  接著就要工作了
[00:00:28.480 --> 00:00:31.080]  例如Monica,我可不可以說
[00:00:31.080 --> 00:00:33.800]  我為了買些漂亮的衣服而活呢?
[00:00:33.800 --> 00:00:34.600]  (不是的)
[00:00:34.600 --> 00:00:35.480]  不是嗎?
[00:00:35.480 --> 00:00:36.800]  有少許不同吧?
[00:00:36.800 --> 00:00:42.560]  但如果這個問題不是由我爺爺問
[00:00:42.560 --> 00:00:44.680]  而是由主耶穌問你
[00:00:44.680 --> 00:00:49.160]  Selim,你為了甚麼而活呢?
[00:00:49.160 --> 00:00:51.720]  如果主耶穌真的問你
[00:00:51.720 --> 00:00:53.240]  你怎樣回答呢?
[00:00:53.240 --> 00:00:54.720]  是一個很嚴肅的問題
[00:00:54.720 --> 00:00:56.240]  或者我們一起低頭禱告
[00:00:56.920 --> 00:00:59.960]  親愛的主,我知道很多時候
[00:00:59.960 --> 00:01:02.280]  我們想去明白祢的話語
[00:01:02.280 --> 00:01:04.200]  想知道我們為甚麼而活
[00:01:04.200 --> 00:01:06.640]  主,求祢真的在中間去教導我們
[00:01:06.640 --> 00:01:08.640]  讓我們真的有一個領受的心
[00:01:08.640 --> 00:01:10.880]  知道原來祢的教導
[00:01:10.880 --> 00:01:12.880]  讓我們應該為甚麼而活
[00:01:12.880 --> 00:01:14.960]  主,我們就求祢的靈
[00:01:14.960 --> 00:01:16.840]  在我們當中感動我們的心
[00:01:16.840 --> 00:01:19.320]  祂說「奉靠主耶穌,得性命,致而祈求」
[00:01:19.320 --> 00:01:24.520]  剛才的問題其實是很難問的
[00:01:24.520 --> 00:01:26.240]  亦都很尖銳的
[00:01:26.240 --> 00:01:29.760]  但是我們先看看我剛才所讀的經文
[00:01:29.760 --> 00:01:36.960]  這裡其實是很簡短的三節經文
[00:01:36.960 --> 00:01:40.640]  「於是叫眾人和門徒來對他們說
[00:01:40.640 --> 00:01:42.040]  若有人要跟從我
[00:01:42.040 --> 00:01:45.560]  就當社稷背起他的十字架來跟從我」
[00:01:45.560 --> 00:01:49.000]  其實這幾句聖經的金句
[00:01:49.000 --> 00:01:51.000]  很多人都聽過了
[00:01:51.000 --> 00:01:52.040]  很多時候都說
[00:01:52.040 --> 00:01:56.760]  我們做門徒的就要背起主的十字架
[00:01:56.760 --> 00:01:58.760]  這是很多人說的
[00:01:58.760 --> 00:02:05.320]  但是其實這是一個很大的承諾
[00:02:05.320 --> 00:02:09.080]  為甚麼是一個很大的承諾呢
[00:02:09.080 --> 00:02:12.160]  其實在八章三十四節之前
[00:02:12.160 --> 00:02:14.840]  即是三十一至三十三節之前
[00:02:14.840 --> 00:02:16.840]  是有一點故事的
[00:02:16.840 --> 00:02:18.840]  有甚麼故事呢
[00:02:18.840 --> 00:02:20.840]  耶穌問那些門徒
[00:02:20.840 --> 00:02:23.720]  「你知道我是誰嗎?」
[00:02:23.720 --> 00:02:25.720]  所以這裡說
[00:02:25.720 --> 00:02:28.520]  耶穌就問那些門徒
[00:02:28.520 --> 00:02:29.880]  「你說我是誰?」
[00:02:29.880 --> 00:02:31.880]  彼得就說「你是基督」
[00:02:31.880 --> 00:02:33.880]  「你是神的兒子」
[00:02:33.880 --> 00:02:35.480]  耶穌就說
[00:02:35.480 --> 00:02:37.480]  「你之所以知道是神」
[00:02:37.480 --> 00:02:39.000]  「是天父告訴你的」
[00:02:39.000 --> 00:02:41.000]  「其實沒有人知道的」
[00:02:41.000 --> 00:02:43.000]  但現在我們說我們知不知道
[00:02:43.000 --> 00:02:45.000]  二千年之後
[00:02:45.000 --> 00:02:47.000]  我們每個人都知道了
[00:02:47.000 --> 00:02:49.000]  我們知道主耶穌基督是誰
[00:02:49.000 --> 00:02:56.200]  當我們做基督徒的時候
[00:02:56.200 --> 00:02:58.200]  我們決絕信主的時候
[00:02:58.200 --> 00:03:00.200]  我們第一個承諾是甚麼叫決絕信主
[00:03:00.200 --> 00:03:02.200]  除了認罪悔改
[00:03:02.200 --> 00:03:04.200]  十字架洗浄我們的罪之外
[00:03:04.200 --> 00:03:06.200]  還有一樣東西我們通常一定要說的
[00:03:06.200 --> 00:03:08.200]  說甚麼
[00:03:08.200 --> 00:03:12.200]  就是我們接受主耶穌基督
[00:03:12.200 --> 00:03:14.200]  來住在我們心裏面
[00:03:14.200 --> 00:03:16.200]  成為我們的主
[00:03:16.200 --> 00:03:18.200]  我們一生就是跟隨主
[00:03:18.200 --> 00:03:20.200]  為我們的生命的中心
[00:03:20.200 --> 00:03:22.200]  這是你做
[00:03:22.200 --> 00:03:24.200]  決志做基督徒裏面
[00:03:24.200 --> 00:03:26.200]  其中一個很重要的
[00:03:26.200 --> 00:03:28.200]  條件
[00:03:28.200 --> 00:03:30.200]  或者很大的承諾
[00:03:30.200 --> 00:03:31.200]  我們承諾甚麼?
