
[00:00:00.000 --> 00:00:04.000]  講題是《禱告典範·尼西米》
[00:00:04.000 --> 00:00:07.000]  如果大家看見經文
[00:00:07.000 --> 00:00:10.000]  請大家一起讀出,好嗎?
[00:00:10.000 --> 00:00:15.000]  我們先讀二章的一到四節
[00:00:15.000 --> 00:00:20.000]  然後是五到八節
[00:00:20.000 --> 00:00:24.000]  最後是九和十節
[00:00:24.000 --> 00:00:26.000]  我們先讀二章的一到四節,好嗎?
[00:00:26.000 --> 00:00:27.000]  預備起
[00:00:27.000 --> 00:00:31.000]  阿達洩西王二十年離散月
[00:00:31.000 --> 00:00:33.000]  酒擺在王面前
[00:00:33.000 --> 00:00:36.000]  我拿起酒來奉給王
[00:00:36.000 --> 00:00:40.000]  我在王面前從來沒有愁容
[00:00:40.000 --> 00:00:42.000]  王對我說
[00:00:42.000 --> 00:00:46.000]  你既沒有病,為什麼面帶愁容呢?
[00:00:46.000 --> 00:00:51.000]  這不是別的,必是你心中愁煩
[00:00:51.000 --> 00:00:54.000]  於是我非常懼怕
[00:00:54.000 --> 00:00:56.000]  我對王說
[00:00:56.000 --> 00:00:58.000]  願王萬歲
[00:00:58.000 --> 00:01:02.000]  我祖先墳墓所在的那城芳良
[00:01:02.000 --> 00:01:04.000]  城門被火焚燒
[00:01:04.000 --> 00:01:07.000]  我豈能面無愁容呢?
[00:01:07.000 --> 00:01:08.000]  王對我說
[00:01:08.000 --> 00:01:10.000]  你想求什麼?
[00:01:10.000 --> 00:01:15.000]  於是我向天上的神祈禱
[00:01:15.000 --> 00:01:19.000]  二章一到四節裡說到
[00:01:19.000 --> 00:01:25.000]  尼熹米在公職做酒政的時候
[00:01:25.000 --> 00:01:29.000]  遇到一個突然的王發問
[00:01:29.000 --> 00:01:32.000]  第二節說到他很害怕
[00:01:32.000 --> 00:01:36.000]  王問他為什麼面帶愁容
[00:01:36.000 --> 00:01:38.000]  然後在對話裡
[00:01:38.000 --> 00:01:41.000]  到第四節末頭
[00:01:41.000 --> 00:01:48.000]  他說尼熹米向天上的人默禱
[00:01:48.000 --> 00:01:52.000]  接著我們由第五節讀到第八節
[00:01:52.000 --> 00:01:53.000]  預備起
[00:01:53.000 --> 00:01:55.000]  我對王說
[00:01:55.000 --> 00:01:56.000]  王若以為好
[00:01:56.000 --> 00:01:59.000]  僕人若在王面前蒙恩
[00:01:59.000 --> 00:02:01.000]  求王差遣我往猶大
[00:02:01.000 --> 00:02:05.000]  到我祖先墳墓所在的那城去
[00:02:05.000 --> 00:02:08.000]  我好重新建造
[00:02:08.000 --> 00:02:11.000]  那時王后坐在王的旁邊
[00:02:11.000 --> 00:02:12.000]  王對我說
[00:02:12.000 --> 00:02:14.000]  你要去多久?
[00:02:14.000 --> 00:02:15.000]  幾時回來?
[00:02:15.000 --> 00:02:17.000]  王看者視為好
[00:02:17.000 --> 00:02:19.000]  就派我去
[00:02:19.000 --> 00:02:22.000]  我給王定了日期
[00:02:22.000 --> 00:02:23.000]  我又對王說
[00:02:23.000 --> 00:02:25.000]  王若以為好
[00:02:25.000 --> 00:02:27.000]  求王賜我詔書
[00:02:27.000 --> 00:02:31.000]  通知河西的省長准我經過
[00:02:31.000 --> 00:02:33.000]  直到猶大
[00:02:33.000 --> 00:02:34.000]  又賜詔書
[00:02:34.000 --> 00:02:37.000]  通知管理王元臨的阿薩
[00:02:37.000 --> 00:02:39.000]  叫他給我木材
[00:02:39.000 --> 00:02:41.000]  作為殿的迎樓之門
[00:02:41.000 --> 00:02:46.000]  城牆和我自己要住的房屋的橫樑
[00:02:46.000 --> 00:02:48.000]  王就允准我
[00:02:48.000 --> 00:02:51.000]  因為我神師恩的手幫助我
[00:03:16.000 --> 00:03:19.000]  王問你需要甚麼?
