
[00:00:00.000 --> 00:00:01.560]  各位大型節目平安
[00:00:01.560 --> 00:00:02.520]  平安
[00:00:02.520 --> 00:00:08.960]  這首歌是我三十多年前來美國的時候學會的
[00:00:08.960 --> 00:00:10.560]  學到這首歌的
[00:00:10.560 --> 00:00:13.240]  我記得去一個華福大會
[00:00:13.240 --> 00:00:15.160]  它每五年一次
[00:00:15.160 --> 00:00:18.120]  剛剛在我們羅省這裡
[00:00:18.120 --> 00:00:20.640]  我聽到一個人獨唱
[00:00:20.640 --> 00:00:22.520]  一個師母來的
[00:00:22.520 --> 00:00:24.880]  獨唱得很感動
[00:00:24.880 --> 00:00:28.120]  接著這首歌在我們的《聖師伴》也找到
[00:00:28.120 --> 00:00:32.360]  有時候人們領唱也會唱這首歌
[00:00:32.360 --> 00:00:35.080]  全部都是恩典
[00:00:35.080 --> 00:00:37.920]  神給我們很多的恩典
[00:00:37.920 --> 00:00:39.440]  救恩
[00:00:39.440 --> 00:00:43.640]  還有每天那些新鮮的恩典
[00:00:43.640 --> 00:00:45.520]  救贖我們
[00:00:45.520 --> 00:00:48.640]  還有帶領我們一生
[00:00:48.640 --> 00:00:51.400]  所以我們要將一切榮耀歸給神
[00:00:51.400 --> 00:00:53.400]  言語講不盡
[00:00:53.400 --> 00:00:55.840]  因為實在太豐富了
[00:00:55.840 --> 00:00:59.200]  剛剛那首歌也說如果你問我天有多高
[00:00:59.200 --> 00:01:00.560]  我真的不知道
[00:01:00.560 --> 00:01:02.600]  海有多深也不知道
[00:01:02.600 --> 00:01:04.680]  很難去探測
[00:01:04.680 --> 00:01:06.760]  但有件事我知道的就是
[00:01:06.760 --> 00:01:09.360]  神的愛比天更高
[00:01:09.360 --> 00:01:15.320]  神的恩典比海更深更豐富
[00:01:15.320 --> 00:01:19.320]  而且大家記得我這幾個月來
[00:01:19.320 --> 00:01:22.280]  都是在說創造主
[00:01:22.280 --> 00:01:24.680]  創造宇宙萬物的主
[00:01:24.680 --> 00:01:27.320]  由聖誕節那個月十二月開始說
[00:01:27.320 --> 00:01:31.000]  從聖誕樹去看聖經裡面的樹
[00:01:31.000 --> 00:01:35.680]  一月份我說小聰明大智慧
[00:01:35.680 --> 00:01:40.720]  從神所創造的動物生物
[00:01:40.720 --> 00:01:45.640]  小小的動物都看到神創造的智慧
