
[00:00:00.000 --> 00:00:03.080]  你聽不聽得懂也沒所謂
[00:00:03.080 --> 00:00:05.320]  總之大家知道一定要有BB
[00:00:05.320 --> 00:00:07.320]  沒BB就不行
[00:00:07.320 --> 00:00:09.320]  我們繼續看
[00:00:09.320 --> 00:00:13.240]  波瓦斯說某某先生請你轉回來
[00:00:13.240 --> 00:00:16.480]  坐在這裏他就轉回來坐下
[00:00:16.480 --> 00:00:19.360]  這個你記得某某先生是誰?
[00:00:19.360 --> 00:00:21.640]  某某先生就是有priority的那個
[00:00:21.640 --> 00:00:24.040]  本來他是至親的親屬
[00:00:24.040 --> 00:00:26.440]  爲什麼叫他某某先生呢?
[00:00:26.440 --> 00:00:30.520]  其實性惡者很知道 沒可能他們不知道他的名字是誰
[00:00:30.520 --> 00:00:32.960]  這個故事裏面每個人都有名字
[00:00:32.960 --> 00:00:34.720]  就是他沒名字
[00:00:34.720 --> 00:00:36.720]  就是擺明玩他
[00:00:36.720 --> 00:00:40.120]  擺明看不起他 所以把他的名字拆掉
[00:00:40.120 --> 00:00:41.840]  所以最後只看到某某先生
[00:00:41.840 --> 00:00:45.000]  因爲擦脂膠擦掉了 看不到他的名字是誰
[00:00:45.000 --> 00:00:46.800]  那說的是什麼呢?
[00:00:46.800 --> 00:00:50.160]  就是這個人是沒心得的 沒功德的
[00:00:50.160 --> 00:00:52.880]  其實他救人一命性做七級佛
[00:00:52.880 --> 00:00:54.520]  這個不是佛教 sorry
[00:00:54.520 --> 00:00:56.400]  你明白我的意思了
[00:00:56.400 --> 00:00:59.520]  其實他們是求救
[00:00:59.520 --> 00:01:03.480]  我們沒命了 我們伊麗米勒家就亡了
[00:01:03.480 --> 00:01:05.720]  所以請一個人來救我們
[00:01:05.720 --> 00:01:07.120]  不是救一塊地
[00:01:07.120 --> 00:01:08.160]  是救一個人
[00:01:08.160 --> 00:01:11.320]  以至有一個人可以承受這塊地
[00:01:11.320 --> 00:01:13.880]  而這個某某先生最後是沒命的
[00:01:13.880 --> 00:01:17.120]  是因爲他不肯救
[00:01:17.120 --> 00:01:18.440]  他要一塊地
[00:01:18.440 --> 00:01:19.240]  爲什麼呢?
[00:01:19.240 --> 00:01:23.080]  因爲在以色列人的世界裏很難買到另一塊地
[00:01:23.080 --> 00:01:26.560]  因爲每五十年就要給人了
[00:01:26.560 --> 00:01:30.200]  但是這次不同 他沒兒子來承繼
[00:01:30.200 --> 00:01:32.240]  就是我買了他 等到欺凌
[00:01:32.240 --> 00:01:33.840]  然後他還沒兒子生 他死了
[00:01:33.840 --> 00:01:35.920]  那就是永遠屬於我的了
[00:01:35.920 --> 00:01:36.760]  你明白嗎?
[00:01:36.760 --> 00:01:38.920]  這個人是生意佬
[00:01:38.920 --> 00:01:40.760]  他就轉回座下
[00:01:40.760 --> 00:01:47.280]  波哈斯又請了本城的十個長老來對他說
[00:01:47.280 --> 00:01:51.360]  你們坐在這裏 他們就坐在這裏做見證
[00:01:51.360 --> 00:01:53.160]  波哈斯對那至親說
[00:01:53.160 --> 00:01:55.720]  從摩壓地回來的南無米
[00:01:55.720 --> 00:02:01.000]  現在要買我們弟兄爾利米勒的那塊地
[00:02:01.000 --> 00:02:03.200]  你要記得 他不是等錢勢賣
[00:02:03.200 --> 00:02:07.280]  他是要買那個人幫他生兒子
[00:02:07.280 --> 00:02:09.960]  這樣才能夠救回他所有的地
[00:02:09.960 --> 00:02:11.160]  所有的財產
[00:02:11.160 --> 00:02:12.960]  和所有的將來
[00:02:12.960 --> 00:02:19.080]  我想向你說清楚
[00:02:19.080 --> 00:02:21.520]  你可以買那塊地
[00:02:21.520 --> 00:02:26.000]  當着衆人和百姓的長老面前
[00:02:26.000 --> 00:02:29.160]  你若要熟就熟吧
[00:02:29.160 --> 00:02:31.400]  倘若你不熟就告訴我
[00:02:31.400 --> 00:02:34.040]  讓我知道因爲除了你以外
[00:02:34.040 --> 00:02:37.240]  沒有人可以先熟之後才輪到我
[00:02:37.240 --> 00:02:39.320]  那人說我要熟
[00:02:39.320 --> 00:02:40.920]  其實這個人
[00:02:40.920 --> 00:02:44.480]  聖經學者相信他是知道那個deal的
[00:02:44.480 --> 00:02:48.480]  他知道南無米其實不是要有人熟那塊地
[00:02:48.480 --> 00:02:49.800]  因爲熟了那塊地
[00:02:49.800 --> 00:02:52.520]  對於他來說買了那塊地也沒用
[00:02:52.520 --> 00:02:54.360]  他賣了錢也沒用
[00:02:54.360 --> 00:02:58.360]  他要的是那個人幫他生兒子
[00:02:58.360 --> 00:03:00.760]  而南無米
[00:03:00.760 --> 00:03:03.640]  這個人真的有點詐傻扮懵
[00:03:03.640 --> 00:03:05.800]  他說好啊買啊買啊
[00:03:05.800 --> 00:03:09.400]  希望他不會說生兒子那件事
[00:03:09.400 --> 00:03:13.440]  當然波哈斯就立刻跟他說生兒子那件事
[00:03:13.440 --> 00:03:14.640]  而這個人我想告訴你
[00:03:14.640 --> 00:03:16.160]  他不是這樣的
[00:03:16.160 --> 00:03:19.160]  我想他早就知道了他知道有這樣的東西
