
[00:00:00.000 --> 00:00:02.000]  好 鄧師傅 早晨
[00:00:02.000 --> 00:00:08.000]  我們再次回來馬太福音的第24章
[00:00:08.000 --> 00:00:12.000]  第42至到第44節的經文
[00:00:12.000 --> 00:00:14.000]  Sandy也幫我們剛才讀了
[00:00:14.000 --> 00:00:18.000]  讀回這段經文的前文
[00:00:18.000 --> 00:00:21.000]  讓我們能夠組合在整段的經文當中
[00:00:21.000 --> 00:00:23.000]  讓我們一起預備好
[00:00:23.000 --> 00:00:26.000]  我們一起去聆聽主的說話
[00:00:26.000 --> 00:00:28.000]  讓我們一起同心以禱告
[00:00:28.000 --> 00:00:30.000]  心思意念
[00:00:30.000 --> 00:00:35.000]  父神 多謝你
[00:00:35.000 --> 00:00:38.000]  感謝你給我們有生命 有氣息
[00:00:38.000 --> 00:00:43.000]  感謝你給我們有陰晴月缺
[00:00:43.000 --> 00:00:47.000]  感謝你給我們有很多的人生的經歷
[00:00:47.000 --> 00:00:50.000]  豐富了我們對人生
[00:00:50.000 --> 00:00:55.000]  整個在你的創造裡面那種的意義
[00:00:55.000 --> 00:01:00.000]  讓我們整個人生能夠變得立體化
[00:01:00.000 --> 00:01:02.000]  而不是平面化
[00:01:02.000 --> 00:01:04.000]  求你的帶領
[00:01:04.000 --> 00:01:07.000]  我們更重要的是在你的真理裡面
[00:01:07.000 --> 00:01:10.000]  能夠有一個更透徹的認識
[00:01:10.000 --> 00:01:14.000]  不是單純在創造裡面去經歷主理
[00:01:14.000 --> 00:01:17.000]  而是在直接上帝你的啟示裡面
[00:01:17.000 --> 00:01:19.000]  去認識恩主理
[00:01:19.000 --> 00:01:21.000]  因此我們懇求你的聖靈
[00:01:21.000 --> 00:01:26.000]  帶領我們每一個受到主理所感召的每一個信徒
[00:01:26.000 --> 00:01:29.000]  明白在聖經裡面的教導
[00:01:29.000 --> 00:01:31.000]  我們同心地禱告
[00:01:31.000 --> 00:01:34.000]  奉靠主耶穌基督 得聖名自求
[00:01:34.000 --> 00:01:36.000]  阿們
[00:01:36.000 --> 00:01:39.000]  在加拿大我相信
[00:01:39.000 --> 00:01:45.000]  駕車應該是一個必須的技能
[00:01:45.000 --> 00:01:53.000]  和類似懂得游泳我相信都是一個必要的技能
[00:01:53.000 --> 00:01:59.000]  最近我和同屋在司機那裡聊天
[00:01:59.000 --> 00:02:02.000]  我的同屋是一個很好的基督徒
[00:02:02.000 --> 00:02:05.000]  聊天的時候他就說
[00:02:05.000 --> 00:02:12.000]  我有個朋友想賣一輛和你的車一樣的舊車給我
[00:02:12.000 --> 00:02:15.000]  我說那就好了
[00:02:15.000 --> 00:02:17.000]  我賣多少錢呢
[00:02:17.000 --> 00:02:19.000]  我也很有興趣想知道
[00:02:19.000 --> 00:02:21.000]  他說多少錢就不知道
[00:02:21.000 --> 00:02:23.000]  不過和你的車是一模一樣款式的
[00:02:23.000 --> 00:02:27.000]  他說你的車是哪一年款式呢
[00:02:27.000 --> 00:02:31.000]  我說我的車是2007年的款式
[00:02:31.000 --> 00:02:33.000]  不過這輛車很好用很好駕駛
[00:02:33.000 --> 00:02:34.000]  因為很細部
[00:02:34.000 --> 00:02:35.000]  很簡單
[00:02:35.000 --> 00:02:38.000]  要修理所有東西都自己懂得修理
[00:02:38.000 --> 00:02:40.000]  他就說這輛車安全嗎
[00:02:40.000 --> 00:02:42.000]  我說這輛車很好
[00:02:42.000 --> 00:02:44.000]  因為東西很簡單
[00:02:44.000 --> 00:02:47.000]  要修理要維修都很便宜
[00:02:47.000 --> 00:02:50.000]  而且那個信賴度都很高
[00:02:50.000 --> 00:02:53.000]  因為這輛車是日本製造的
[00:02:53.000 --> 00:02:55.000]  車是直接由日本運來的
[00:02:55.000 --> 00:03:04.000]  那個製造性質素和在加拿大做那些
[00:03:04.000 --> 00:03:08.000]  同款牌子的車真的差很遠
[00:03:08.000 --> 00:03:10.000]  雖然車子小很多
[00:03:10.000 --> 00:03:13.000]  但是到門關門的感覺都不同
[00:03:13.000 --> 00:03:20.000]  我說其實車最重要就是安全程度
[00:03:20.000 --> 00:03:22.000]  我說為什麼你要買一輛車
